epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,69.82124079915877,False,,,1,9a68997a1bf64f69b46e75a9dd4ef19c,2022-05-05_06-04-40,1651730680,16.416789770126343,16.416789770126343,24366,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.416789770126343,0,1,f3ed9_00009
1,68.19137749737119,False,,,2,9a68997a1bf64f69b46e75a9dd4ef19c,2022-05-05_06-04-48,1651730688,7.645352602005005,24.062142372131348,24366,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.062142372131348,0,2,f3ed9_00009
2,73.34384858044164,False,,,3,9a68997a1bf64f69b46e75a9dd4ef19c,2022-05-05_06-04-56,1651730696,8.3725106716156,32.43465304374695,24366,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.43465304374695,0,3,f3ed9_00009
3,76.49842271293376,False,,,4,9a68997a1bf64f69b46e75a9dd4ef19c,2022-05-05_06-05-05,1651730705,8.531307935714722,40.96596097946167,24366,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.96596097946167,0,4,f3ed9_00009
4,76.5509989484753,False,,,5,9a68997a1bf64f69b46e75a9dd4ef19c,2022-05-05_06-05-13,1651730713,8.383506774902344,49.349467754364014,24366,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,49.349467754364014,0,5,f3ed9_00009
5,74.71083070452156,False,,,6,9a68997a1bf64f69b46e75a9dd4ef19c,2022-05-05_06-05-22,1651730722,8.848832368850708,58.19830012321472,24366,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,58.19830012321472,0,6,f3ed9_00009
6,72.76550998948476,False,,,7,9a68997a1bf64f69b46e75a9dd4ef19c,2022-05-05_06-05-30,1651730730,8.63484811782837,66.83314824104309,24366,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,66.83314824104309,0,7,f3ed9_00009
7,76.76130389064143,False,,,8,9a68997a1bf64f69b46e75a9dd4ef19c,2022-05-05_06-05-39,1651730739,8.799808740615845,75.63295698165894,24366,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,75.63295698165894,0,8,f3ed9_00009
8,76.91903259726604,False,,,9,9a68997a1bf64f69b46e75a9dd4ef19c,2022-05-05_06-05-48,1651730748,8.73314356803894,84.36610054969788,24366,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,84.36610054969788,0,9,f3ed9_00009
9,75.28916929547844,False,,,10,9a68997a1bf64f69b46e75a9dd4ef19c,2022-05-05_06-05-57,1651730757,8.59331750869751,92.95941805839539,24366,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,92.95941805839539,0,10,f3ed9_00009
