epoch,train_accuracy,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.900000000000006,52.300000000000004,False,,,1,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-17,1646466737,2.4569342136383057,2.4569342136383057,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,2.4569342136383057,0,1,2a404_00001
1,53.900000000000006,52.300000000000004,False,,,2,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-17,1646466737,0.1719191074371338,2.6288533210754395,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,2.6288533210754395,0,2,2a404_00001
2,53.900000000000006,52.300000000000004,False,,,3,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-17,1646466737,0.16304755210876465,2.791900873184204,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,2.791900873184204,0,3,2a404_00001
3,53.900000000000006,52.300000000000004,False,,,4,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-17,1646466737,0.1722712516784668,2.964172124862671,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,2.964172124862671,0,4,2a404_00001
4,53.900000000000006,52.300000000000004,False,,,5,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-17,1646466737,0.17055916786193848,3.1347312927246094,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,3.1347312927246094,0,5,2a404_00001
5,53.900000000000006,52.300000000000004,False,,,6,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-18,1646466738,0.1678767204284668,3.302608013153076,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,3.302608013153076,0,6,2a404_00001
6,53.900000000000006,52.300000000000004,False,,,7,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-18,1646466738,0.16763901710510254,3.4702470302581787,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,3.4702470302581787,0,7,2a404_00001
7,53.900000000000006,52.300000000000004,False,,,8,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-18,1646466738,0.1661684513092041,3.636415481567383,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,3.636415481567383,0,8,2a404_00001
8,53.900000000000006,52.300000000000004,False,,,9,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-18,1646466738,0.17021942138671875,3.8066349029541016,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,3.8066349029541016,0,9,2a404_00001
9,55.300000000000004,53.2,False,,,10,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-18,1646466738,0.16821813583374023,3.974853038787842,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,3.974853038787842,0,10,2a404_00001
10,62.8,58.8,False,,,11,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-19,1646466739,0.1612539291381836,4.136106967926025,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,4.136106967926025,0,11,2a404_00001
11,66.0,61.3,False,,,12,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-19,1646466739,0.16698312759399414,4.3030900955200195,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,4.3030900955200195,0,12,2a404_00001
12,69.1,63.1,False,,,13,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-19,1646466739,0.16777276992797852,4.470862865447998,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,4.470862865447998,0,13,2a404_00001
13,71.1,65.4,False,,,14,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-19,1646466739,0.16463613510131836,4.635499000549316,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,4.635499000549316,0,14,2a404_00001
14,72.0,65.8,False,,,15,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-19,1646466739,0.16348719596862793,4.798986196517944,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,4.798986196517944,0,15,2a404_00001
15,71.2,64.2,False,,,16,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-19,1646466739,0.17023062705993652,4.969216823577881,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,4.969216823577881,0,16,2a404_00001
16,70.7,63.7,False,,,17,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-20,1646466740,0.16252398490905762,5.1317408084869385,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,5.1317408084869385,0,17,2a404_00001
17,71.89999999999999,65.5,False,,,18,c00a3a05bc7349b0a09359b696465378,2022-03-05_02-52-20,1646466740,0.16007351875305176,5.29181432723999,235618,bigboy2.cchem.berkeley.edu,128.32.17.9,5.29181432723999,0,18,2a404_00001
