epoch,train_accuracy,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.900000000000006,52.300000000000004,False,,,1,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-00,1646467140,2.5845155715942383,2.5845155715942383,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,2.5845155715942383,0,1,1a8af_00000
1,53.900000000000006,52.300000000000004,False,,,2,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-00,1646467140,0.28112292289733887,2.865638494491577,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,2.865638494491577,0,2,1a8af_00000
2,54.800000000000004,52.6,False,,,3,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-01,1646467141,0.2778153419494629,3.14345383644104,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,3.14345383644104,0,3,1a8af_00000
3,74.1,62.3,False,,,4,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-01,1646467141,0.2742180824279785,3.4176719188690186,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,3.4176719188690186,0,4,1a8af_00000
4,71.2,60.699999999999996,False,,,5,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-01,1646467141,0.282299280166626,3.6999711990356445,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,3.6999711990356445,0,5,1a8af_00000
5,68.4,60.0,False,,,6,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-01,1646467141,0.2703711986541748,3.9703423976898193,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,3.9703423976898193,0,6,1a8af_00000
6,67.5,59.5,False,,,7,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-02,1646467142,0.27587056159973145,4.246212959289551,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,4.246212959289551,0,7,1a8af_00000
7,80.10000000000001,74.0,False,,,8,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-02,1646467142,0.27758073806762695,4.523793697357178,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,4.523793697357178,0,8,1a8af_00000
8,82.1,75.9,False,,,9,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-02,1646467142,0.29569411277770996,4.819487810134888,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,4.819487810134888,0,9,1a8af_00000
9,83.1,77.8,False,,,10,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-03,1646467143,0.27081775665283203,5.09030556678772,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,5.09030556678772,0,10,1a8af_00000
10,83.7,79.10000000000001,False,,,11,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-03,1646467143,0.27709031105041504,5.367395877838135,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,5.367395877838135,0,11,1a8af_00000
11,85.3,80.80000000000001,False,,,12,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-03,1646467143,0.2707498073577881,5.638145685195923,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,5.638145685195923,0,12,1a8af_00000
12,85.6,81.39999999999999,False,,,13,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-03,1646467143,0.26987218856811523,5.908017873764038,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,5.908017873764038,0,13,1a8af_00000
13,86.1,82.8,False,,,14,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-04,1646467144,0.26566267013549805,6.173680543899536,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,6.173680543899536,0,14,1a8af_00000
14,86.4,83.6,False,,,15,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-04,1646467144,0.2779655456542969,6.451646089553833,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,6.451646089553833,0,15,1a8af_00000
15,87.0,84.39999999999999,False,,,16,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-04,1646467144,0.2690722942352295,6.7207183837890625,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,6.7207183837890625,0,16,1a8af_00000
16,87.2,85.3,False,,,17,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-05,1646467145,0.2698822021484375,6.9906005859375,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,6.9906005859375,0,17,1a8af_00000
17,88.2,85.8,False,,,18,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-05,1646467145,0.27167606353759766,7.262276649475098,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,7.262276649475098,0,18,1a8af_00000
18,88.8,86.4,False,,,19,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-05,1646467145,0.26603269577026367,7.528309345245361,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,7.528309345245361,0,19,1a8af_00000
19,89.0,87.3,False,,,20,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-05,1646467145,0.26880884170532227,7.797118186950684,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,7.797118186950684,0,20,1a8af_00000
20,88.9,87.2,False,,,21,fed0c40beda142b5837212e5d358ad15,2022-03-05_02-59-06,1646467146,0.26678895950317383,8.063907146453857,241764,bigboy2.cchem.berkeley.edu,128.32.17.9,8.063907146453857,0,21,1a8af_00000
