epoch,train_accuracy,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.900000000000006,52.300000000000004,False,,,1,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-15,1646467275,2.612550735473633,2.612550735473633,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,2.612550735473633,0,1,6ab9a_00000
1,53.900000000000006,52.300000000000004,False,,,2,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-15,1646467275,0.2824115753173828,2.8949623107910156,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,2.8949623107910156,0,2,6ab9a_00000
2,53.900000000000006,52.300000000000004,False,,,3,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-15,1646467275,0.2758634090423584,3.170825719833374,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,3.170825719833374,0,3,6ab9a_00000
3,65.8,60.5,False,,,4,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-15,1646467275,0.2739548683166504,3.4447805881500244,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,3.4447805881500244,0,4,6ab9a_00000
4,66.7,62.4,False,,,5,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-16,1646467276,0.2721562385559082,3.7169368267059326,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,3.7169368267059326,0,5,6ab9a_00000
5,68.60000000000001,60.4,False,,,6,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-16,1646467276,0.27604126930236816,3.992978096008301,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,3.992978096008301,0,6,6ab9a_00000
6,66.2,57.9,False,,,7,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-16,1646467276,0.2766427993774414,4.269620895385742,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,4.269620895385742,0,7,6ab9a_00000
7,65.9,58.199999999999996,False,,,8,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-17,1646467277,0.27344179153442383,4.543062686920166,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,4.543062686920166,0,8,6ab9a_00000
8,72.5,65.4,False,,,9,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-17,1646467277,0.2757561206817627,4.818818807601929,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,4.818818807601929,0,9,6ab9a_00000
9,76.5,68.2,False,,,10,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-17,1646467277,0.270585298538208,5.089404106140137,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,5.089404106140137,0,10,6ab9a_00000
10,80.2,72.3,False,,,11,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-17,1646467277,0.2732410430908203,5.362645149230957,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,5.362645149230957,0,11,6ab9a_00000
11,80.7,74.1,False,,,12,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-18,1646467278,0.2690105438232422,5.631655693054199,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,5.631655693054199,0,12,6ab9a_00000
12,84.2,78.5,False,,,13,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-18,1646467278,0.27162814140319824,5.9032838344573975,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,5.9032838344573975,0,13,6ab9a_00000
13,84.6,80.4,False,,,14,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-18,1646467278,0.26772069931030273,6.1710045337677,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,6.1710045337677,0,14,6ab9a_00000
14,84.89999999999999,81.69999999999999,False,,,15,3a780a0844584398aa8af44e06f580c8,2022-03-05_03-01-19,1646467279,0.2706937789916992,6.441698312759399,243357,bigboy2.cchem.berkeley.edu,128.32.17.9,6.441698312759399,0,15,6ab9a_00000
