epoch,train_accuracy,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,65.4,52.5,False,,,1,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-38,1646467538,3.063185214996338,3.063185214996338,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,3.063185214996338,0,1,07589_00000
1,64.60000000000001,55.2,False,,,2,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-39,1646467539,0.660851001739502,3.72403621673584,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,3.72403621673584,0,2,07589_00000
2,75.2,65.8,False,,,3,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-39,1646467539,0.665992021560669,4.390028238296509,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,4.390028238296509,0,3,07589_00000
3,80.10000000000001,71.5,False,,,4,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-40,1646467540,0.6377642154693604,5.027792453765869,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,5.027792453765869,0,4,07589_00000
4,83.2,78.5,False,,,5,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-41,1646467541,0.6524085998535156,5.680201053619385,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,5.680201053619385,0,5,07589_00000
5,86.1,82.5,False,,,6,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-41,1646467541,0.6587200164794922,6.338921070098877,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,6.338921070098877,0,6,07589_00000
6,87.1,85.2,False,,,7,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-42,1646467542,0.6495459079742432,6.98846697807312,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,6.98846697807312,0,7,07589_00000
7,89.0,87.3,False,,,8,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-43,1646467543,0.6450464725494385,7.633513450622559,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,7.633513450622559,0,8,07589_00000
8,90.2,88.7,False,,,9,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-43,1646467543,0.6439733505249023,8.277486801147461,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,8.277486801147461,0,9,07589_00000
9,90.9,88.3,False,,,10,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-44,1646467544,0.636329174041748,8.913815975189209,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,8.913815975189209,0,10,07589_00000
10,91.4,88.9,False,,,11,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-44,1646467544,0.6537158489227295,9.567531824111938,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,9.567531824111938,0,11,07589_00000
11,91.60000000000001,89.3,False,,,12,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-45,1646467545,0.6551156044006348,10.222647428512573,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,10.222647428512573,0,12,07589_00000
12,91.60000000000001,89.60000000000001,False,,,13,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-46,1646467546,0.6354620456695557,10.858109474182129,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,10.858109474182129,0,13,07589_00000
13,92.0,88.5,False,,,14,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-46,1646467546,0.6493508815765381,11.507460355758667,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,11.507460355758667,0,14,07589_00000
14,92.0,89.60000000000001,False,,,15,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-47,1646467547,0.6516761779785156,12.159136533737183,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,12.159136533737183,0,15,07589_00000
15,92.10000000000001,89.0,False,,,16,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-48,1646467548,0.637441873550415,12.796578407287598,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,12.796578407287598,0,16,07589_00000
16,92.10000000000001,88.5,False,,,17,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-48,1646467548,0.6678023338317871,13.464380741119385,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,13.464380741119385,0,17,07589_00000
17,91.9,88.7,False,,,18,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-49,1646467549,0.6310937404632568,14.095474481582642,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,14.095474481582642,0,18,07589_00000
18,91.60000000000001,89.9,False,,,19,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-50,1646467550,0.6535172462463379,14.74899172782898,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,14.74899172782898,0,19,07589_00000
19,91.7,90.10000000000001,False,,,20,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-50,1646467550,0.6383497714996338,15.387341499328613,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,15.387341499328613,0,20,07589_00000
20,92.10000000000001,89.1,False,,,21,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-51,1646467551,0.6425783634185791,16.029919862747192,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,16.029919862747192,0,21,07589_00000
21,91.3,89.7,False,,,22,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-52,1646467552,0.6443929672241211,16.674312829971313,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,16.674312829971313,0,22,07589_00000
22,91.5,89.5,False,,,23,9425a879550e4f3489ef04498a173dcc,2022-03-05_03-05-52,1646467552,0.6529531478881836,17.327265977859497,1069,bigboy2.cchem.berkeley.edu,128.32.17.9,17.327265977859497,0,23,07589_00000
