epoch,train_accuracy,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.7,53.10199789695058,False,,,1,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-09-57,1646467797,4.596888542175293,4.596888542175293,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,4.596888542175293,0,1,a0b55_00003
1,67.52,65.5099894847529,False,,,2,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-09-58,1646467798,0.9402613639831543,5.537149906158447,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,5.537149906158447,0,2,a0b55_00003
2,63.28,62.407991587802314,False,,,3,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-09-59,1646467799,1.0002362728118896,6.537386178970337,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,6.537386178970337,0,3,a0b55_00003
3,81.02000000000001,80.02103049421662,False,,,4,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-00,1646467800,0.9744913578033447,7.511877536773682,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,7.511877536773682,0,4,a0b55_00003
4,83.06,82.49211356466877,False,,,5,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-01,1646467801,0.9806902408599854,8.492567777633667,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,8.492567777633667,0,5,a0b55_00003
5,84.64,84.22712933753942,False,,,6,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-02,1646467802,0.9678623676300049,9.460430145263672,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,9.460430145263672,0,6,a0b55_00003
6,85.56,85.75184016824396,False,,,7,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-03,1646467803,1.0061578750610352,10.466588020324707,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,10.466588020324707,0,7,a0b55_00003
7,86.4,86.06729758149316,False,,,8,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-04,1646467804,0.9545440673828125,11.42113208770752,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,11.42113208770752,0,8,a0b55_00003
8,87.28,87.7497371188223,False,,,9,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-05,1646467805,0.9627115726470947,12.383843660354614,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,12.383843660354614,0,9,a0b55_00003
9,88.62,88.85383806519454,False,,,10,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-06,1646467806,0.9963536262512207,13.380197286605835,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,13.380197286605835,0,10,a0b55_00003
10,88.4,88.801261829653,False,,,11,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-07,1646467807,0.954840898513794,14.335038185119629,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,14.335038185119629,0,11,a0b55_00003
11,88.92,89.1167192429022,False,,,12,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-08,1646467808,0.9913623332977295,15.326400518417358,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,15.326400518417358,0,12,a0b55_00003
12,89.5,89.74763406940063,False,,,13,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-09,1646467809,0.9754130840301514,16.30181360244751,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,16.30181360244751,0,13,a0b55_00003
13,89.66,90.06309148264984,False,,,14,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-10,1646467810,0.9878339767456055,17.289647579193115,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,17.289647579193115,0,14,a0b55_00003
14,89.82,90.16824395373291,False,,,15,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-11,1646467811,0.9707131385803223,18.260360717773438,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,18.260360717773438,0,15,a0b55_00003
15,90.36,90.7465825446898,False,,,16,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-12,1646467812,0.9683260917663574,19.228686809539795,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,19.228686809539795,0,16,a0b55_00003
16,90.12,90.32597266035752,False,,,17,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-13,1646467813,0.9883956909179688,20.217082500457764,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,20.217082500457764,0,17,a0b55_00003
17,90.44,90.58885383806519,False,,,18,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-14,1646467814,0.9558172225952148,21.17289972305298,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,21.17289972305298,0,18,a0b55_00003
18,90.3,90.53627760252367,False,,,19,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-15,1646467815,0.9357366561889648,22.108636379241943,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,22.108636379241943,0,19,a0b55_00003
19,90.14,90.4311251314406,False,,,20,d61b010338df470e86f4c4bd61a4971c,2022-03-05_03-10-16,1646467816,1.0252766609191895,23.133913040161133,3517,bigboy2.cchem.berkeley.edu,128.32.17.9,23.133913040161133,0,20,a0b55_00003
