epoch,train_accuracy,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.7,53.10199789695058,False,,,1,2c817b8c99e84b928eb60873fba3c6eb,2022-03-05_03-21-34,1646468494,4.616235256195068,4.616235256195068,8567,bigboy2.cchem.berkeley.edu,128.32.17.9,4.616235256195068,0,1,3f941_00003
1,58.98,59.516298633017875,False,,,2,2c817b8c99e84b928eb60873fba3c6eb,2022-03-05_03-21-35,1646468495,0.930180549621582,5.54641580581665,8567,bigboy2.cchem.berkeley.edu,128.32.17.9,5.54641580581665,0,2,3f941_00003
2,53.72,53.10199789695058,False,,,3,2c817b8c99e84b928eb60873fba3c6eb,2022-03-05_03-21-36,1646468496,0.9939134120941162,6.540329217910767,8567,bigboy2.cchem.berkeley.edu,128.32.17.9,6.540329217910767,0,3,3f941_00003
3,66.46,64.09043112513145,False,,,4,2c817b8c99e84b928eb60873fba3c6eb,2022-03-05_03-21-37,1646468497,0.9777419567108154,7.518071174621582,8567,bigboy2.cchem.berkeley.edu,128.32.17.9,7.518071174621582,0,4,3f941_00003
4,76.72,75.0788643533123,False,,,5,2c817b8c99e84b928eb60873fba3c6eb,2022-03-05_03-21-38,1646468498,0.9847664833068848,8.502837657928467,8567,bigboy2.cchem.berkeley.edu,128.32.17.9,8.502837657928467,0,5,3f941_00003
5,81.92,82.22923238696109,False,,,6,2c817b8c99e84b928eb60873fba3c6eb,2022-03-05_03-21-39,1646468499,0.9592721462249756,9.462109804153442,8567,bigboy2.cchem.berkeley.edu,128.32.17.9,9.462109804153442,0,6,3f941_00003
6,84.48,84.38485804416403,False,,,7,2c817b8c99e84b928eb60873fba3c6eb,2022-03-05_03-21-40,1646468500,0.9639632701873779,10.42607307434082,8567,bigboy2.cchem.berkeley.edu,128.32.17.9,10.42607307434082,0,7,3f941_00003
7,85.54,85.8044164037855,False,,,8,2c817b8c99e84b928eb60873fba3c6eb,2022-03-05_03-21-41,1646468501,0.9436233043670654,11.369696378707886,8567,bigboy2.cchem.berkeley.edu,128.32.17.9,11.369696378707886,0,8,3f941_00003
8,86.92,86.69821240799159,False,,,9,2c817b8c99e84b928eb60873fba3c6eb,2022-03-05_03-21-42,1646468502,0.9851689338684082,12.354865312576294,8567,bigboy2.cchem.berkeley.edu,128.32.17.9,12.354865312576294,0,9,3f941_00003
9,88.14,88.32807570977917,False,,,10,2c817b8c99e84b928eb60873fba3c6eb,2022-03-05_03-21-43,1646468503,0.9318463802337646,13.286711692810059,8567,bigboy2.cchem.berkeley.edu,128.32.17.9,13.286711692810059,0,10,3f941_00003
10,89.1,89.64248159831756,False,,,11,2c817b8c99e84b928eb60873fba3c6eb,2022-03-05_03-21-44,1646468504,0.99564528465271,14.282356977462769,8567,bigboy2.cchem.berkeley.edu,128.32.17.9,14.282356977462769,0,11,3f941_00003
