epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-11,1646552831,4.221465826034546,4.221465826034546,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,4.221465826034546,0,1,9bfe8_00005
1,65.29968454258676,False,,,2,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-12,1646552832,1.0744919776916504,5.295957803726196,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,5.295957803726196,0,2,9bfe8_00005
2,68.61198738170347,False,,,3,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-13,1646552833,1.1032896041870117,6.399247407913208,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,6.399247407913208,0,3,9bfe8_00005
3,85.2260778128286,False,,,4,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-14,1646552834,1.0742952823638916,7.4735426902771,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,7.4735426902771,0,4,9bfe8_00005
4,87.85488958990535,False,,,5,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-15,1646552835,1.0860137939453125,8.559556484222412,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,8.559556484222412,0,5,9bfe8_00005
5,88.64353312302839,False,,,6,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-16,1646552836,1.0811984539031982,9.64075493812561,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,9.64075493812561,0,6,9bfe8_00005
6,91.062039957939,False,,,7,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-17,1646552837,1.0935816764831543,10.734336614608765,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,10.734336614608765,0,7,9bfe8_00005
7,91.37749737118823,False,,,8,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-18,1646552838,1.0715761184692383,11.805912733078003,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,11.805912733078003,0,8,9bfe8_00005
8,92.11356466876973,False,,,9,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-20,1646552840,1.1037309169769287,12.909643650054932,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,12.909643650054932,0,9,9bfe8_00005
9,92.16614090431125,False,,,10,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-21,1646552841,1.075364351272583,13.985008001327515,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,13.985008001327515,0,10,9bfe8_00005
10,92.16614090431125,False,,,11,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-22,1646552842,1.112044334411621,15.097052335739136,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,15.097052335739136,0,11,9bfe8_00005
11,92.21871713985279,False,,,12,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-23,1646552843,1.1139051914215088,16.210957527160645,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,16.210957527160645,0,12,9bfe8_00005
12,92.534174553102,False,,,13,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-24,1646552844,1.1144702434539795,17.325427770614624,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,17.325427770614624,0,13,9bfe8_00005
13,91.7981072555205,False,,,14,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-25,1646552845,1.09745454788208,18.422882318496704,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,18.422882318496704,0,14,9bfe8_00005
14,92.6919032597266,False,,,15,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-26,1646552846,1.1084940433502197,19.531376361846924,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,19.531376361846924,0,15,9bfe8_00005
15,92.63932702418506,False,,,16,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-27,1646552847,1.1007397174835205,20.632116079330444,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,20.632116079330444,0,16,9bfe8_00005
16,91.7981072555205,False,,,17,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-29,1646552849,1.152254581451416,21.78437066078186,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,21.78437066078186,0,17,9bfe8_00005
17,92.63932702418506,False,,,18,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-30,1646552850,1.1274728775024414,22.9118435382843,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,22.9118435382843,0,18,9bfe8_00005
18,92.63932702418506,False,,,19,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-31,1646552851,1.0986688137054443,24.010512351989746,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,24.010512351989746,0,19,9bfe8_00005
19,92.16614090431125,False,,,20,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-32,1646552852,1.0884675979614258,25.098979949951172,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,25.098979949951172,0,20,9bfe8_00005
20,92.63932702418506,False,,,21,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-33,1646552853,1.0678081512451172,26.16678810119629,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,26.16678810119629,0,21,9bfe8_00005
21,92.74447949526814,False,,,22,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-34,1646552854,1.0822737216949463,27.249061822891235,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,27.249061822891235,0,22,9bfe8_00005
22,92.32386961093586,False,,,23,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-35,1646552855,1.0787148475646973,28.327776670455933,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,28.327776670455933,0,23,9bfe8_00005
23,92.6919032597266,False,,,24,9d2f5c7d1e2e44b3baad951c8d1b4e00,2022-03-06_02-47-36,1646552856,1.1320629119873047,29.459839582443237,108223,bigboy2.cchem.berkeley.edu,128.32.17.9,29.459839582443237,0,24,9bfe8_00005
