epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,76.81388012618297,False,,,1,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-54-46,1646553286,3.9405148029327393,3.9405148029327393,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,3.9405148029327393,0,1,abcf2_00003
1,83.70136698212409,False,,,2,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-54-47,1646553287,1.026348352432251,4.96686315536499,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,4.96686315536499,0,2,abcf2_00003
2,88.95899053627761,False,,,3,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-54-48,1646553288,1.1062805652618408,6.073143720626831,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,6.073143720626831,0,3,abcf2_00003
3,91.74553101997897,False,,,4,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-54-49,1646553289,1.1125257015228271,7.185669422149658,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,7.185669422149658,0,4,abcf2_00003
4,90.64143007360673,False,,,5,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-54-50,1646553290,1.1494581699371338,8.335127592086792,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,8.335127592086792,0,5,abcf2_00003
5,89.64248159831756,False,,,6,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-54-51,1646553291,1.1034021377563477,9.43852972984314,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,9.43852972984314,0,6,abcf2_00003
6,90.4311251314406,False,,,7,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-54-52,1646553292,1.0997872352600098,10.53831696510315,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,10.53831696510315,0,7,abcf2_00003
7,89.58990536277602,False,,,8,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-54-54,1646553294,1.0930678844451904,11.63138484954834,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,11.63138484954834,0,8,abcf2_00003
8,89.27444794952682,False,,,9,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-54-55,1646553295,1.0985679626464844,12.729952812194824,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,12.729952812194824,0,9,abcf2_00003
9,89.64248159831756,False,,,10,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-54-56,1646553296,1.0951237678527832,13.825076580047607,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,13.825076580047607,0,10,abcf2_00003
10,89.16929547844374,False,,,11,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-54-57,1646553297,1.0877654552459717,14.912842035293579,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,14.912842035293579,0,11,abcf2_00003
11,89.58990536277602,False,,,12,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-54-58,1646553298,1.1419718265533447,16.054813861846924,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,16.054813861846924,0,12,abcf2_00003
12,89.6950578338591,False,,,13,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-54-59,1646553299,1.1043450832366943,17.159158945083618,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,17.159158945083618,0,13,abcf2_00003
13,90.0105152471083,False,,,14,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-00,1646553300,1.1264421939849854,18.285601139068604,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,18.285601139068604,0,14,abcf2_00003
14,90.27339642481599,False,,,15,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-01,1646553301,1.0633213520050049,19.34892249107361,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,19.34892249107361,0,15,abcf2_00003
15,90.06309148264984,False,,,16,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-02,1646553302,1.1289379596710205,20.47786045074463,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,20.47786045074463,0,16,abcf2_00003
16,90.16824395373291,False,,,17,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-04,1646553304,1.1096611022949219,21.58752155303955,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,21.58752155303955,0,17,abcf2_00003
17,90.06309148264984,False,,,18,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-05,1646553305,1.0993447303771973,22.686866283416748,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,22.686866283416748,0,18,abcf2_00003
18,90.90431125131441,False,,,19,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-06,1646553306,1.1012907028198242,23.788156986236572,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,23.788156986236572,0,19,abcf2_00003
19,90.37854889589906,False,,,20,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-07,1646553307,1.1062242984771729,24.894381284713745,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,24.894381284713745,0,20,abcf2_00003
20,90.22082018927445,False,,,21,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-08,1646553308,1.1044893264770508,25.998870611190796,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,25.998870611190796,0,21,abcf2_00003
21,91.27234490010515,False,,,22,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-09,1646553309,1.1056408882141113,27.104511499404907,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,27.104511499404907,0,22,abcf2_00003
22,90.90431125131441,False,,,23,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-10,1646553310,1.1021919250488281,28.206703424453735,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,28.206703424453735,0,23,abcf2_00003
23,90.37854889589906,False,,,24,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-11,1646553311,1.1108238697052002,29.317527294158936,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,29.317527294158936,0,24,abcf2_00003
24,90.79915878023134,False,,,25,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-12,1646553312,1.111975908279419,30.429503202438354,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,30.429503202438354,0,25,abcf2_00003
25,91.062039957939,False,,,26,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-14,1646553314,1.1335949897766113,31.563098192214966,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,31.563098192214966,0,26,abcf2_00003
26,91.21976866456362,False,,,27,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-15,1646553315,1.163942813873291,32.72704100608826,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,32.72704100608826,0,27,abcf2_00003
27,91.32492113564669,False,,,28,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-16,1646553316,1.0664236545562744,33.79346466064453,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,33.79346466064453,0,28,abcf2_00003
28,91.37749737118823,False,,,29,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-17,1646553317,1.0728859901428223,34.86635065078735,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,34.86635065078735,0,29,abcf2_00003
29,91.48264984227129,False,,,30,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-18,1646553318,1.1561274528503418,36.022478103637695,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,36.022478103637695,0,30,abcf2_00003
30,91.69295478443743,False,,,31,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-19,1646553319,1.0783205032348633,37.10079860687256,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,37.10079860687256,0,31,abcf2_00003
31,91.74553101997897,False,,,32,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-20,1646553320,1.1104345321655273,38.211233139038086,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,38.211233139038086,0,32,abcf2_00003
32,91.7981072555205,False,,,33,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-21,1646553321,1.100269079208374,39.31150221824646,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,39.31150221824646,0,33,abcf2_00003
33,91.90325972660357,False,,,34,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-22,1646553322,1.0731406211853027,40.38464283943176,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,40.38464283943176,0,34,abcf2_00003
34,91.85068349106203,False,,,35,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-24,1646553324,1.1093831062316895,41.49402594566345,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,41.49402594566345,0,35,abcf2_00003
35,91.90325972660357,False,,,36,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-25,1646553325,1.1247837543487549,42.61880970001221,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,42.61880970001221,0,36,abcf2_00003
36,91.85068349106203,False,,,37,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-26,1646553326,1.0816383361816406,43.70044803619385,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,43.70044803619385,0,37,abcf2_00003
37,92.00841219768665,False,,,38,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-27,1646553327,1.0975875854492188,44.798035621643066,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,44.798035621643066,0,38,abcf2_00003
38,91.9558359621451,False,,,39,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-28,1646553328,1.0847909450531006,45.88282656669617,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,45.88282656669617,0,39,abcf2_00003
39,91.90325972660357,False,,,40,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-29,1646553329,1.0661461353302002,46.94897270202637,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,46.94897270202637,0,40,abcf2_00003
40,92.16614090431125,False,,,41,1c123a263d4a4324bdde2efacb0320fb,2022-03-06_02-55-30,1646553330,1.1106412410736084,48.059613943099976,111533,bigboy2.cchem.berkeley.edu,128.32.17.9,48.059613943099976,0,41,abcf2_00003
