epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,56.51945320715037,False,,,1,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-11-32,1646554292,12.194592237472534,12.194592237472534,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,12.194592237472534,0,1,fe9ac_00001
1,80.5993690851735,False,,,2,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-11-41,1646554301,9.119716167449951,21.314308404922485,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,21.314308404922485,0,2,fe9ac_00001
2,88.74868559411146,False,,,3,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-11-50,1646554310,9.669573068618774,30.98388147354126,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,30.98388147354126,0,3,fe9ac_00001
3,92.16614090431125,False,,,4,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-12-00,1646554320,9.26056718826294,40.2444486618042,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,40.2444486618042,0,4,fe9ac_00001
4,93.21766561514195,False,,,5,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-12-09,1646554329,9.465367555618286,49.709816217422485,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,49.709816217422485,0,5,fe9ac_00001
5,93.5856992639327,False,,,6,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-12-19,1646554339,9.42065167427063,59.130467891693115,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,59.130467891693115,0,6,fe9ac_00001
6,93.84858044164038,False,,,7,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-12-28,1646554348,9.529475212097168,68.65994310379028,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,68.65994310379028,0,7,fe9ac_00001
7,93.90115667718192,False,,,8,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-12-38,1646554358,9.751768350601196,78.41171145439148,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,78.41171145439148,0,8,fe9ac_00001
8,93.84858044164038,False,,,9,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-12-47,1646554367,9.330689907073975,87.74240136146545,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,87.74240136146545,0,9,fe9ac_00001
9,94.37434279705573,False,,,10,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-12-57,1646554377,9.391934633255005,97.13433599472046,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,97.13433599472046,0,10,fe9ac_00001
10,94.84752891692955,False,,,11,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-13-06,1646554386,9.324015617370605,106.45835161209106,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,106.45835161209106,0,11,fe9ac_00001
11,94.4794952681388,False,,,12,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-13-16,1646554396,9.755498886108398,116.21385049819946,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,116.21385049819946,0,12,fe9ac_00001
12,94.74237644584647,False,,,13,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-13-25,1646554405,9.126647710800171,125.34049820899963,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,125.34049820899963,0,13,fe9ac_00001
13,94.90010515247108,False,,,14,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-13-34,1646554414,9.443031311035156,134.7835295200348,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,134.7835295200348,0,14,fe9ac_00001
14,95.16298633017875,False,,,15,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-13-44,1646554424,9.673677206039429,144.45720672607422,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,144.45720672607422,0,15,fe9ac_00001
15,95.42586750788644,False,,,16,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-13-53,1646554433,9.543180465698242,154.00038719177246,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,154.00038719177246,0,16,fe9ac_00001
16,95.42586750788644,False,,,17,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-14-03,1646554443,9.616787195205688,163.61717438697815,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,163.61717438697815,0,17,fe9ac_00001
17,95.21556256572029,False,,,18,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-14-13,1646554453,9.406259059906006,173.02343344688416,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,173.02343344688416,0,18,fe9ac_00001
18,95.42586750788644,False,,,19,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-14-22,1646554462,9.232721090316772,182.25615453720093,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,182.25615453720093,0,19,fe9ac_00001
19,95.3732912723449,False,,,20,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-14-31,1646554471,9.694606304168701,191.95076084136963,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,191.95076084136963,0,20,fe9ac_00001
20,95.58359621451105,False,,,21,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-14-41,1646554481,9.690719366073608,201.64148020744324,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,201.64148020744324,0,21,fe9ac_00001
21,95.47844374342796,False,,,22,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-14-51,1646554491,9.605962038040161,211.2474422454834,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,211.2474422454834,0,22,fe9ac_00001
22,95.63617245005258,False,,,23,e16686d0871d4689b1fc3c2624bbfd83,2022-03-06_03-15-00,1646554500,9.528486013412476,220.77592825889587,118323,bigboy2.cchem.berkeley.edu,128.32.17.9,220.77592825889587,0,23,fe9ac_00001
