epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,59.831756046267095,False,,,1,3100d6508c954ea29b99964977f684dc,2022-03-06_03-32-26,1646555546,3.7812771797180176,3.7812771797180176,125605,bigboy2.cchem.berkeley.edu,128.32.17.9,3.7812771797180176,0,1,ef4d9_00000
1,65.45741324921136,False,,,2,3100d6508c954ea29b99964977f684dc,2022-03-06_03-32-27,1646555547,1.0228252410888672,4.804102420806885,125605,bigboy2.cchem.berkeley.edu,128.32.17.9,4.804102420806885,0,2,ef4d9_00000
2,78.28601472134595,False,,,3,3100d6508c954ea29b99964977f684dc,2022-03-06_03-32-29,1646555549,1.133314609527588,5.937417030334473,125605,bigboy2.cchem.berkeley.edu,128.32.17.9,5.937417030334473,0,3,ef4d9_00000
3,80.4416403785489,False,,,4,3100d6508c954ea29b99964977f684dc,2022-03-06_03-32-30,1646555550,1.1383323669433594,7.075749397277832,125605,bigboy2.cchem.berkeley.edu,128.32.17.9,7.075749397277832,0,4,ef4d9_00000
4,81.59831756046268,False,,,5,3100d6508c954ea29b99964977f684dc,2022-03-06_03-32-31,1646555551,1.0999927520751953,8.175742149353027,125605,bigboy2.cchem.berkeley.edu,128.32.17.9,8.175742149353027,0,5,ef4d9_00000
5,82.33438485804416,False,,,6,3100d6508c954ea29b99964977f684dc,2022-03-06_03-32-32,1646555552,1.133852243423462,9.30959439277649,125605,bigboy2.cchem.berkeley.edu,128.32.17.9,9.30959439277649,0,6,ef4d9_00000
6,82.80757097791798,False,,,7,3100d6508c954ea29b99964977f684dc,2022-03-06_03-32-33,1646555553,1.0837090015411377,10.393303394317627,125605,bigboy2.cchem.berkeley.edu,128.32.17.9,10.393303394317627,0,7,ef4d9_00000
7,83.75394321766562,False,,,8,3100d6508c954ea29b99964977f684dc,2022-03-06_03-32-34,1646555554,1.1000034809112549,11.493306875228882,125605,bigboy2.cchem.berkeley.edu,128.32.17.9,11.493306875228882,0,8,ef4d9_00000
8,84.38485804416403,False,,,9,3100d6508c954ea29b99964977f684dc,2022-03-06_03-32-35,1646555555,1.0520169734954834,12.545323848724365,125605,bigboy2.cchem.berkeley.edu,128.32.17.9,12.545323848724365,0,9,ef4d9_00000
9,85.2260778128286,False,,,10,3100d6508c954ea29b99964977f684dc,2022-03-06_03-32-36,1646555556,1.1115574836730957,13.656881332397461,125605,bigboy2.cchem.berkeley.edu,128.32.17.9,13.656881332397461,0,10,ef4d9_00000
