epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,78.70662460567823,False,,,1,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-47-48,1646556468,4.393331527709961,4.393331527709961,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,4.393331527709961,0,1,13eab_00000
1,86.8559411146162,False,,,2,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-47-49,1646556469,1.275362253189087,5.668693780899048,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,5.668693780899048,0,2,13eab_00000
2,85.8044164037855,False,,,3,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-47-51,1646556471,1.3918259143829346,7.060519695281982,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,7.060519695281982,0,3,13eab_00000
3,85.2260778128286,False,,,4,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-47-52,1646556472,1.3586702346801758,8.419189929962158,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,8.419189929962158,0,4,13eab_00000
4,85.96214511041009,False,,,5,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-47-53,1646556473,1.371978521347046,9.791168451309204,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,9.791168451309204,0,5,13eab_00000
5,87.53943217665615,False,,,6,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-47-55,1646556475,1.3335332870483398,11.124701738357544,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,11.124701738357544,0,6,13eab_00000
6,88.17034700315457,False,,,7,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-47-56,1646556476,1.3923630714416504,12.517064809799194,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,12.517064809799194,0,7,13eab_00000
7,88.4858044164038,False,,,8,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-47-57,1646556477,1.318552017211914,13.835616827011108,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,13.835616827011108,0,8,13eab_00000
8,87.96004206098843,False,,,9,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-47-59,1646556479,1.3292124271392822,15.16482925415039,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,15.16482925415039,0,9,13eab_00000
9,88.01261829652996,False,,,10,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-00,1646556480,1.3080503940582275,16.472879648208618,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,16.472879648208618,0,10,13eab_00000
10,87.43427970557308,False,,,11,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-01,1646556481,1.3767588138580322,17.84963846206665,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,17.84963846206665,0,11,13eab_00000
11,87.80231335436383,False,,,12,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-03,1646556483,1.2897746562957764,19.139413118362427,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,19.139413118362427,0,12,13eab_00000
12,88.22292323869611,False,,,13,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-04,1646556484,1.4097039699554443,20.54911708831787,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,20.54911708831787,0,13,13eab_00000
13,88.27549947423763,False,,,14,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-05,1646556485,1.3077292442321777,21.85684633255005,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,21.85684633255005,0,14,13eab_00000
14,88.64353312302839,False,,,15,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-07,1646556487,1.3668735027313232,23.223719835281372,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,23.223719835281372,0,15,13eab_00000
15,88.11777076761304,False,,,16,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-08,1646556488,1.3703100681304932,24.594029903411865,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,24.594029903411865,0,16,13eab_00000
16,88.801261829653,False,,,17,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-10,1646556490,1.3073344230651855,25.90136432647705,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,25.90136432647705,0,17,13eab_00000
17,88.27549947423763,False,,,18,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-11,1646556491,1.32924222946167,27.23060655593872,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,27.23060655593872,0,18,13eab_00000
18,88.32807570977917,False,,,19,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-12,1646556492,1.3620364665985107,28.59264302253723,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,28.59264302253723,0,19,13eab_00000
19,89.22187171398528,False,,,20,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-14,1646556494,1.3691484928131104,29.961791515350342,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,29.961791515350342,0,20,13eab_00000
20,88.22292323869611,False,,,21,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-15,1646556495,1.3221714496612549,31.283962965011597,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,31.283962965011597,0,21,13eab_00000
21,89.43217665615141,False,,,22,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-16,1646556496,1.3299217224121094,32.613884687423706,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,32.613884687423706,0,22,13eab_00000
22,88.90641430073607,False,,,23,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-18,1646556498,1.2926137447357178,33.906498432159424,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,33.906498432159424,0,23,13eab_00000
23,88.38065194532071,False,,,24,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-19,1646556499,1.3288829326629639,35.23538136482239,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,35.23538136482239,0,24,13eab_00000
24,88.69610935856993,False,,,25,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-20,1646556500,1.3494460582733154,36.5848274230957,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,36.5848274230957,0,25,13eab_00000
25,88.74868559411146,False,,,26,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-22,1646556502,1.4127769470214844,37.99760437011719,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,37.99760437011719,0,26,13eab_00000
26,88.59095688748685,False,,,27,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-23,1646556503,1.3980388641357422,39.39564323425293,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,39.39564323425293,0,27,13eab_00000
27,88.0651945320715,False,,,28,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-24,1646556504,1.3859748840332031,40.78161811828613,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,40.78161811828613,0,28,13eab_00000
28,88.69610935856993,False,,,29,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-26,1646556506,1.331242561340332,42.112860679626465,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,42.112860679626465,0,29,13eab_00000
29,88.85383806519454,False,,,30,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-27,1646556507,1.3894636631011963,43.50232434272766,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,43.50232434272766,0,30,13eab_00000
30,89.6950578338591,False,,,31,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-29,1646556509,1.3022844791412354,44.8046088218689,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,44.8046088218689,0,31,13eab_00000
31,88.801261829653,False,,,32,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-30,1646556510,1.3268663883209229,46.13147521018982,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,46.13147521018982,0,32,13eab_00000
32,88.801261829653,False,,,33,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-31,1646556511,1.3100204467773438,47.44149565696716,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,47.44149565696716,0,33,13eab_00000
33,89.43217665615141,False,,,34,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-32,1646556512,1.3201730251312256,48.76166868209839,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,48.76166868209839,0,34,13eab_00000
34,89.90536277602523,False,,,35,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-34,1646556514,1.312103509902954,50.07377219200134,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,50.07377219200134,0,35,13eab_00000
35,90.16824395373291,False,,,36,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-35,1646556515,1.354356050491333,51.428128242492676,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,51.428128242492676,0,36,13eab_00000
36,89.1167192429022,False,,,37,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-37,1646556517,1.3479182720184326,52.77604651451111,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,52.77604651451111,0,37,13eab_00000
37,89.58990536277602,False,,,38,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-38,1646556518,1.330082893371582,54.10612940788269,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,54.10612940788269,0,38,13eab_00000
38,88.95899053627761,False,,,39,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-39,1646556519,1.3441474437713623,55.45027685165405,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,55.45027685165405,0,39,13eab_00000
39,89.85278654048369,False,,,40,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-41,1646556521,1.362368106842041,56.812644958496094,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,56.812644958496094,0,40,13eab_00000
40,89.95793901156676,False,,,41,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-42,1646556522,1.354248285293579,58.16689324378967,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,58.16689324378967,0,41,13eab_00000
41,89.48475289169295,False,,,42,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-43,1646556523,1.3911936283111572,59.55808687210083,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,59.55808687210083,0,42,13eab_00000
42,89.85278654048369,False,,,43,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-45,1646556525,1.355626106262207,60.91371297836304,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,60.91371297836304,0,43,13eab_00000
43,89.48475289169295,False,,,44,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-46,1646556526,1.329664707183838,62.243377685546875,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,62.243377685546875,0,44,13eab_00000
44,90.22082018927445,False,,,45,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-47,1646556527,1.3336482048034668,63.57702589035034,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,63.57702589035034,0,45,13eab_00000
45,90.27339642481599,False,,,46,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-49,1646556529,1.3105263710021973,64.88755226135254,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,64.88755226135254,0,46,13eab_00000
46,89.06414300736067,False,,,47,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-50,1646556530,1.355367660522461,66.242919921875,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,66.242919921875,0,47,13eab_00000
47,90.4311251314406,False,,,48,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-51,1646556531,1.3841214179992676,67.62704133987427,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,67.62704133987427,0,48,13eab_00000
48,90.22082018927445,False,,,49,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-53,1646556533,1.3695366382598877,68.99657797813416,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,68.99657797813416,0,49,13eab_00000
49,89.80021030494217,True,,,50,08d7b4acd6db4db1b0d04bda96d3548c,2022-03-06_03-48-54,1646556534,1.3680737018585205,70.36465167999268,132910,bigboy2.cchem.berkeley.edu,128.32.17.9,70.36465167999268,0,50,13eab_00000
