epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,86.1198738170347,False,,,1,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-01,1646556541,4.2289817333221436,4.2289817333221436,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,4.2289817333221436,0,1,13eab_00008
1,88.27549947423763,False,,,2,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-02,1646556542,1.0044803619384766,5.23346209526062,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,5.23346209526062,0,2,13eab_00008
2,89.74763406940063,False,,,3,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-03,1646556543,0.9488914012908936,6.182353496551514,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,6.182353496551514,0,3,13eab_00008
3,89.95793901156676,False,,,4,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-04,1646556544,0.9752323627471924,7.157585859298706,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,7.157585859298706,0,4,13eab_00008
4,88.01261829652996,False,,,5,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-05,1646556545,0.9813141822814941,8.1389000415802,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,8.1389000415802,0,5,13eab_00008
5,90.90431125131441,False,,,6,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-06,1646556546,0.9720311164855957,9.110931158065796,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,9.110931158065796,0,6,13eab_00008
6,86.64563617245005,False,,,7,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-07,1646556547,0.9822957515716553,10.093226909637451,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,10.093226909637451,0,7,13eab_00008
7,90.79915878023134,False,,,8,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-08,1646556548,0.9514105319976807,11.044637441635132,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,11.044637441635132,0,8,13eab_00008
8,90.90431125131441,False,,,9,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-09,1646556549,0.9761872291564941,12.020824670791626,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,12.020824670791626,0,9,13eab_00008
9,90.69400630914826,False,,,10,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-10,1646556550,0.9764938354492188,12.997318506240845,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,12.997318506240845,0,10,13eab_00008
10,91.58780231335436,False,,,11,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-11,1646556551,0.955298900604248,13.952617406845093,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,13.952617406845093,0,11,13eab_00008
11,91.27234490010515,False,,,12,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-12,1646556552,0.9420146942138672,14.89463210105896,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,14.89463210105896,0,12,13eab_00008
12,91.7981072555205,False,,,13,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-13,1646556553,0.9764108657836914,15.871042966842651,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,15.871042966842651,0,13,13eab_00008
13,91.90325972660357,False,,,14,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-14,1646556554,0.9837427139282227,16.854785680770874,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,16.854785680770874,0,14,13eab_00008
14,91.32492113564669,False,,,15,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-15,1646556555,0.9574294090270996,17.812215089797974,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,17.812215089797974,0,15,13eab_00008
15,90.95688748685595,False,,,16,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-16,1646556556,0.9888372421264648,18.80105233192444,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,18.80105233192444,0,16,13eab_00008
16,91.32492113564669,False,,,17,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-17,1646556557,0.9685707092285156,19.769623041152954,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,19.769623041152954,0,17,13eab_00008
17,90.64143007360673,False,,,18,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-18,1646556558,0.9711174964904785,20.740740537643433,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,20.740740537643433,0,18,13eab_00008
18,92.32386961093586,False,,,19,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-19,1646556559,0.9458887577056885,21.68662929534912,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,21.68662929534912,0,19,13eab_00008
19,91.7981072555205,False,,,20,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-20,1646556560,0.9907503128051758,22.677379608154297,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,22.677379608154297,0,20,13eab_00008
20,91.9558359621451,False,,,21,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-21,1646556561,0.9993224143981934,23.67670202255249,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,23.67670202255249,0,21,13eab_00008
21,91.43007360672975,False,,,22,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-22,1646556562,0.9763226509094238,24.653024673461914,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,24.653024673461914,0,22,13eab_00008
22,92.21871713985279,False,,,23,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-23,1646556563,0.9628486633300781,25.615873336791992,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,25.615873336791992,0,23,13eab_00008
23,90.85173501577287,False,,,24,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-24,1646556564,0.997626781463623,26.613500118255615,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,26.613500118255615,0,24,13eab_00008
24,86.59305993690852,False,,,25,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-25,1646556565,0.9457535743713379,27.559253692626953,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,27.559253692626953,0,25,13eab_00008
25,91.32492113564669,False,,,26,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-26,1646556566,0.9809980392456055,28.54025173187256,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,28.54025173187256,0,26,13eab_00008
26,91.58780231335436,False,,,27,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-27,1646556567,0.9711575508117676,29.511409282684326,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,29.511409282684326,0,27,13eab_00008
27,91.85068349106203,False,,,28,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-28,1646556568,0.9991323947906494,30.510541677474976,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,30.510541677474976,0,28,13eab_00008
28,92.11356466876973,False,,,29,35b3188a4a00491b994571b1d78e96bd,2022-03-06_03-49-29,1646556569,0.974090576171875,31.48463225364685,132915,bigboy2.cchem.berkeley.edu,128.32.17.9,31.48463225364685,0,29,13eab_00008
