epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,59.726603575184015,False,,,1,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-54-45,1646553285,3.779240608215332,3.779240608215332,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,3.779240608215332,0,1,abcf2_00000
1,79.02208201892745,False,,,2,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-54-46,1646553286,1.0469956398010254,4.826236248016357,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,4.826236248016357,0,2,abcf2_00000
2,75.92008412197687,False,,,3,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-54-47,1646553287,1.0919322967529297,5.918168544769287,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,5.918168544769287,0,3,abcf2_00000
3,76.13038906414302,False,,,4,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-54-49,1646553289,1.1167628765106201,7.034931421279907,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,7.034931421279907,0,4,abcf2_00000
4,77.91798107255521,False,,,5,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-54-50,1646553290,1.0661516189575195,8.101083040237427,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,8.101083040237427,0,5,abcf2_00000
5,79.07465825446897,False,,,6,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-54-51,1646553291,1.118345022201538,9.219428062438965,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,9.219428062438965,0,6,abcf2_00000
6,79.12723449001051,False,,,7,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-54-52,1646553292,1.1130058765411377,10.332433938980103,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,10.332433938980103,0,7,abcf2_00000
7,79.65299684542587,False,,,8,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-54-53,1646553293,1.0928819179534912,11.425315856933594,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,11.425315856933594,0,8,abcf2_00000
8,79.91587802313354,False,,,9,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-54-54,1646553294,1.0743143558502197,12.499630212783813,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,12.499630212783813,0,9,abcf2_00000
9,80.38906414300736,False,,,10,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-54-55,1646553295,1.0936803817749023,13.593310594558716,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,13.593310594558716,0,10,abcf2_00000
10,81.75604626708729,False,,,11,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-54-56,1646553296,1.0699403285980225,14.663250923156738,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,14.663250923156738,0,11,abcf2_00000
11,83.49106203995794,False,,,12,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-54-57,1646553297,1.072195053100586,15.735445976257324,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,15.735445976257324,0,12,abcf2_00000
12,85.01577287066246,False,,,13,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-54-58,1646553298,1.1285665035247803,16.864012479782104,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,16.864012479782104,0,13,abcf2_00000
13,86.43533123028391,False,,,14,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-54-59,1646553299,1.0987918376922607,17.962804317474365,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,17.962804317474365,0,14,abcf2_00000
14,87.85488958990535,False,,,15,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-01,1646553301,1.1093151569366455,19.07211947441101,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,19.07211947441101,0,15,abcf2_00000
15,88.43322818086226,False,,,16,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-02,1646553302,1.0807576179504395,20.15287709236145,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,20.15287709236145,0,16,abcf2_00000
16,89.06414300736067,False,,,17,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-03,1646553303,1.0673863887786865,21.220263481140137,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,21.220263481140137,0,17,abcf2_00000
17,89.22187171398528,False,,,18,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-04,1646553304,1.055755615234375,22.27601909637451,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,22.27601909637451,0,18,abcf2_00000
18,89.53732912723449,False,,,19,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-05,1646553305,1.0734758377075195,23.34949493408203,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,23.34949493408203,0,19,abcf2_00000
19,89.95793901156676,False,,,20,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-06,1646553306,1.097531795501709,24.44702672958374,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,24.44702672958374,0,20,abcf2_00000
20,90.11566771819138,False,,,21,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-07,1646553307,1.0841290950775146,25.531155824661255,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,25.531155824661255,0,21,abcf2_00000
21,90.06309148264984,False,,,22,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-08,1646553308,1.067896842956543,26.599052667617798,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,26.599052667617798,0,22,abcf2_00000
22,90.7465825446898,False,,,23,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-09,1646553309,1.1338930130004883,27.732945680618286,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,27.732945680618286,0,23,abcf2_00000
23,90.69400630914826,False,,,24,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-10,1646553310,1.1271398067474365,28.860085487365723,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,28.860085487365723,0,24,abcf2_00000
24,90.90431125131441,False,,,25,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-12,1646553312,1.0648624897003174,29.92494797706604,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,29.92494797706604,0,25,abcf2_00000
25,90.69400630914826,False,,,26,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-13,1646553313,1.0819802284240723,31.006928205490112,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,31.006928205490112,0,26,abcf2_00000
26,91.062039957939,False,,,27,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-14,1646553314,1.0604584217071533,32.067386627197266,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,32.067386627197266,0,27,abcf2_00000
27,91.21976866456362,False,,,28,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-15,1646553315,1.0830636024475098,33.150450229644775,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,33.150450229644775,0,28,abcf2_00000
28,91.21976866456362,False,,,29,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-16,1646553316,1.0874321460723877,34.23788237571716,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,34.23788237571716,0,29,abcf2_00000
29,91.21976866456362,False,,,30,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-17,1646553317,1.0954194068908691,35.33330178260803,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,35.33330178260803,0,30,abcf2_00000
30,91.27234490010515,False,,,31,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-18,1646553318,1.0795626640319824,36.412864446640015,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,36.412864446640015,0,31,abcf2_00000
31,91.21976866456362,False,,,32,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-19,1646553319,1.0918664932250977,37.50473093986511,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,37.50473093986511,0,32,abcf2_00000
32,91.21976866456362,False,,,33,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-20,1646553320,1.1181843280792236,38.622915267944336,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,38.622915267944336,0,33,abcf2_00000
33,91.16719242902208,False,,,34,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-21,1646553321,1.0731942653656006,39.69610953330994,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,39.69610953330994,0,34,abcf2_00000
34,91.32492113564669,False,,,35,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-22,1646553322,1.0945589542388916,40.79066848754883,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,40.79066848754883,0,35,abcf2_00000
35,91.32492113564669,False,,,36,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-24,1646553324,1.0762567520141602,41.86692523956299,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,41.86692523956299,0,36,abcf2_00000
36,91.16719242902208,False,,,37,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-25,1646553325,1.0478484630584717,42.91477370262146,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,42.91477370262146,0,37,abcf2_00000
37,91.16719242902208,False,,,38,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-26,1646553326,1.095526933670044,44.010300636291504,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,44.010300636291504,0,38,abcf2_00000
38,91.43007360672975,False,,,39,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-27,1646553327,1.1337828636169434,45.14408349990845,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,45.14408349990845,0,39,abcf2_00000
39,91.32492113564669,False,,,40,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-28,1646553328,1.1062772274017334,46.25036072731018,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,46.25036072731018,0,40,abcf2_00000
40,91.32492113564669,False,,,41,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-29,1646553329,1.075443983078003,47.325804710388184,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,47.325804710388184,0,41,abcf2_00000
41,91.37749737118823,False,,,42,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-30,1646553330,1.0630121231079102,48.388816833496094,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,48.388816833496094,0,42,abcf2_00000
42,91.43007360672975,False,,,43,a88b6eaf3f8349bd88405068a515026c,2022-03-06_02-55-31,1646553331,1.0758354663848877,49.46465229988098,111539,bigboy2.cchem.berkeley.edu,128.32.17.9,49.46465229988098,0,43,abcf2_00000
