epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,4bb0379374cf47afaf7978bbbda09359,2022-03-06_02-54-44,1646553284,3.3991706371307373,3.3991706371307373,111537,bigboy2.cchem.berkeley.edu,128.32.17.9,3.3991706371307373,0,1,abcf2_00005
1,49.89484752891693,False,,,2,4bb0379374cf47afaf7978bbbda09359,2022-03-06_02-54-45,1646553285,0.9541044235229492,4.3532750606536865,111537,bigboy2.cchem.berkeley.edu,128.32.17.9,4.3532750606536865,0,2,abcf2_00005
2,75.18401682439537,False,,,3,4bb0379374cf47afaf7978bbbda09359,2022-03-06_02-54-46,1646553286,1.0137417316436768,5.367016792297363,111537,bigboy2.cchem.berkeley.edu,128.32.17.9,5.367016792297363,0,3,abcf2_00005
3,84.01682439537329,False,,,4,4bb0379374cf47afaf7978bbbda09359,2022-03-06_02-54-47,1646553287,1.0198843479156494,6.386901140213013,111537,bigboy2.cchem.berkeley.edu,128.32.17.9,6.386901140213013,0,4,abcf2_00005
4,88.11777076761304,False,,,5,4bb0379374cf47afaf7978bbbda09359,2022-03-06_02-54-48,1646553288,1.119555950164795,7.506457090377808,111537,bigboy2.cchem.berkeley.edu,128.32.17.9,7.506457090377808,0,5,abcf2_00005
5,89.16929547844374,False,,,6,4bb0379374cf47afaf7978bbbda09359,2022-03-06_02-54-49,1646553289,1.0820221900939941,8.588479280471802,111537,bigboy2.cchem.berkeley.edu,128.32.17.9,8.588479280471802,0,6,abcf2_00005
6,90.37854889589906,False,,,7,4bb0379374cf47afaf7978bbbda09359,2022-03-06_02-54-50,1646553290,1.0797855854034424,9.668264865875244,111537,bigboy2.cchem.berkeley.edu,128.32.17.9,9.668264865875244,0,7,abcf2_00005
7,92.00841219768665,False,,,8,4bb0379374cf47afaf7978bbbda09359,2022-03-06_02-54-51,1646553291,1.070293664932251,10.738558530807495,111537,bigboy2.cchem.berkeley.edu,128.32.17.9,10.738558530807495,0,8,abcf2_00005
8,91.9558359621451,False,,,9,4bb0379374cf47afaf7978bbbda09359,2022-03-06_02-54-53,1646553293,1.1020317077636719,11.840590238571167,111537,bigboy2.cchem.berkeley.edu,128.32.17.9,11.840590238571167,0,9,abcf2_00005
9,92.16614090431125,False,,,10,4bb0379374cf47afaf7978bbbda09359,2022-03-06_02-54-54,1646553294,1.0965120792388916,12.937102317810059,111537,bigboy2.cchem.berkeley.edu,128.32.17.9,12.937102317810059,0,10,abcf2_00005
10,92.3764458464774,False,,,11,4bb0379374cf47afaf7978bbbda09359,2022-03-06_02-54-55,1646553295,1.1108968257904053,14.047999143600464,111537,bigboy2.cchem.berkeley.edu,128.32.17.9,14.047999143600464,0,11,abcf2_00005
11,92.32386961093586,False,,,12,4bb0379374cf47afaf7978bbbda09359,2022-03-06_02-54-56,1646553296,1.0944335460662842,15.142432689666748,111537,bigboy2.cchem.berkeley.edu,128.32.17.9,15.142432689666748,0,12,abcf2_00005
