epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,89.80021030494217,False,,,1,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-42,1646558982,3.6449663639068604,3.6449663639068604,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,3.6449663639068604,0,1,7def9_00014
1,90.16824395373291,False,,,2,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-42,1646558982,0.5588898658752441,4.2038562297821045,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,4.2038562297821045,0,2,7def9_00014
2,90.27339642481599,False,,,3,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-43,1646558983,0.5471856594085693,4.751041889190674,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,4.751041889190674,0,3,7def9_00014
3,90.79915878023134,False,,,4,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-43,1646558983,0.5512197017669678,5.302261590957642,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,5.302261590957642,0,4,7def9_00014
4,90.85173501577287,False,,,5,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-44,1646558984,0.5543036460876465,5.856565237045288,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,5.856565237045288,0,5,7def9_00014
5,90.11566771819138,False,,,6,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-44,1646558984,0.5535244941711426,6.410089731216431,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,6.410089731216431,0,6,7def9_00014
6,91.27234490010515,False,,,7,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-45,1646558985,0.5533297061920166,6.963419437408447,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,6.963419437408447,0,7,7def9_00014
7,90.85173501577287,False,,,8,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-45,1646558985,0.5466508865356445,7.510070323944092,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,7.510070323944092,0,8,7def9_00014
8,90.85173501577287,False,,,9,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-46,1646558986,0.5583846569061279,8.06845498085022,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,8.06845498085022,0,9,7def9_00014
9,90.53627760252367,False,,,10,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-47,1646558987,0.5468001365661621,8.615255117416382,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,8.615255117416382,0,10,7def9_00014
10,90.69400630914826,False,,,11,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-47,1646558987,0.5531609058380127,9.168416023254395,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,9.168416023254395,0,11,7def9_00014
11,90.90431125131441,False,,,12,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-48,1646558988,0.5513782501220703,9.719794273376465,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,9.719794273376465,0,12,7def9_00014
12,90.69400630914826,False,,,13,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-48,1646558988,0.5522751808166504,10.272069454193115,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,10.272069454193115,0,13,7def9_00014
13,90.85173501577287,False,,,14,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-49,1646558989,0.5516231060028076,10.823692560195923,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,10.823692560195923,0,14,7def9_00014
14,91.062039957939,False,,,15,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-49,1646558989,0.5450363159179688,11.368728876113892,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,11.368728876113892,0,15,7def9_00014
15,91.00946372239747,False,,,16,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-50,1646558990,0.5514070987701416,11.920135974884033,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,11.920135974884033,0,16,7def9_00014
16,91.43007360672975,False,,,17,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-50,1646558990,0.5541844367980957,12.474320411682129,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,12.474320411682129,0,17,7def9_00014
17,91.48264984227129,False,,,18,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-51,1646558991,0.550433874130249,13.024754285812378,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,13.024754285812378,0,18,7def9_00014
18,91.48264984227129,False,,,19,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-52,1646558992,0.5509140491485596,13.575668334960938,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,13.575668334960938,0,19,7def9_00014
19,91.58780231335436,False,,,20,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-52,1646558992,0.5476186275482178,14.123286962509155,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,14.123286962509155,0,20,7def9_00014
20,91.7981072555205,False,,,21,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-53,1646558993,0.5511057376861572,14.674392700195312,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,14.674392700195312,0,21,7def9_00014
21,92.534174553102,False,,,22,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-53,1646558993,0.5547032356262207,15.229095935821533,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,15.229095935821533,0,22,7def9_00014
22,91.32492113564669,False,,,23,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-54,1646558994,0.5509850978851318,15.780081033706665,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,15.780081033706665,0,23,7def9_00014
23,91.9558359621451,False,,,24,69acfeb98a96418a862437a35e5c8dc7,2022-03-06_04-29-54,1646558994,0.5468053817749023,16.326886415481567,146031,bigboy2.cchem.berkeley.edu,128.32.17.9,16.326886415481567,0,24,7def9_00014
