epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,79.86330178759201,False,,,1,21964afe3d65403c9dc7d1d6e0ae39b7,2022-03-09_05-18-22,1646803102,197.5768027305603,197.5768027305603,25963,instance-2,10.128.0.5,197.5768027305603,0,1,9fe71_00002
1,92.95478443743428,False,,,2,21964afe3d65403c9dc7d1d6e0ae39b7,2022-03-09_05-18-26,1646803106,3.964810371398926,201.54161310195923,25963,instance-2,10.128.0.5,201.54161310195923,0,2,9fe71_00002
2,94.68980021030494,False,,,3,21964afe3d65403c9dc7d1d6e0ae39b7,2022-03-09_05-18-30,1646803110,3.9544010162353516,205.49601411819458,25963,instance-2,10.128.0.5,205.49601411819458,0,3,9fe71_00002
3,95.16298633017875,False,,,4,21964afe3d65403c9dc7d1d6e0ae39b7,2022-03-09_05-18-34,1646803114,3.959618091583252,209.45563220977783,25963,instance-2,10.128.0.5,209.45563220977783,0,4,9fe71_00002
4,96.21451104100946,False,,,5,21964afe3d65403c9dc7d1d6e0ae39b7,2022-03-09_05-18-38,1646803118,3.9552125930786133,213.41084480285645,25963,instance-2,10.128.0.5,213.41084480285645,0,5,9fe71_00002
5,95.79390115667718,False,,,6,21964afe3d65403c9dc7d1d6e0ae39b7,2022-03-09_05-18-42,1646803122,3.9541842937469482,217.3650290966034,25963,instance-2,10.128.0.5,217.3650290966034,0,6,9fe71_00002
6,96.16193480546794,False,,,7,21964afe3d65403c9dc7d1d6e0ae39b7,2022-03-09_05-18-46,1646803126,3.9529380798339844,221.31796717643738,25963,instance-2,10.128.0.5,221.31796717643738,0,7,9fe71_00002
7,96.89800210304942,False,,,8,21964afe3d65403c9dc7d1d6e0ae39b7,2022-03-09_05-18-50,1646803130,3.964160919189453,225.28212809562683,25963,instance-2,10.128.0.5,225.28212809562683,0,8,9fe71_00002
8,96.84542586750788,False,,,9,21964afe3d65403c9dc7d1d6e0ae39b7,2022-03-09_05-18-54,1646803134,3.959157705307007,229.24128580093384,25963,instance-2,10.128.0.5,229.24128580093384,0,9,9fe71_00002
9,96.95057833859096,False,,,10,21964afe3d65403c9dc7d1d6e0ae39b7,2022-03-09_05-18-58,1646803138,3.9523940086364746,233.1936798095703,25963,instance-2,10.128.0.5,233.1936798095703,0,10,9fe71_00002
10,96.84542586750788,False,,,11,21964afe3d65403c9dc7d1d6e0ae39b7,2022-03-09_05-19-02,1646803142,3.9526381492614746,237.1463179588318,25963,instance-2,10.128.0.5,237.1463179588318,0,11,9fe71_00002
11,97.16088328075709,False,,,12,21964afe3d65403c9dc7d1d6e0ae39b7,2022-03-09_05-19-06,1646803146,3.9710452556610107,241.1173632144928,25963,instance-2,10.128.0.5,241.1173632144928,0,12,9fe71_00002
12,96.95057833859096,False,,,13,21964afe3d65403c9dc7d1d6e0ae39b7,2022-03-09_05-19-10,1646803150,3.9664266109466553,245.08378982543945,25963,instance-2,10.128.0.5,245.08378982543945,0,13,9fe71_00002
13,96.95057833859096,False,,,14,21964afe3d65403c9dc7d1d6e0ae39b7,2022-03-09_05-19-14,1646803154,3.9643938541412354,249.0481836795807,25963,instance-2,10.128.0.5,249.0481836795807,0,14,9fe71_00002
