epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,83.96424815983175,False,,,1,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-19-39,1646605179,7.821732044219971,7.821732044219971,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,7.821732044219971,0,1,a56ba_00006
1,92.84963196635121,False,,,2,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-19-43,1646605183,4.059523105621338,11.881255149841309,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,11.881255149841309,0,2,a56ba_00006
2,95.5310199789695,False,,,3,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-19-47,1646605187,4.035027265548706,15.916282415390015,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,15.916282415390015,0,3,a56ba_00006
3,96.21451104100946,False,,,4,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-19-51,1646605191,4.060165166854858,19.976447582244873,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,19.976447582244873,0,4,a56ba_00006
4,96.05678233438486,False,,,5,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-19-55,1646605195,4.051778078079224,24.028225660324097,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,24.028225660324097,0,5,a56ba_00006
5,96.79284963196635,False,,,6,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-00,1646605200,4.030663251876831,28.058888912200928,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,28.058888912200928,0,6,a56ba_00006
6,96.52996845425868,False,,,7,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-04,1646605204,4.0470640659332275,32.105952978134155,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,32.105952978134155,0,7,a56ba_00006
7,96.74027339642481,False,,,8,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-08,1646605208,4.075869083404541,36.181822061538696,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,36.181822061538696,0,8,a56ba_00006
8,97.0031545741325,False,,,9,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-12,1646605212,4.059702396392822,40.24152445793152,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,40.24152445793152,0,9,a56ba_00006
9,97.21345951629863,False,,,10,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-16,1646605216,4.050154685974121,44.29167914390564,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,44.29167914390564,0,10,a56ba_00006
10,97.10830704521555,False,,,11,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-20,1646605220,4.0544114112854,48.34609055519104,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,48.34609055519104,0,11,a56ba_00006
11,97.37118822292324,False,,,12,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-24,1646605224,4.087623834609985,52.433714389801025,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,52.433714389801025,0,12,a56ba_00006
12,97.21345951629863,False,,,13,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-28,1646605228,4.064198970794678,56.4979133605957,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,56.4979133605957,0,13,a56ba_00006
13,97.37118822292324,False,,,14,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-32,1646605232,4.04225492477417,60.54016828536987,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,60.54016828536987,0,14,a56ba_00006
14,97.21345951629863,False,,,15,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-36,1646605236,4.095567226409912,64.63573551177979,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,64.63573551177979,0,15,a56ba_00006
15,97.37118822292324,False,,,16,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-40,1646605240,4.0592405796051025,68.69497609138489,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,68.69497609138489,0,16,a56ba_00006
16,97.16088328075709,False,,,17,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-44,1646605244,4.043921709060669,72.73889780044556,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,72.73889780044556,0,17,a56ba_00006
17,97.37118822292324,False,,,18,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-48,1646605248,4.0893330574035645,76.82823085784912,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,76.82823085784912,0,18,a56ba_00006
18,97.21345951629863,False,,,19,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-52,1646605252,4.073784828186035,80.90201568603516,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,80.90201568603516,0,19,a56ba_00006
19,97.52891692954785,False,,,20,ed436e9eb3104711be9cc7d8c6ce492f,2022-03-06_17-20-56,1646605256,4.061400413513184,84.96341609954834,77070,bigboy2.cchem.berkeley.edu,128.32.17.9,84.96341609954834,0,20,a56ba_00006
