epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,46.89800210304942,False,,,1,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-25,1646806705,6.02883768081665,6.02883768081665,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.02883768081665,0,1,b2b46_00005
1,78.02313354363828,False,,,2,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-27,1646806707,2.06522798538208,8.09406566619873,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.09406566619873,0,2,b2b46_00005
2,81.54574132492114,False,,,3,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-29,1646806709,2.02264404296875,10.11670970916748,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.11670970916748,0,3,b2b46_00005
3,88.69610935856993,False,,,4,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-31,1646806711,2.0313918590545654,12.148101568222046,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.148101568222046,0,4,b2b46_00005
4,89.85278654048369,False,,,5,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-33,1646806713,2.0345959663391113,14.182697534561157,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.182697534561157,0,5,b2b46_00005
5,90.11566771819138,False,,,6,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-35,1646806715,2.0461466312408447,16.228844165802002,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.228844165802002,0,6,b2b46_00005
6,90.06309148264984,False,,,7,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-37,1646806717,2.025853157043457,18.25469732284546,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.25469732284546,0,7,b2b46_00005
7,90.11566771819138,False,,,8,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-39,1646806719,2.0196890830993652,20.274386405944824,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.274386405944824,0,8,b2b46_00005
8,90.53627760252367,False,,,9,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-41,1646806721,2.039780855178833,22.314167261123657,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.314167261123657,0,9,b2b46_00005
9,90.4311251314406,False,,,10,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-44,1646806724,2.072742223739624,24.38690948486328,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.38690948486328,0,10,b2b46_00005
10,90.69400630914826,False,,,11,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-46,1646806726,2.063589096069336,26.450498580932617,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.450498580932617,0,11,b2b46_00005
11,91.21976866456362,False,,,12,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-48,1646806728,2.054591178894043,28.50508975982666,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.50508975982666,0,12,b2b46_00005
12,91.16719242902208,False,,,13,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-50,1646806730,2.0391697883605957,30.544259548187256,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.544259548187256,0,13,b2b46_00005
13,90.95688748685595,False,,,14,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-52,1646806732,2.0375897884368896,32.581849336624146,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.581849336624146,0,14,b2b46_00005
14,91.85068349106203,False,,,15,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-54,1646806734,2.0439441204071045,34.62579345703125,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.62579345703125,0,15,b2b46_00005
15,91.85068349106203,False,,,16,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-56,1646806736,2.0554821491241455,36.681275606155396,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.681275606155396,0,16,b2b46_00005
16,92.16614090431125,False,,,17,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-18-58,1646806738,2.036944627761841,38.718220233917236,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.718220233917236,0,17,b2b46_00005
17,92.63932702418506,False,,,18,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-19-00,1646806740,2.0485994815826416,40.76681971549988,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.76681971549988,0,18,b2b46_00005
18,93.27024185068349,False,,,19,4b991e4b8d9c4863960f6b5b5aef62dc,2022-03-09_06-19-02,1646806742,2.027559995651245,42.79437971115112,80528,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,42.79437971115112,0,19,b2b46_00005
