epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,85.69926393270242,False,,,1,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-34-39,1646807679,26.124100923538208,26.124100923538208,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.124100923538208,0,1,e972e_00000
1,92.42902208201893,False,,,2,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-34-55,1646807695,15.469914197921753,41.59401512145996,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,41.59401512145996,0,2,e972e_00000
2,94.84752891692955,False,,,3,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-35-10,1646807710,15.370330572128296,56.96434569358826,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,56.96434569358826,0,3,e972e_00000
3,95.47844374342796,False,,,4,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-35-25,1646807725,15.382256507873535,72.34660220146179,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,72.34660220146179,0,4,e972e_00000
4,95.42586750788644,False,,,5,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-35-41,1646807741,15.301589012145996,87.64819121360779,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,87.64819121360779,0,5,e972e_00000
5,95.68874868559412,False,,,6,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-35-56,1646807756,15.359130144119263,103.00732135772705,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,103.00732135772705,0,6,e972e_00000
6,95.95162986330179,False,,,7,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-36-11,1646807771,15.36533260345459,118.37265396118164,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,118.37265396118164,0,7,e972e_00000
7,95.95162986330179,False,,,8,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-36-27,1646807787,15.501587867736816,133.87424182891846,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,133.87424182891846,0,8,e972e_00000
8,96.16193480546794,False,,,9,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-36-42,1646807802,15.39113998413086,149.26538181304932,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,149.26538181304932,0,9,e972e_00000
9,96.21451104100946,False,,,10,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-36-58,1646807818,15.375647068023682,164.641028881073,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,164.641028881073,0,10,e972e_00000
10,96.00420609884333,False,,,11,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-37-13,1646807833,15.556785345077515,180.1978142261505,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,180.1978142261505,0,11,e972e_00000
11,96.79284963196635,False,,,12,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-37-29,1646807849,15.383541107177734,195.58135533332825,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,195.58135533332825,0,12,e972e_00000
12,97.16088328075709,False,,,13,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-37-44,1646807864,15.640982627868652,211.2223379611969,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,211.2223379611969,0,13,e972e_00000
13,97.0031545741325,False,,,14,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-38-00,1646807880,15.39975643157959,226.6220943927765,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,226.6220943927765,0,14,e972e_00000
14,97.05573080967402,False,,,15,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-38-15,1646807895,15.459641218185425,242.0817356109619,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,242.0817356109619,0,15,e972e_00000
15,97.3186119873817,False,,,16,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-38-31,1646807911,15.427806615829468,257.5095422267914,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,257.5095422267914,0,16,e972e_00000
16,96.95057833859096,False,,,17,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-38-46,1646807926,15.437211513519287,272.94675374031067,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,272.94675374031067,0,17,e972e_00000
17,97.3186119873817,False,,,18,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-39-01,1646807941,15.254655599594116,288.2014093399048,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,288.2014093399048,0,18,e972e_00000
18,97.26603575184016,False,,,19,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-39-17,1646807957,15.439933061599731,303.6413424015045,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,303.6413424015045,0,19,e972e_00000
19,97.37118822292324,False,,,20,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-39-32,1646807972,15.407424926757812,319.04876732826233,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,319.04876732826233,0,20,e972e_00000
20,97.26603575184016,False,,,21,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-39-47,1646807987,15.331456184387207,334.38022351264954,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,334.38022351264954,0,21,e972e_00000
21,97.26603575184016,False,,,22,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-40-03,1646808003,15.476620197296143,349.8568437099457,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,349.8568437099457,0,22,e972e_00000
22,97.26603575184016,False,,,23,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-40-18,1646808018,15.45734167098999,365.31418538093567,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,365.31418538093567,0,23,e972e_00000
23,97.63406940063092,False,,,24,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-40-34,1646808034,15.484721660614014,380.7989070415497,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,380.7989070415497,0,24,e972e_00000
24,97.47634069400631,False,,,25,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-40-49,1646808049,15.498817205429077,396.29772424697876,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,396.29772424697876,0,25,e972e_00000
25,97.37118822292324,False,,,26,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-41-05,1646808065,15.43059229850769,411.72831654548645,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,411.72831654548645,0,26,e972e_00000
26,97.47634069400631,False,,,27,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-41-20,1646808080,15.245496988296509,426.97381353378296,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,426.97381353378296,0,27,e972e_00000
27,97.58149316508938,False,,,28,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-41-35,1646808095,15.341412544250488,442.31522607803345,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,442.31522607803345,0,28,e972e_00000
28,97.58149316508938,False,,,29,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-41-51,1646808111,15.428752660751343,457.7439787387848,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,457.7439787387848,0,29,e972e_00000
29,97.3186119873817,False,,,30,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-42-06,1646808126,15.451056957244873,473.19503569602966,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,473.19503569602966,0,30,e972e_00000
30,97.52891692954785,False,,,31,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-42-22,1646808142,15.548938274383545,488.7439739704132,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,488.7439739704132,0,31,e972e_00000
31,97.42376445846477,False,,,32,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-42-37,1646808157,15.541373014450073,504.2853469848633,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,504.2853469848633,0,32,e972e_00000
32,97.52891692954785,False,,,33,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-42-53,1646808173,15.46408224105835,519.7494292259216,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,519.7494292259216,0,33,e972e_00000
33,97.42376445846477,False,,,34,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-43-08,1646808188,15.32163143157959,535.0710606575012,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,535.0710606575012,0,34,e972e_00000
34,97.42376445846477,False,,,35,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-43-24,1646808204,15.345168828964233,550.4162294864655,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,550.4162294864655,0,35,e972e_00000
35,97.63406940063092,False,,,36,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-43-39,1646808219,15.424759864807129,565.8409893512726,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,565.8409893512726,0,36,e972e_00000
36,97.47634069400631,False,,,37,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-43-55,1646808235,15.550964117050171,581.3919534683228,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,581.3919534683228,0,37,e972e_00000
37,97.3186119873817,False,,,38,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-44-10,1646808250,15.434460163116455,596.8264136314392,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,596.8264136314392,0,38,e972e_00000
38,97.3186119873817,False,,,39,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-44-25,1646808265,15.435250282287598,612.2616639137268,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,612.2616639137268,0,39,e972e_00000
39,97.37118822292324,True,,,40,38adb1982f0c41ed931cf14882542fa4,2022-03-09_06-44-41,1646808281,15.547223567962646,627.8088874816895,95727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,627.8088874816895,0,40,e972e_00000
