epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,89.64248159831756,False,,,1,38abaa85d74e4e679c2a6807bddb90ae,2022-03-06_03-47-50,1646556470,4.9884421825408936,4.9884421825408936,132916,bigboy2.cchem.berkeley.edu,128.32.17.9,4.9884421825408936,0,1,13eab_00004
1,91.69295478443743,False,,,2,38abaa85d74e4e679c2a6807bddb90ae,2022-03-06_03-47-51,1646556471,1.3708884716033936,6.359330654144287,132916,bigboy2.cchem.berkeley.edu,128.32.17.9,6.359330654144287,0,2,13eab_00004
2,90.4311251314406,False,,,3,38abaa85d74e4e679c2a6807bddb90ae,2022-03-06_03-47-53,1646556473,1.285902738571167,7.645233392715454,132916,bigboy2.cchem.berkeley.edu,128.32.17.9,7.645233392715454,0,3,13eab_00004
3,91.37749737118823,False,,,4,38abaa85d74e4e679c2a6807bddb90ae,2022-03-06_03-47-54,1646556474,1.2559223175048828,8.901155710220337,132916,bigboy2.cchem.berkeley.edu,128.32.17.9,8.901155710220337,0,4,13eab_00004
4,92.48159831756047,False,,,5,38abaa85d74e4e679c2a6807bddb90ae,2022-03-06_03-47-55,1646556475,1.3487656116485596,10.249921321868896,132916,bigboy2.cchem.berkeley.edu,128.32.17.9,10.249921321868896,0,5,13eab_00004
5,92.42902208201893,False,,,6,38abaa85d74e4e679c2a6807bddb90ae,2022-03-06_03-47-57,1646556477,1.3425171375274658,11.592438459396362,132916,bigboy2.cchem.berkeley.edu,128.32.17.9,11.592438459396362,0,6,13eab_00004
6,92.32386961093586,False,,,7,38abaa85d74e4e679c2a6807bddb90ae,2022-03-06_03-47-58,1646556478,1.3420336246490479,12.93447208404541,132916,bigboy2.cchem.berkeley.edu,128.32.17.9,12.93447208404541,0,7,13eab_00004
7,92.6919032597266,False,,,8,38abaa85d74e4e679c2a6807bddb90ae,2022-03-06_03-47-59,1646556479,1.4002690315246582,14.334741115570068,132916,bigboy2.cchem.berkeley.edu,128.32.17.9,14.334741115570068,0,8,13eab_00004
8,92.63932702418506,False,,,9,38abaa85d74e4e679c2a6807bddb90ae,2022-03-06_03-48-01,1646556481,1.359203577041626,15.693944692611694,132916,bigboy2.cchem.berkeley.edu,128.32.17.9,15.693944692611694,0,9,13eab_00004
9,92.6919032597266,False,,,10,38abaa85d74e4e679c2a6807bddb90ae,2022-03-06_03-48-02,1646556482,1.3241336345672607,17.018078327178955,132916,bigboy2.cchem.berkeley.edu,128.32.17.9,17.018078327178955,0,10,13eab_00004
