epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,79.65299684542587,False,,,1,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-29,1646556989,5.2166337966918945,5.2166337966918945,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,5.2166337966918945,0,1,18344_00011
1,80.54679284963197,False,,,2,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-31,1646556991,1.3660199642181396,6.582653760910034,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,6.582653760910034,0,2,18344_00011
2,81.4931650893796,False,,,3,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-32,1646556992,1.331265926361084,7.913919687271118,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,7.913919687271118,0,3,18344_00011
3,80.91482649842271,False,,,4,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-33,1646556993,1.358854055404663,9.272773742675781,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,9.272773742675781,0,4,18344_00011
4,80.96740273396425,False,,,5,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-35,1646556995,1.3571052551269531,10.629878997802734,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,10.629878997802734,0,5,18344_00011
5,81.17770767613038,False,,,6,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-36,1646556996,1.39288330078125,12.022762298583984,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,12.022762298583984,0,6,18344_00011
6,81.54574132492114,False,,,7,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-37,1646556997,1.382596731185913,13.405359029769897,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,13.405359029769897,0,7,18344_00011
7,81.07255520504731,False,,,8,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-39,1646556999,1.3650789260864258,14.770437955856323,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,14.770437955856323,0,8,18344_00011
8,80.70452155625657,False,,,9,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-40,1646557000,1.3234827518463135,16.093920707702637,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,16.093920707702637,0,9,18344_00011
9,81.17770767613038,False,,,10,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-42,1646557002,1.3440358638763428,17.43795657157898,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,17.43795657157898,0,10,18344_00011
10,81.12513144058885,False,,,11,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-43,1646557003,1.3385083675384521,18.77646493911743,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,18.77646493911743,0,11,18344_00011
11,81.07255520504731,False,,,12,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-44,1646557004,1.328380823135376,20.104845762252808,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,20.104845762252808,0,12,18344_00011
12,80.7570977917981,False,,,13,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-46,1646557006,1.330063819885254,21.43490958213806,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,21.43490958213806,0,13,18344_00011
13,80.91482649842271,False,,,14,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-47,1646557007,1.3151378631591797,22.75004744529724,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,22.75004744529724,0,14,18344_00011
14,80.49421661409043,False,,,15,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-48,1646557008,1.3840372562408447,24.134084701538086,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,24.134084701538086,0,15,18344_00011
15,81.44058885383807,False,,,16,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-50,1646557010,1.3272724151611328,25.46135711669922,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,25.46135711669922,0,16,18344_00011
16,81.23028391167192,False,,,17,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-51,1646557011,1.368851661682129,26.830208778381348,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,26.830208778381348,0,17,18344_00011
17,80.91482649842271,False,,,18,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-52,1646557012,1.3682570457458496,28.198465824127197,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,28.198465824127197,0,18,18344_00011
18,81.07255520504731,False,,,19,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-54,1646557014,1.3657443523406982,29.564210176467896,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,29.564210176467896,0,19,18344_00011
19,81.70347003154575,False,,,20,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-55,1646557015,1.3713135719299316,30.935523748397827,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,30.935523748397827,0,20,18344_00011
20,82.17665615141956,False,,,21,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-56,1646557016,1.404705286026001,32.34022903442383,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,32.34022903442383,0,21,18344_00011
21,80.7570977917981,False,,,22,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-58,1646557018,1.3692295551300049,33.70945858955383,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,33.70945858955383,0,22,18344_00011
22,79.96845425867508,False,,,23,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-56-59,1646557019,1.3332011699676514,35.042659759521484,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,35.042659759521484,0,23,18344_00011
23,80.38906414300736,False,,,24,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-57-01,1646557021,1.3454067707061768,36.38806653022766,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,36.38806653022766,0,24,18344_00011
24,81.80862250262881,False,,,25,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-57-02,1646557022,1.3659067153930664,37.75397324562073,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,37.75397324562073,0,25,18344_00011
25,79.81072555205047,False,,,26,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-57-03,1646557023,1.3398869037628174,39.093860149383545,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,39.093860149383545,0,26,18344_00011
26,80.70452155625657,False,,,27,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-57-05,1646557025,1.3561780452728271,40.45003819465637,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,40.45003819465637,0,27,18344_00011
27,81.12513144058885,False,,,28,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-57-06,1646557026,1.3231210708618164,41.77315926551819,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,41.77315926551819,0,28,18344_00011
28,81.01997896950579,False,,,29,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-57-07,1646557027,1.377230167388916,43.150389432907104,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,43.150389432907104,0,29,18344_00011
29,80.70452155625657,False,,,30,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-57-09,1646557029,1.3620336055755615,44.512423038482666,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,44.512423038482666,0,30,18344_00011
30,80.5993690851735,False,,,31,4cfc99eeacae4bf59a69e44b9755deb6,2022-03-06_03-57-10,1646557030,1.382615327835083,45.89503836631775,137083,bigboy2.cchem.berkeley.edu,128.32.17.9,45.89503836631775,0,31,18344_00011
