epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,59.2534174553102,False,,,1,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-51,1646557791,3.7076635360717773,3.7076635360717773,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,3.7076635360717773,0,1,63f52_00006
1,88.64353312302839,False,,,2,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-51,1646557791,0.5303671360015869,4.238030672073364,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,4.238030672073364,0,2,63f52_00006
2,92.11356466876973,False,,,3,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-52,1646557792,0.5378861427307129,4.775916814804077,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,4.775916814804077,0,3,63f52_00006
3,93.5856992639327,False,,,4,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-53,1646557793,0.5308530330657959,5.306769847869873,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,5.306769847869873,0,4,63f52_00006
4,94.1640378548896,False,,,5,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-53,1646557793,0.5338764190673828,5.840646266937256,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,5.840646266937256,0,5,63f52_00006
5,94.4794952681388,False,,,6,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-54,1646557794,0.5289425849914551,6.369588851928711,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,6.369588851928711,0,6,63f52_00006
6,94.84752891692955,False,,,7,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-54,1646557794,0.5311834812164307,6.900772333145142,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,6.900772333145142,0,7,63f52_00006
7,94.53207150368034,False,,,8,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-55,1646557795,0.5331456661224365,7.433917999267578,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,7.433917999267578,0,8,63f52_00006
8,94.68980021030494,False,,,9,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-55,1646557795,0.5332686901092529,7.967186689376831,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,7.967186689376831,0,9,63f52_00006
9,95.3732912723449,False,,,10,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-56,1646557796,0.5283918380737305,8.495578527450562,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,8.495578527450562,0,10,63f52_00006
10,95.63617245005258,False,,,11,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-56,1646557796,0.5363326072692871,9.031911134719849,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,9.031911134719849,0,11,63f52_00006
11,96.1093585699264,False,,,12,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-57,1646557797,0.5404062271118164,9.572317361831665,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,9.572317361831665,0,12,63f52_00006
12,96.1093585699264,False,,,13,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-57,1646557797,0.5400593280792236,10.112376689910889,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,10.112376689910889,0,13,63f52_00006
13,96.267087276551,False,,,14,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-58,1646557798,0.5394880771636963,10.651864767074585,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,10.651864767074585,0,14,63f52_00006
14,95.47844374342796,False,,,15,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-58,1646557798,0.5327944755554199,11.184659242630005,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,11.184659242630005,0,15,63f52_00006
15,96.31966351209253,False,,,16,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-09-59,1646557799,0.5318319797515869,11.716491222381592,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,11.716491222381592,0,16,63f52_00006
16,96.47739221871714,False,,,17,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-10-00,1646557800,0.5372779369354248,12.253769159317017,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,12.253769159317017,0,17,63f52_00006
17,96.47739221871714,False,,,18,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-10-00,1646557800,0.5321042537689209,12.785873413085938,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,12.785873413085938,0,18,63f52_00006
18,96.89800210304942,False,,,19,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-10-01,1646557801,0.5315330028533936,13.317406415939331,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,13.317406415939331,0,19,63f52_00006
19,96.74027339642481,False,,,20,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-10-01,1646557801,0.5421252250671387,13.85953164100647,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,13.85953164100647,0,20,63f52_00006
20,96.52996845425868,False,,,21,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-10-02,1646557802,0.537355899810791,14.39688754081726,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,14.39688754081726,0,21,63f52_00006
21,96.4248159831756,False,,,22,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-10-02,1646557802,0.532660961151123,14.929548501968384,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,14.929548501968384,0,22,63f52_00006
22,96.84542586750788,False,,,23,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-10-03,1646557803,0.5304787158966064,15.46002721786499,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,15.46002721786499,0,23,63f52_00006
23,96.58254468980022,False,,,24,869291d5db3342c29a7a04c2e4b8259b,2022-03-06_04-10-03,1646557803,0.5306999683380127,15.990727186203003,140668,bigboy2.cchem.berkeley.edu,128.32.17.9,15.990727186203003,0,24,63f52_00006
