epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,86.59305993690852,False,,,1,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-14-56,1646558096,3.6294736862182617,3.6294736862182617,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,3.6294736862182617,0,1,63f52_00012
1,91.74553101997897,False,,,2,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-14-57,1646558097,0.5435736179351807,4.173047304153442,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,4.173047304153442,0,2,63f52_00012
2,92.58675078864354,False,,,3,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-14-57,1646558097,0.5346395969390869,4.707686901092529,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,4.707686901092529,0,3,63f52_00012
3,94.21661409043112,False,,,4,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-14-58,1646558098,0.5332918167114258,5.240978717803955,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,5.240978717803955,0,4,63f52_00012
4,95.21556256572029,False,,,5,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-14-58,1646558098,0.5357120037078857,5.776690721511841,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,5.776690721511841,0,5,63f52_00012
5,91.7981072555205,False,,,6,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-14-59,1646558099,0.54099440574646,6.317685127258301,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,6.317685127258301,0,6,63f52_00012
6,94.37434279705573,False,,,7,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-14-59,1646558099,0.5456712245941162,6.863356351852417,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,6.863356351852417,0,7,63f52_00012
7,95.95162986330179,False,,,8,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-00,1646558100,0.5436916351318359,7.407047986984253,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,7.407047986984253,0,8,63f52_00012
8,93.5856992639327,False,,,9,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-00,1646558100,0.5430960655212402,7.950144052505493,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,7.950144052505493,0,9,63f52_00012
9,95.26813880126183,False,,,10,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-01,1646558101,0.5326361656188965,8.48278021812439,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,8.48278021812439,0,10,63f52_00012
10,94.84752891692955,False,,,11,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-02,1646558102,0.5397965908050537,9.022576808929443,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,9.022576808929443,0,11,63f52_00012
11,95.05783385909568,False,,,12,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-02,1646558102,0.535900354385376,9.55847716331482,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,9.55847716331482,0,12,63f52_00012
12,95.26813880126183,False,,,13,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-03,1646558103,0.5369198322296143,10.095396995544434,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,10.095396995544434,0,13,63f52_00012
13,91.00946372239747,False,,,14,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-03,1646558103,0.5335662364959717,10.628963232040405,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,10.628963232040405,0,14,63f52_00012
14,94.00630914826499,False,,,15,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-04,1646558104,0.5377039909362793,11.166667222976685,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,11.166667222976685,0,15,63f52_00012
15,94.79495268138801,False,,,16,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-04,1646558104,0.5373330116271973,11.704000234603882,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,11.704000234603882,0,16,63f52_00012
16,94.58464773922188,False,,,17,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-05,1646558105,0.5335037708282471,12.237504005432129,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,12.237504005432129,0,17,63f52_00012
17,95.32071503680336,False,,,18,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-05,1646558105,0.529365062713623,12.766869068145752,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,12.766869068145752,0,18,63f52_00012
18,95.47844374342796,False,,,19,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-06,1646558106,0.5358095169067383,13.30267858505249,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,13.30267858505249,0,19,63f52_00012
19,95.11041009463722,False,,,20,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-06,1646558106,0.5333552360534668,13.836033821105957,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,13.836033821105957,0,20,63f52_00012
20,96.16193480546794,False,,,21,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-07,1646558107,0.5332751274108887,14.369308948516846,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,14.369308948516846,0,21,63f52_00012
21,95.47844374342796,False,,,22,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-07,1646558107,0.534679651260376,14.903988599777222,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,14.903988599777222,0,22,63f52_00012
22,95.58359621451105,False,,,23,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-08,1646558108,0.534451961517334,15.438440561294556,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,15.438440561294556,0,23,63f52_00012
23,94.3217665615142,False,,,24,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-08,1646558108,0.5350074768066406,15.973448038101196,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,15.973448038101196,0,24,63f52_00012
24,95.84647739221872,False,,,25,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-09,1646558109,0.533907413482666,16.507355451583862,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,16.507355451583862,0,25,63f52_00012
25,95.11041009463722,False,,,26,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-10,1646558110,0.5392773151397705,17.046632766723633,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,17.046632766723633,0,26,63f52_00012
26,94.68980021030494,False,,,27,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-10,1646558110,0.5357441902160645,17.582376956939697,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,17.582376956939697,0,27,63f52_00012
27,94.95268138801262,False,,,28,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-11,1646558111,0.5334572792053223,18.11583423614502,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,18.11583423614502,0,28,63f52_00012
28,95.26813880126183,False,,,29,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-11,1646558111,0.5303616523742676,18.646195888519287,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,18.646195888519287,0,29,63f52_00012
29,95.58359621451105,False,,,30,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-12,1646558112,0.5345933437347412,19.18078923225403,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,19.18078923225403,0,30,63f52_00012
30,95.58359621451105,False,,,31,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-12,1646558112,0.5299615859985352,19.710750818252563,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,19.710750818252563,0,31,63f52_00012
31,95.32071503680336,False,,,32,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-13,1646558113,0.5369532108306885,20.247704029083252,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,20.247704029083252,0,32,63f52_00012
32,94.95268138801262,False,,,33,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-13,1646558113,0.5362794399261475,20.7839834690094,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,20.7839834690094,0,33,63f52_00012
33,95.3732912723449,False,,,34,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-14,1646558114,0.5394911766052246,21.323474645614624,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,21.323474645614624,0,34,63f52_00012
34,95.58359621451105,False,,,35,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-14,1646558114,0.5455193519592285,21.868993997573853,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,21.868993997573853,0,35,63f52_00012
35,95.95162986330179,False,,,36,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-15,1646558115,0.5501186847686768,22.41911268234253,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,22.41911268234253,0,36,63f52_00012
36,94.1640378548896,False,,,37,2cd853d328bb47ba884a37128ce75fb6,2022-03-06_04-15-16,1646558116,0.5428810119628906,22.96199369430542,140660,bigboy2.cchem.berkeley.edu,128.32.17.9,22.96199369430542,0,37,63f52_00012
