epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-11-34,1646554294,13.396695613861084,13.396695613861084,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,13.396695613861084,0,1,fe9ac_00000
1,53.52260778128286,False,,,2,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-11-43,1646554303,9.297630786895752,22.694326400756836,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,22.694326400756836,0,2,fe9ac_00000
2,61.40904311251314,False,,,3,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-11-52,1646554312,9.46975064277649,32.164077043533325,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,32.164077043533325,0,3,fe9ac_00000
3,74.55310199789696,False,,,4,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-12-02,1646554322,9.577397108078003,41.74147415161133,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,41.74147415161133,0,4,fe9ac_00000
4,84.38485804416403,False,,,5,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-12-11,1646554331,9.525980710983276,51.267454862594604,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,51.267454862594604,0,5,fe9ac_00000
5,86.43533123028391,False,,,6,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-12-21,1646554341,9.49137830734253,60.758833169937134,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,60.758833169937134,0,6,fe9ac_00000
6,89.06414300736067,False,,,7,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-12-31,1646554351,9.9138023853302,70.67263555526733,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,70.67263555526733,0,7,fe9ac_00000
7,90.22082018927445,False,,,8,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-12-40,1646554360,9.596688270568848,80.26932382583618,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,80.26932382583618,0,8,fe9ac_00000
8,90.58885383806519,False,,,9,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-12-50,1646554370,9.494060039520264,89.76338386535645,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,89.76338386535645,0,9,fe9ac_00000
9,90.79915878023134,False,,,10,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-12-59,1646554379,9.341850757598877,99.10523462295532,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,99.10523462295532,0,10,fe9ac_00000
10,91.21976866456362,False,,,11,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-13-09,1646554389,9.591522455215454,108.69675707817078,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,108.69675707817078,0,11,fe9ac_00000
11,91.43007360672975,False,,,12,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-13-18,1646554398,9.433114290237427,118.1298713684082,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,118.1298713684082,0,12,fe9ac_00000
12,91.9558359621451,False,,,13,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-13-28,1646554408,9.711357116699219,127.84122848510742,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,127.84122848510742,0,13,fe9ac_00000
13,91.69295478443743,False,,,14,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-13-37,1646554417,9.31210732460022,137.15333580970764,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,137.15333580970764,0,14,fe9ac_00000
14,92.21871713985279,False,,,15,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-13-47,1646554427,9.626775979995728,146.78011178970337,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,146.78011178970337,0,15,fe9ac_00000
15,92.00841219768665,False,,,16,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-13-57,1646554437,9.508836269378662,156.28894805908203,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,156.28894805908203,0,16,fe9ac_00000
16,92.3764458464774,False,,,17,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-14-06,1646554446,9.340402841567993,165.62935090065002,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,165.62935090065002,0,17,fe9ac_00000
17,92.534174553102,False,,,18,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-14-16,1646554456,9.716783285140991,175.34613418579102,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,175.34613418579102,0,18,fe9ac_00000
18,92.63932702418506,False,,,19,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-14-25,1646554465,9.563002586364746,184.90913677215576,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,184.90913677215576,0,19,fe9ac_00000
19,92.42902208201893,False,,,20,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-14-35,1646554475,9.421788930892944,194.3309257030487,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,194.3309257030487,0,20,fe9ac_00000
20,92.84963196635121,False,,,21,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-14-44,1646554484,9.562852144241333,203.89377784729004,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,203.89377784729004,0,21,fe9ac_00000
21,92.84963196635121,False,,,22,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-14-54,1646554494,9.772829055786133,213.66660690307617,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,213.66660690307617,0,22,fe9ac_00000
22,92.79705573080967,False,,,23,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-15-04,1646554504,9.750669002532959,223.41727590560913,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,223.41727590560913,0,23,fe9ac_00000
23,92.95478443743428,False,,,24,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-15-13,1646554513,9.533640146255493,232.95091605186462,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,232.95091605186462,0,24,fe9ac_00000
24,93.11251314405888,False,,,25,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-15-23,1646554523,9.54721975326538,242.49813580513,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,242.49813580513,0,25,fe9ac_00000
25,93.32281808622503,False,,,26,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-15-32,1646554532,9.542811632156372,252.04094743728638,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,252.04094743728638,0,26,fe9ac_00000
26,93.4279705573081,False,,,27,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-15-42,1646554542,9.454782247543335,261.4957296848297,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,261.4957296848297,0,27,fe9ac_00000
27,93.7434279705573,False,,,28,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-15-52,1646554552,9.58934211730957,271.0850718021393,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,271.0850718021393,0,28,fe9ac_00000
28,93.48054679284962,False,,,29,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-16-01,1646554561,9.419223070144653,280.50429487228394,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,280.50429487228394,0,29,fe9ac_00000
29,93.7434279705573,False,,,30,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-16-10,1646554570,9.515017747879028,290.01931262016296,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,290.01931262016296,0,30,fe9ac_00000
30,93.69085173501577,False,,,31,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-16-20,1646554580,9.48372745513916,299.5030400753021,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,299.5030400753021,0,31,fe9ac_00000
31,94.05888538380653,False,,,32,18ec79c14e414e508a45ab1c5fbbc5f2,2022-03-06_03-16-29,1646554589,9.353929281234741,308.85696935653687,118328,bigboy2.cchem.berkeley.edu,128.32.17.9,308.85696935653687,0,32,fe9ac_00000
