epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.154574132492115,False,,,1,00e0efd486a24f59b23cfdfc809e3240,2022-03-06_03-25-57,1646555157,3.8572003841400146,3.8572003841400146,122702,bigboy2.cchem.berkeley.edu,128.32.17.9,3.8572003841400146,0,1,07915_00000
1,53.10199789695058,False,,,2,00e0efd486a24f59b23cfdfc809e3240,2022-03-06_03-25-58,1646555158,0.5771291255950928,4.434329509735107,122702,bigboy2.cchem.berkeley.edu,128.32.17.9,4.434329509735107,0,2,07915_00000
2,53.10199789695058,False,,,3,00e0efd486a24f59b23cfdfc809e3240,2022-03-06_03-25-58,1646555158,0.5636308193206787,4.997960329055786,122702,bigboy2.cchem.berkeley.edu,128.32.17.9,4.997960329055786,0,3,07915_00000
3,53.10199789695058,False,,,4,00e0efd486a24f59b23cfdfc809e3240,2022-03-06_03-25-59,1646555159,0.5688989162445068,5.566859245300293,122702,bigboy2.cchem.berkeley.edu,128.32.17.9,5.566859245300293,0,4,07915_00000
4,53.10199789695058,False,,,5,00e0efd486a24f59b23cfdfc809e3240,2022-03-06_03-25-59,1646555159,0.5643410682678223,6.131200313568115,122702,bigboy2.cchem.berkeley.edu,128.32.17.9,6.131200313568115,0,5,07915_00000
5,53.154574132492115,False,,,6,00e0efd486a24f59b23cfdfc809e3240,2022-03-06_03-26-00,1646555160,0.5606260299682617,6.691826343536377,122702,bigboy2.cchem.berkeley.edu,128.32.17.9,6.691826343536377,0,6,07915_00000
6,56.62460567823344,False,,,7,00e0efd486a24f59b23cfdfc809e3240,2022-03-06_03-26-00,1646555160,0.5661342144012451,7.257960557937622,122702,bigboy2.cchem.berkeley.edu,128.32.17.9,7.257960557937622,0,7,07915_00000
7,74.71083070452156,False,,,8,00e0efd486a24f59b23cfdfc809e3240,2022-03-06_03-26-01,1646555161,0.5630230903625488,7.820983648300171,122702,bigboy2.cchem.berkeley.edu,128.32.17.9,7.820983648300171,0,8,07915_00000
8,83.54363827549948,False,,,9,00e0efd486a24f59b23cfdfc809e3240,2022-03-06_03-26-02,1646555162,0.5589895248413086,8.37997317314148,122702,bigboy2.cchem.berkeley.edu,128.32.17.9,8.37997317314148,0,9,07915_00000
9,83.91167192429022,False,,,10,00e0efd486a24f59b23cfdfc809e3240,2022-03-06_03-26-02,1646555162,0.5550181865692139,8.934991359710693,122702,bigboy2.cchem.berkeley.edu,128.32.17.9,8.934991359710693,0,10,07915_00000
