epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,79.91587802313354,False,,,1,1daeb24af7c249698c97340769638041,2022-03-06_04-25-20,1646558720,3.7887425422668457,3.7887425422668457,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,3.7887425422668457,0,1,7def9_00008
1,86.38275499474237,False,,,2,1daeb24af7c249698c97340769638041,2022-03-06_04-25-21,1646558721,0.5665452480316162,4.355287790298462,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,4.355287790298462,0,2,7def9_00008
2,88.17034700315457,False,,,3,1daeb24af7c249698c97340769638041,2022-03-06_04-25-21,1646558721,0.5541214942932129,4.909409284591675,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,4.909409284591675,0,3,7def9_00008
3,88.32807570977917,False,,,4,1daeb24af7c249698c97340769638041,2022-03-06_04-25-22,1646558722,0.55401611328125,5.463425397872925,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,5.463425397872925,0,4,7def9_00008
4,89.1167192429022,False,,,5,1daeb24af7c249698c97340769638041,2022-03-06_04-25-22,1646558722,0.5573406219482422,6.020766019821167,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,6.020766019821167,0,5,7def9_00008
5,89.22187171398528,False,,,6,1daeb24af7c249698c97340769638041,2022-03-06_04-25-23,1646558723,0.5491364002227783,6.569902420043945,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,6.569902420043945,0,6,7def9_00008
6,89.22187171398528,False,,,7,1daeb24af7c249698c97340769638041,2022-03-06_04-25-24,1646558724,0.5668678283691406,7.136770248413086,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,7.136770248413086,0,7,7def9_00008
7,89.1167192429022,False,,,8,1daeb24af7c249698c97340769638041,2022-03-06_04-25-24,1646558724,0.561854362487793,7.698624610900879,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,7.698624610900879,0,8,7def9_00008
8,89.16929547844374,False,,,9,1daeb24af7c249698c97340769638041,2022-03-06_04-25-25,1646558725,0.5639474391937256,8.262572050094604,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,8.262572050094604,0,9,7def9_00008
9,89.22187171398528,False,,,10,1daeb24af7c249698c97340769638041,2022-03-06_04-25-25,1646558725,0.5546219348907471,8.817193984985352,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,8.817193984985352,0,10,7def9_00008
10,89.27444794952682,False,,,11,1daeb24af7c249698c97340769638041,2022-03-06_04-25-26,1646558726,0.5467562675476074,9.363950252532959,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,9.363950252532959,0,11,7def9_00008
11,89.43217665615141,False,,,12,1daeb24af7c249698c97340769638041,2022-03-06_04-25-26,1646558726,0.5557396411895752,9.919689893722534,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,9.919689893722534,0,12,7def9_00008
12,89.22187171398528,False,,,13,1daeb24af7c249698c97340769638041,2022-03-06_04-25-27,1646558727,0.5563783645629883,10.476068258285522,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,10.476068258285522,0,13,7def9_00008
13,89.32702418506835,False,,,14,1daeb24af7c249698c97340769638041,2022-03-06_04-25-27,1646558727,0.5526068210601807,11.028675079345703,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,11.028675079345703,0,14,7def9_00008
14,89.37960042060989,False,,,15,1daeb24af7c249698c97340769638041,2022-03-06_04-25-28,1646558728,0.5509288311004639,11.579603910446167,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,11.579603910446167,0,15,7def9_00008
15,89.32702418506835,False,,,16,1daeb24af7c249698c97340769638041,2022-03-06_04-25-29,1646558729,0.5572636127471924,12.13686752319336,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,12.13686752319336,0,16,7def9_00008
16,89.43217665615141,False,,,17,1daeb24af7c249698c97340769638041,2022-03-06_04-25-29,1646558729,0.5516517162322998,12.68851923942566,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,12.68851923942566,0,17,7def9_00008
17,89.27444794952682,False,,,18,1daeb24af7c249698c97340769638041,2022-03-06_04-25-30,1646558730,0.5544426441192627,13.242961883544922,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,13.242961883544922,0,18,7def9_00008
18,89.32702418506835,False,,,19,1daeb24af7c249698c97340769638041,2022-03-06_04-25-30,1646558730,0.5558996200561523,13.798861503601074,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,13.798861503601074,0,19,7def9_00008
19,89.43217665615141,False,,,20,1daeb24af7c249698c97340769638041,2022-03-06_04-25-31,1646558731,0.5579524040222168,14.356813907623291,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,14.356813907623291,0,20,7def9_00008
20,89.32702418506835,False,,,21,1daeb24af7c249698c97340769638041,2022-03-06_04-25-31,1646558731,0.5560944080352783,14.91290831565857,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,14.91290831565857,0,21,7def9_00008
21,89.27444794952682,False,,,22,1daeb24af7c249698c97340769638041,2022-03-06_04-25-32,1646558732,0.5549225807189941,15.467830896377563,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,15.467830896377563,0,22,7def9_00008
22,89.43217665615141,False,,,23,1daeb24af7c249698c97340769638041,2022-03-06_04-25-33,1646558733,0.5537209510803223,16.021551847457886,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,16.021551847457886,0,23,7def9_00008
23,89.48475289169295,False,,,24,1daeb24af7c249698c97340769638041,2022-03-06_04-25-33,1646558733,0.5601892471313477,16.581741094589233,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,16.581741094589233,0,24,7def9_00008
24,89.48475289169295,False,,,25,1daeb24af7c249698c97340769638041,2022-03-06_04-25-34,1646558734,0.5587944984436035,17.140535593032837,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,17.140535593032837,0,25,7def9_00008
25,89.48475289169295,False,,,26,1daeb24af7c249698c97340769638041,2022-03-06_04-25-34,1646558734,0.5550730228424072,17.695608615875244,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,17.695608615875244,0,26,7def9_00008
26,89.32702418506835,False,,,27,1daeb24af7c249698c97340769638041,2022-03-06_04-25-35,1646558735,0.5558788776397705,18.251487493515015,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,18.251487493515015,0,27,7def9_00008
27,89.48475289169295,False,,,28,1daeb24af7c249698c97340769638041,2022-03-06_04-25-35,1646558735,0.5541729927062988,18.805660486221313,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,18.805660486221313,0,28,7def9_00008
28,89.48475289169295,False,,,29,1daeb24af7c249698c97340769638041,2022-03-06_04-25-36,1646558736,0.5586545467376709,19.364315032958984,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,19.364315032958984,0,29,7def9_00008
29,89.43217665615141,False,,,30,1daeb24af7c249698c97340769638041,2022-03-06_04-25-36,1646558736,0.5515563488006592,19.915871381759644,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,19.915871381759644,0,30,7def9_00008
30,89.32702418506835,False,,,31,1daeb24af7c249698c97340769638041,2022-03-06_04-25-37,1646558737,0.5567591190338135,20.472630500793457,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,20.472630500793457,0,31,7def9_00008
31,89.48475289169295,False,,,32,1daeb24af7c249698c97340769638041,2022-03-06_04-25-38,1646558738,0.5570921897888184,21.029722690582275,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,21.029722690582275,0,32,7def9_00008
32,89.74763406940063,False,,,33,1daeb24af7c249698c97340769638041,2022-03-06_04-25-38,1646558738,0.559772253036499,21.589494943618774,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,21.589494943618774,0,33,7def9_00008
33,89.48475289169295,False,,,34,1daeb24af7c249698c97340769638041,2022-03-06_04-25-39,1646558739,0.5695176124572754,22.15901255607605,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,22.15901255607605,0,34,7def9_00008
34,89.22187171398528,False,,,35,1daeb24af7c249698c97340769638041,2022-03-06_04-25-39,1646558739,0.5673325061798096,22.72634506225586,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,22.72634506225586,0,35,7def9_00008
35,89.43217665615141,False,,,36,1daeb24af7c249698c97340769638041,2022-03-06_04-25-40,1646558740,0.5645315647125244,23.290876626968384,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,23.290876626968384,0,36,7def9_00008
36,89.22187171398528,False,,,37,1daeb24af7c249698c97340769638041,2022-03-06_04-25-40,1646558740,0.5579133033752441,23.848789930343628,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,23.848789930343628,0,37,7def9_00008
37,89.32702418506835,False,,,38,1daeb24af7c249698c97340769638041,2022-03-06_04-25-41,1646558741,0.5598008632659912,24.40859079360962,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,24.40859079360962,0,38,7def9_00008
38,89.48475289169295,False,,,39,1daeb24af7c249698c97340769638041,2022-03-06_04-25-42,1646558742,0.5512781143188477,24.959868907928467,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,24.959868907928467,0,39,7def9_00008
39,89.80021030494217,False,,,40,1daeb24af7c249698c97340769638041,2022-03-06_04-25-42,1646558742,0.5534162521362305,25.513285160064697,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,25.513285160064697,0,40,7def9_00008
40,90.79915878023134,False,,,41,1daeb24af7c249698c97340769638041,2022-03-06_04-25-43,1646558743,0.5547246932983398,26.068009853363037,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,26.068009853363037,0,41,7def9_00008
41,91.48264984227129,False,,,42,1daeb24af7c249698c97340769638041,2022-03-06_04-25-43,1646558743,0.5546319484710693,26.622641801834106,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,26.622641801834106,0,42,7def9_00008
42,91.48264984227129,False,,,43,1daeb24af7c249698c97340769638041,2022-03-06_04-25-44,1646558744,0.5601687431335449,27.18281054496765,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,27.18281054496765,0,43,7def9_00008
43,91.58780231335436,False,,,44,1daeb24af7c249698c97340769638041,2022-03-06_04-25-44,1646558744,0.560887336730957,27.74369788169861,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,27.74369788169861,0,44,7def9_00008
44,91.48264984227129,False,,,45,1daeb24af7c249698c97340769638041,2022-03-06_04-25-45,1646558745,0.5583105087280273,28.302008390426636,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,28.302008390426636,0,45,7def9_00008
45,91.32492113564669,False,,,46,1daeb24af7c249698c97340769638041,2022-03-06_04-25-45,1646558745,0.5518598556518555,28.85386824607849,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,28.85386824607849,0,46,7def9_00008
46,91.53522607781282,False,,,47,1daeb24af7c249698c97340769638041,2022-03-06_04-25-46,1646558746,0.5580389499664307,29.411907196044922,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,29.411907196044922,0,47,7def9_00008
47,90.95688748685595,False,,,48,1daeb24af7c249698c97340769638041,2022-03-06_04-25-47,1646558747,0.5569710731506348,29.968878269195557,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,29.968878269195557,0,48,7def9_00008
48,90.69400630914826,False,,,49,1daeb24af7c249698c97340769638041,2022-03-06_04-25-47,1646558747,0.5534539222717285,30.522332191467285,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,30.522332191467285,0,49,7def9_00008
49,90.95688748685595,True,,,50,1daeb24af7c249698c97340769638041,2022-03-06_04-25-48,1646558748,0.553502082824707,31.075834274291992,146028,bigboy2.cchem.berkeley.edu,128.32.17.9,31.075834274291992,0,50,7def9_00008
