epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,87.27655099894848,False,,,1,b18090ccd0874f01b30a8deff210f764,2022-03-06_04-25-55,1646558755,3.844508409500122,3.844508409500122,146033,bigboy2.cchem.berkeley.edu,128.32.17.9,3.844508409500122,0,1,7def9_00009
1,90.48370136698213,False,,,2,b18090ccd0874f01b30a8deff210f764,2022-03-06_04-25-55,1646558755,0.5730881690979004,4.4175965785980225,146033,bigboy2.cchem.berkeley.edu,128.32.17.9,4.4175965785980225,0,2,7def9_00009
2,91.11461619348054,False,,,3,b18090ccd0874f01b30a8deff210f764,2022-03-06_04-25-56,1646558756,0.553823709487915,4.9714202880859375,146033,bigboy2.cchem.berkeley.edu,128.32.17.9,4.9714202880859375,0,3,7def9_00009
3,91.74553101997897,False,,,4,b18090ccd0874f01b30a8deff210f764,2022-03-06_04-25-56,1646558756,0.5578179359436035,5.529238224029541,146033,bigboy2.cchem.berkeley.edu,128.32.17.9,5.529238224029541,0,4,7def9_00009
4,91.69295478443743,False,,,5,b18090ccd0874f01b30a8deff210f764,2022-03-06_04-25-57,1646558757,0.5569522380828857,6.086190462112427,146033,bigboy2.cchem.berkeley.edu,128.32.17.9,6.086190462112427,0,5,7def9_00009
5,92.95478443743428,False,,,6,b18090ccd0874f01b30a8deff210f764,2022-03-06_04-25-57,1646558757,0.5540082454681396,6.640198707580566,146033,bigboy2.cchem.berkeley.edu,128.32.17.9,6.640198707580566,0,6,7def9_00009
6,92.95478443743428,False,,,7,b18090ccd0874f01b30a8deff210f764,2022-03-06_04-25-58,1646558758,0.5539412498474121,7.1941399574279785,146033,bigboy2.cchem.berkeley.edu,128.32.17.9,7.1941399574279785,0,7,7def9_00009
7,92.90220820189275,False,,,8,b18090ccd0874f01b30a8deff210f764,2022-03-06_04-25-59,1646558759,0.559798002243042,7.7539379596710205,146033,bigboy2.cchem.berkeley.edu,128.32.17.9,7.7539379596710205,0,8,7def9_00009
8,92.90220820189275,False,,,9,b18090ccd0874f01b30a8deff210f764,2022-03-06_04-25-59,1646558759,0.5579288005828857,8.311866760253906,146033,bigboy2.cchem.berkeley.edu,128.32.17.9,8.311866760253906,0,9,7def9_00009
9,92.79705573080967,False,,,10,b18090ccd0874f01b30a8deff210f764,2022-03-06_04-26-00,1646558760,0.5532369613647461,8.865103721618652,146033,bigboy2.cchem.berkeley.edu,128.32.17.9,8.865103721618652,0,10,7def9_00009
10,92.534174553102,False,,,11,b18090ccd0874f01b30a8deff210f764,2022-03-06_04-26-00,1646558760,0.5569741725921631,9.422077894210815,146033,bigboy2.cchem.berkeley.edu,128.32.17.9,9.422077894210815,0,11,7def9_00009
11,92.48159831756047,False,,,12,b18090ccd0874f01b30a8deff210f764,2022-03-06_04-26-01,1646558761,0.5598609447479248,9.98193883895874,146033,bigboy2.cchem.berkeley.edu,128.32.17.9,9.98193883895874,0,12,7def9_00009
