epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,90.95688748685595,False,,,1,4959b2aa9f674fde8ab35ac4fc47e361,2022-03-09_06-45-02,1646808302,25.89059066772461,25.89059066772461,95720,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.89059066772461,0,1,e972e_00008
1,94.00630914826499,False,,,2,4959b2aa9f674fde8ab35ac4fc47e361,2022-03-09_06-45-17,1646808317,15.144413232803345,41.035003900527954,95720,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,41.035003900527954,0,2,e972e_00008
2,94.58464773922188,False,,,3,4959b2aa9f674fde8ab35ac4fc47e361,2022-03-09_06-45-32,1646808332,15.237977743148804,56.27298164367676,95720,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,56.27298164367676,0,3,e972e_00008
3,94.05888538380653,False,,,4,4959b2aa9f674fde8ab35ac4fc47e361,2022-03-09_06-45-47,1646808347,15.121018409729004,71.39400005340576,95720,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,71.39400005340576,0,4,e972e_00008
4,95.00525762355416,False,,,5,4959b2aa9f674fde8ab35ac4fc47e361,2022-03-09_06-46-02,1646808362,15.146766185760498,86.54076623916626,95720,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,86.54076623916626,0,5,e972e_00008
5,95.3732912723449,False,,,6,4959b2aa9f674fde8ab35ac4fc47e361,2022-03-09_06-46-18,1646808378,15.158332109451294,101.69909834861755,95720,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,101.69909834861755,0,6,e972e_00008
6,95.79390115667718,False,,,7,4959b2aa9f674fde8ab35ac4fc47e361,2022-03-09_06-46-33,1646808393,15.040400505065918,116.73949885368347,95720,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,116.73949885368347,0,7,e972e_00008
7,95.26813880126183,False,,,8,4959b2aa9f674fde8ab35ac4fc47e361,2022-03-09_06-46-48,1646808408,15.205045223236084,131.94454407691956,95720,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,131.94454407691956,0,8,e972e_00008
8,95.74132492113566,False,,,9,4959b2aa9f674fde8ab35ac4fc47e361,2022-03-09_06-47-03,1646808423,15.153615236282349,147.0981593132019,95720,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,147.0981593132019,0,9,e972e_00008
9,95.21556256572029,False,,,10,4959b2aa9f674fde8ab35ac4fc47e361,2022-03-09_06-47-18,1646808438,15.122071743011475,162.22023105621338,95720,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,162.22023105621338,0,10,e972e_00008
