epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,81.17770767613038,False,,,1,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-09-48,1646809788,26.265764713287354,26.265764713287354,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.265764713287354,0,1,d2a13_00003
1,89.80021030494217,False,,,2,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-10-03,1646809803,15.438287496566772,41.704052209854126,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,41.704052209854126,0,2,d2a13_00003
2,91.90325972660357,False,,,3,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-10-19,1646809819,15.473291873931885,57.17734408378601,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,57.17734408378601,0,3,d2a13_00003
3,91.9558359621451,False,,,4,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-10-34,1646809834,15.378182888031006,72.55552697181702,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,72.55552697181702,0,4,d2a13_00003
4,92.74447949526814,False,,,5,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-10-50,1646809850,15.608017683029175,88.16354465484619,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,88.16354465484619,0,5,d2a13_00003
5,93.0073606729758,False,,,6,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-11-05,1646809865,15.535667657852173,103.69921231269836,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,103.69921231269836,0,6,d2a13_00003
6,92.79705573080967,False,,,7,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-11-21,1646809881,15.643543720245361,119.34275603294373,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,119.34275603294373,0,7,d2a13_00003
7,92.84963196635121,False,,,8,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-11-36,1646809896,15.44091534614563,134.78367137908936,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,134.78367137908936,0,8,d2a13_00003
8,93.32281808622503,False,,,9,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-11-52,1646809912,15.48594355583191,150.26961493492126,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,150.26961493492126,0,9,d2a13_00003
9,92.90220820189275,False,,,10,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-12-07,1646809927,15.441528797149658,165.71114373207092,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,165.71114373207092,0,10,d2a13_00003
10,92.79705573080967,False,,,11,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-12-23,1646809943,15.410560607910156,181.12170433998108,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,181.12170433998108,0,11,d2a13_00003
11,93.21766561514195,False,,,12,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-12-38,1646809958,15.407499074935913,196.529203414917,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,196.529203414917,0,12,d2a13_00003
12,93.16508937960042,False,,,13,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-12-53,1646809973,15.445460319519043,211.97466373443604,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,211.97466373443604,0,13,d2a13_00003
13,93.16508937960042,False,,,14,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-13-09,1646809989,15.445794105529785,227.42045783996582,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,227.42045783996582,0,14,d2a13_00003
14,93.0073606729758,False,,,15,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-13-24,1646810004,15.262359380722046,242.68281722068787,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,242.68281722068787,0,15,d2a13_00003
15,92.6919032597266,False,,,16,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-13-40,1646810020,15.459463596343994,258.14228081703186,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,258.14228081703186,0,16,d2a13_00003
16,92.84963196635121,False,,,17,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-13-55,1646810035,15.39435887336731,273.53663969039917,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,273.53663969039917,0,17,d2a13_00003
17,92.95478443743428,False,,,18,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-14-10,1646810050,15.381524801254272,288.91816449165344,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,288.91816449165344,0,18,d2a13_00003
18,92.84963196635121,False,,,19,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-14-26,1646810066,15.299429416656494,304.21759390830994,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,304.21759390830994,0,19,d2a13_00003
19,93.63827549947423,False,,,20,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-14-41,1646810081,15.359272956848145,319.5768668651581,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,319.5768668651581,0,20,d2a13_00003
20,93.63827549947423,False,,,21,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-14-57,1646810097,15.516610145568848,335.09347701072693,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,335.09347701072693,0,21,d2a13_00003
21,93.4279705573081,False,,,22,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-15-12,1646810112,15.441105365753174,350.5345823764801,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,350.5345823764801,0,22,d2a13_00003
22,93.27024185068349,False,,,23,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-15-28,1646810128,15.53596019744873,366.07054257392883,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,366.07054257392883,0,23,d2a13_00003
23,93.53312302839116,False,,,24,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-15-43,1646810143,15.39180850982666,381.4623510837555,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,381.4623510837555,0,24,d2a13_00003
24,93.5856992639327,False,,,25,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-15-58,1646810158,15.553709745407104,397.0160608291626,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,397.0160608291626,0,25,d2a13_00003
25,93.90115667718192,False,,,26,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-16-14,1646810174,15.469223976135254,412.48528480529785,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,412.48528480529785,0,26,d2a13_00003
26,93.79600420609884,False,,,27,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-16-29,1646810189,15.48145079612732,427.96673560142517,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,427.96673560142517,0,27,d2a13_00003
27,93.90115667718192,False,,,28,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-16-45,1646810205,15.295891761779785,443.26262736320496,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,443.26262736320496,0,28,d2a13_00003
28,94.11146161934806,False,,,29,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-17-00,1646810220,15.453972816467285,458.71660017967224,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,458.71660017967224,0,29,d2a13_00003
29,93.79600420609884,False,,,30,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-17-16,1646810236,15.362836599349976,474.0794367790222,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,474.0794367790222,0,30,d2a13_00003
30,93.90115667718192,False,,,31,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-17-31,1646810251,15.4207763671875,489.5002131462097,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,489.5002131462097,0,31,d2a13_00003
31,94.11146161934806,False,,,32,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-17-46,1646810266,15.373723030090332,504.87393617630005,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,504.87393617630005,0,32,d2a13_00003
32,93.84858044164038,False,,,33,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-18-02,1646810282,15.374725103378296,520.2486612796783,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,520.2486612796783,0,33,d2a13_00003
33,93.84858044164038,False,,,34,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-18-17,1646810297,15.496577262878418,535.7452385425568,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,535.7452385425568,0,34,d2a13_00003
34,93.79600420609884,False,,,35,c4b82e3aa10f40f687767d1b4446f593,2022-03-09_07-18-32,1646810312,15.236046075820923,550.9812846183777,109727,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,550.9812846183777,0,35,d2a13_00003
