epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,48.89589905362776,False,,,1,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-29,1649210729,4.243072509765625,4.243072509765625,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.243072509765625,0,1,02ecd149
1,50.998948475289176,False,,,2,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-30,1649210730,0.49048852920532227,4.733561038970947,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.733561038970947,0,2,02ecd149
2,53.25972660357519,False,,,3,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-30,1649210730,0.4685542583465576,5.202115297317505,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.202115297317505,0,3,02ecd149
3,61.30389064143007,False,,,4,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-30,1649210730,0.4621596336364746,5.6642749309539795,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.6642749309539795,0,4,02ecd149
4,68.87486855941115,False,,,5,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-31,1649210731,0.9782700538635254,6.642544984817505,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.642544984817505,0,5,02ecd149
5,54.20609884332281,False,,,6,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-32,1649210732,0.43712806701660156,7.0796730518341064,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.0796730518341064,0,6,02ecd149
6,55.888538380651944,False,,,7,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-32,1649210732,0.44307994842529297,7.522753000259399,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.522753000259399,0,7,02ecd149
7,54.41640378548895,False,,,8,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-33,1649210733,0.4503624439239502,7.97311544418335,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.97311544418335,0,8,02ecd149
8,74.23764458464774,False,,,9,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-33,1649210733,0.4471244812011719,8.420239925384521,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.420239925384521,0,9,02ecd149
9,78.39116719242902,False,,,10,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-34,1649210734,0.45221519470214844,8.87245512008667,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.87245512008667,0,10,02ecd149
10,73.02839116719242,False,,,11,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-34,1649210734,0.4508392810821533,9.323294401168823,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.323294401168823,0,11,02ecd149
11,81.96635120925342,False,,,12,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-35,1649210735,0.43976330757141113,9.763057708740234,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.763057708740234,0,12,02ecd149
12,79.12723449001051,False,,,13,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-35,1649210735,0.4363870620727539,10.199444770812988,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.199444770812988,0,13,02ecd149
13,76.39327024185069,False,,,14,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-36,1649210736,0.4598524570465088,10.659297227859497,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.659297227859497,0,14,02ecd149
14,74.71083070452156,False,,,15,771075dc7d364d139e5a6170a58f9c48,2022-04-06_02-05-36,1649210736,0.4695315361022949,11.128828763961792,47515,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.128828763961792,0,15,02ecd149
