epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.785488958990534,False,,,1,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-31,1649209051,5.648352384567261,5.648352384567261,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.648352384567261,0,1,176a5_00006
1,46.58254468980021,False,,,2,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-31,1649209051,0.5268399715423584,6.175192356109619,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.175192356109619,0,2,176a5_00006
2,46.16193480546793,False,,,3,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-32,1649209052,0.5040867328643799,6.679279088973999,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.679279088973999,0,3,176a5_00006
3,52.36593059936908,False,,,4,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-32,1649209052,0.5318412780761719,7.211120367050171,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.211120367050171,0,4,176a5_00006
4,53.31230283911672,False,,,5,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-33,1649209053,0.5074834823608398,7.718603849411011,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.718603849411011,0,5,176a5_00006
5,43.05993690851735,False,,,6,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-33,1649209053,0.521467924118042,8.240071773529053,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.240071773529053,0,6,176a5_00006
6,44.479495268138805,False,,,7,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-34,1649209054,0.5070300102233887,8.747101783752441,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.747101783752441,0,7,176a5_00006
7,46.635120925341745,False,,,8,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-34,1649209054,0.48812437057495117,9.235226154327393,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.235226154327393,0,8,176a5_00006
8,41.21976866456362,False,,,9,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-35,1649209055,0.46607136726379395,9.701297521591187,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.701297521591187,0,9,176a5_00006
9,55.888538380651944,False,,,10,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-35,1649209055,0.4907562732696533,10.19205379486084,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.19205379486084,0,10,176a5_00006
10,53.154574132492115,False,,,11,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-36,1649209056,0.5146059989929199,10.70665979385376,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.70665979385376,0,11,176a5_00006
11,44.269190325972666,False,,,12,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-36,1649209056,0.5268588066101074,11.233518600463867,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.233518600463867,0,12,176a5_00006
12,53.10199789695058,False,,,13,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-37,1649209057,0.520982027053833,11.7545006275177,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.7545006275177,0,13,176a5_00006
13,46.89800210304942,False,,,14,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-37,1649209057,0.5096664428710938,12.264167070388794,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.264167070388794,0,14,176a5_00006
14,60.56782334384858,False,,,15,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-38,1649209058,0.4926276206970215,12.756794691085815,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.756794691085815,0,15,176a5_00006
15,49.42166140904311,False,,,16,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-38,1649209058,0.5237264633178711,13.280521154403687,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.280521154403687,0,16,176a5_00006
16,52.57623554153522,False,,,17,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-39,1649209059,0.5031998157501221,13.783720970153809,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.783720970153809,0,17,176a5_00006
17,50.94637223974764,False,,,18,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-39,1649209059,0.5288691520690918,14.3125901222229,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.3125901222229,0,18,176a5_00006
18,52.57623554153522,False,,,19,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-40,1649209060,0.5171377658843994,14.8297278881073,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.8297278881073,0,19,176a5_00006
19,57.93901156677181,False,,,20,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-40,1649209060,0.5211143493652344,15.350842237472534,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.350842237472534,0,20,176a5_00006
20,45.110410094637224,False,,,21,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-41,1649209061,0.5276756286621094,15.878517866134644,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.878517866134644,0,21,176a5_00006
21,40.851735015772874,False,,,22,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-41,1649209061,0.533766508102417,16.41228437423706,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.41228437423706,0,22,176a5_00006
22,53.364879074658255,False,,,23,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-42,1649209062,0.5240495204925537,16.936333894729614,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.936333894729614,0,23,176a5_00006
23,47.10830704521556,False,,,24,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-42,1649209062,0.551098108291626,17.48743200302124,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.48743200302124,0,24,176a5_00006
24,46.89800210304942,False,,,25,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-43,1649209063,0.5309174060821533,18.018349409103394,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.018349409103394,0,25,176a5_00006
25,47.37118822292324,False,,,26,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-44,1649209064,0.5256965160369873,18.54404592514038,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.54404592514038,0,26,176a5_00006
26,50.8937960042061,False,,,27,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-44,1649209064,0.5185332298278809,19.06257915496826,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.06257915496826,0,27,176a5_00006
27,46.10935856992639,False,,,28,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-45,1649209065,0.5223045349121094,19.58488368988037,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.58488368988037,0,28,176a5_00006
28,59.9894847528917,False,,,29,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-45,1649209065,0.526341438293457,20.111225128173828,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.111225128173828,0,29,176a5_00006
29,52.10304942166141,False,,,30,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-46,1649209066,0.5170707702636719,20.6282958984375,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.6282958984375,0,30,176a5_00006
30,49.737118822292324,False,,,31,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-46,1649209066,0.5428256988525391,21.17112159729004,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.17112159729004,0,31,176a5_00006
31,55.20504731861199,False,,,32,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-47,1649209067,0.5333800315856934,21.704501628875732,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.704501628875732,0,32,176a5_00006
32,48.79074658254469,False,,,33,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-47,1649209067,0.52591872215271,22.230420351028442,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.230420351028442,0,33,176a5_00006
33,46.89800210304942,False,,,34,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-48,1649209068,0.5232179164886475,22.75363826751709,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.75363826751709,0,34,176a5_00006
34,76.60357518401682,False,,,35,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-48,1649209068,0.5325391292572021,23.286177396774292,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.286177396774292,0,35,176a5_00006
35,36.96109358569926,False,,,36,82051d480db746e6962c0387394e35ca,2022-04-06_01-37-49,1649209069,0.5219051837921143,23.808082580566406,18234,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.808082580566406,0,36,176a5_00006
