epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,55.520504731861195,False,,,1,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-31,1649210791,5.665582180023193,5.665582180023193,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.665582180023193,0,1,26d527c0
1,50.36803364879074,False,,,2,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-32,1649210792,0.4577629566192627,6.123345136642456,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.123345136642456,0,2,26d527c0
2,55.78338590956887,False,,,3,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-32,1649210792,0.4249701499938965,6.5483152866363525,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.5483152866363525,0,3,26d527c0
3,53.31230283911672,False,,,4,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-33,1649210793,0.4238862991333008,6.972201585769653,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.972201585769653,0,4,26d527c0
4,55.467928496319665,False,,,5,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-33,1649210793,0.43521547317504883,7.407417058944702,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.407417058944702,0,5,26d527c0
5,59.358569926393265,False,,,6,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-34,1649210794,0.43382906913757324,7.841246128082275,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.841246128082275,0,6,26d527c0
6,61.3564668769716,False,,,7,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-34,1649210794,0.43770289421081543,8.27894902229309,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.27894902229309,0,7,26d527c0
7,62.9863301787592,False,,,8,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-35,1649210795,0.43510913848876953,8.71405816078186,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.71405816078186,0,8,26d527c0
8,63.722397476340696,False,,,9,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-35,1649210795,0.4296274185180664,9.143685579299927,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.143685579299927,0,9,26d527c0
9,63.56466876971609,False,,,10,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-36,1649210796,0.4406929016113281,9.584378480911255,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.584378480911255,0,10,26d527c0
10,63.196635120925336,False,,,11,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-36,1649210796,0.4352834224700928,10.019661903381348,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.019661903381348,0,11,26d527c0
11,63.03890641430073,False,,,12,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-37,1649210797,0.44095921516418457,10.460621118545532,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.460621118545532,0,12,26d527c0
12,62.93375394321766,False,,,13,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-37,1649210797,0.4371659755706787,10.897787094116211,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.897787094116211,0,13,26d527c0
13,63.1440588853838,False,,,14,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-38,1649210798,0.4360847473144531,11.333871841430664,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.333871841430664,0,14,26d527c0
14,62.93375394321766,False,,,15,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-38,1649210798,0.43728208541870117,11.771153926849365,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.771153926849365,0,15,26d527c0
15,63.03890641430073,False,,,16,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-39,1649210799,0.43933725357055664,12.210491180419922,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.210491180419922,0,16,26d527c0
16,63.24921135646687,False,,,17,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-39,1649210799,0.43926048278808594,12.649751663208008,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.649751663208008,0,17,26d527c0
17,63.35436382754994,False,,,18,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-40,1649210800,0.4384434223175049,13.088195085525513,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.088195085525513,0,18,26d527c0
18,63.56466876971609,False,,,19,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-40,1649210800,0.43694067001342773,13.52513575553894,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.52513575553894,0,19,26d527c0
19,63.77497371188223,False,,,20,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-41,1649210801,0.4408090114593506,13.965944766998291,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.965944766998291,0,20,26d527c0
20,63.8801261829653,False,,,21,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-41,1649210801,0.4335768222808838,14.399521589279175,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.399521589279175,0,21,26d527c0
21,64.24815983175604,False,,,22,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-42,1649210802,0.4325895309448242,14.832111120223999,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.832111120223999,0,22,26d527c0
22,63.82754994742377,False,,,23,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-42,1649210802,0.43504834175109863,15.267159461975098,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.267159461975098,0,23,26d527c0
23,63.82754994742377,False,,,24,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-43,1649210803,0.4311254024505615,15.69828486442566,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.69828486442566,0,24,26d527c0
24,64.03785488958991,False,,,25,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-43,1649210803,0.4366567134857178,16.134941577911377,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.134941577911377,0,25,26d527c0
25,64.09043112513145,False,,,26,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-44,1649210804,0.4309694766998291,16.565911054611206,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.565911054611206,0,26,26d527c0
26,64.24815983175604,False,,,27,cf90f462a1e04ece898572b5a223fda9,2022-04-06_02-06-44,1649210804,0.429455041885376,16.995366096496582,47541,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.995366096496582,0,27,26d527c0
