epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,46.89800210304942,False,,,1,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-33,1649203533,3.6200037002563477,3.6200037002563477,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,3.6200037002563477,0,1,42748_00000
1,70.39957939011566,False,,,2,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-33,1649203533,0.3999948501586914,4.019998550415039,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,4.019998550415039,0,2,42748_00000
2,84.9106203995794,False,,,3,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-33,1649203533,0.37898921966552734,4.398987770080566,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,4.398987770080566,0,3,42748_00000
3,87.11882229232387,False,,,4,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-34,1649203534,0.37877750396728516,4.777765274047852,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,4.777765274047852,0,4,42748_00000
4,88.22292323869611,False,,,5,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-34,1649203534,0.3767974376678467,5.154562711715698,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,5.154562711715698,0,5,42748_00000
5,91.27234490010515,False,,,6,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-34,1649203534,0.3673884868621826,5.521951198577881,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,5.521951198577881,0,6,42748_00000
6,91.48264984227129,False,,,7,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-35,1649203535,0.3792295455932617,5.901180744171143,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,5.901180744171143,0,7,42748_00000
7,92.00841219768665,False,,,8,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-35,1649203535,0.37214183807373047,6.273322582244873,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,6.273322582244873,0,8,42748_00000
8,91.7981072555205,False,,,9,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-36,1649203536,0.3828165531158447,6.656139135360718,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,6.656139135360718,0,9,42748_00000
9,91.85068349106203,False,,,10,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-36,1649203536,0.37816500663757324,7.034304141998291,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,7.034304141998291,0,10,42748_00000
10,92.06098843322819,False,,,11,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-36,1649203536,0.369870662689209,7.4041748046875,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,7.4041748046875,0,11,42748_00000
11,92.00841219768665,False,,,12,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-37,1649203537,0.37261414527893066,7.776788949966431,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,7.776788949966431,0,12,42748_00000
12,92.11356466876973,False,,,13,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-37,1649203537,0.3812713623046875,8.158060312271118,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,8.158060312271118,0,13,42748_00000
13,92.11356466876973,False,,,14,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-37,1649203537,0.3731658458709717,8.53122615814209,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,8.53122615814209,0,14,42748_00000
14,91.90325972660357,False,,,15,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-38,1649203538,0.3780543804168701,8.90928053855896,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,8.90928053855896,0,15,42748_00000
15,92.21871713985279,False,,,16,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-38,1649203538,0.4662947654724121,9.375575304031372,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,9.375575304031372,0,16,42748_00000
16,92.42902208201893,False,,,17,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-39,1649203539,0.3734414577484131,9.749016761779785,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,9.749016761779785,0,17,42748_00000
17,92.58675078864354,False,,,18,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-39,1649203539,0.3635687828063965,10.112585544586182,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,10.112585544586182,0,18,42748_00000
18,92.48159831756047,False,,,19,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-39,1649203539,0.37910962104797363,10.491695165634155,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,10.491695165634155,0,19,42748_00000
19,92.16614090431125,False,,,20,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-40,1649203540,0.36939311027526855,10.861088275909424,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,10.861088275909424,0,20,42748_00000
20,92.06098843322819,False,,,21,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-40,1649203540,0.37639498710632324,11.237483263015747,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,11.237483263015747,0,21,42748_00000
21,92.63932702418506,False,,,22,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-41,1649203541,0.3810100555419922,11.61849331855774,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,11.61849331855774,0,22,42748_00000
22,92.21871713985279,False,,,23,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-41,1649203541,0.3753373622894287,11.993830680847168,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,11.993830680847168,0,23,42748_00000
23,92.534174553102,False,,,24,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-41,1649203541,0.36736106872558594,12.361191749572754,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,12.361191749572754,0,24,42748_00000
24,92.6919032597266,False,,,25,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-42,1649203542,0.36574292182922363,12.726934671401978,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,12.726934671401978,0,25,42748_00000
25,92.74447949526814,False,,,26,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-42,1649203542,0.37207579612731934,13.099010467529297,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,13.099010467529297,0,26,42748_00000
26,92.534174553102,False,,,27,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-42,1649203542,0.35881972312927246,13.45783019065857,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,13.45783019065857,0,27,42748_00000
27,92.48159831756047,False,,,28,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-43,1649203543,0.37520408630371094,13.83303427696228,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,13.83303427696228,0,28,42748_00000
28,92.21871713985279,False,,,29,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-43,1649203543,0.372312068939209,14.20534634590149,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,14.20534634590149,0,29,42748_00000
29,92.63932702418506,False,,,30,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-44,1649203544,0.37685275077819824,14.582199096679688,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,14.582199096679688,0,30,42748_00000
30,92.3764458464774,False,,,31,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-44,1649203544,0.36989259719848633,14.952091693878174,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,14.952091693878174,0,31,42748_00000
31,92.58675078864354,False,,,32,95ad5f9cc0f0489cb7153df49c7875d7,2022-04-05_20-05-44,1649203544,0.37862205505371094,15.330713748931885,114154,bigboy2.cchem.berkeley.edu,128.32.17.9,15.330713748931885,0,32,42748_00000
