epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,49.42166140904311,False,,,1,8741a1f0c24a4c6bbe48e5e8d994bfed,2022-04-06_02-07-40,1649210860,4.748862981796265,4.748862981796265,47685,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.748862981796265,0,1,501cdba8
1,47.58149316508938,False,,,2,8741a1f0c24a4c6bbe48e5e8d994bfed,2022-04-06_02-07-41,1649210861,0.44423675537109375,5.193099737167358,47685,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.193099737167358,0,2,501cdba8
2,47.05573080967403,False,,,3,8741a1f0c24a4c6bbe48e5e8d994bfed,2022-04-06_02-07-41,1649210861,0.432450532913208,5.625550270080566,47685,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.625550270080566,0,3,501cdba8
3,55.62565720294427,False,,,4,8741a1f0c24a4c6bbe48e5e8d994bfed,2022-04-06_02-07-42,1649210862,0.437025785446167,6.062576055526733,47685,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.062576055526733,0,4,501cdba8
4,53.10199789695058,False,,,5,8741a1f0c24a4c6bbe48e5e8d994bfed,2022-04-06_02-07-42,1649210862,0.4260585308074951,6.4886345863342285,47685,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.4886345863342285,0,5,501cdba8
5,74.60567823343848,False,,,6,8741a1f0c24a4c6bbe48e5e8d994bfed,2022-04-06_02-07-43,1649210863,0.43948960304260254,6.928124189376831,47685,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.928124189376831,0,6,501cdba8
6,51.99789695057834,False,,,7,8741a1f0c24a4c6bbe48e5e8d994bfed,2022-04-06_02-07-44,1649210864,0.4449903964996338,7.373114585876465,47685,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.373114585876465,0,7,501cdba8
7,74.1850683491062,False,,,8,8741a1f0c24a4c6bbe48e5e8d994bfed,2022-04-06_02-07-44,1649210864,0.4316670894622803,7.804781675338745,47685,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.804781675338745,0,8,501cdba8
8,78.39116719242902,False,,,9,8741a1f0c24a4c6bbe48e5e8d994bfed,2022-04-06_02-07-45,1649210865,0.42904090881347656,8.233822584152222,47685,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.233822584152222,0,9,501cdba8
9,74.29022082018928,False,,,10,8741a1f0c24a4c6bbe48e5e8d994bfed,2022-04-06_02-07-45,1649210865,0.4296839237213135,8.663506507873535,47685,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.663506507873535,0,10,501cdba8
10,72.13459516298633,False,,,11,8741a1f0c24a4c6bbe48e5e8d994bfed,2022-04-06_02-07-46,1649210866,0.4249136447906494,9.088420152664185,47685,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.088420152664185,0,11,501cdba8
