epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.31230283911672,False,,,1,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-14,1649211734,2.920335531234741,2.920335531234741,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.920335531234741,0,1,5ac93d3c
1,53.154574132492115,False,,,2,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-15,1649211735,0.5075201988220215,3.4278557300567627,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.4278557300567627,0,2,5ac93d3c
2,53.20715036803365,False,,,3,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-15,1649211735,0.5091900825500488,3.9370458126068115,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.9370458126068115,0,3,5ac93d3c
3,53.10199789695058,False,,,4,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-16,1649211736,0.4823005199432373,4.419346332550049,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.419346332550049,0,4,5ac93d3c
4,53.10199789695058,False,,,5,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-16,1649211736,0.49782228469848633,4.917168617248535,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.917168617248535,0,5,5ac93d3c
5,53.10199789695058,False,,,6,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-17,1649211737,0.4817492961883545,5.39891791343689,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.39891791343689,0,6,5ac93d3c
6,53.10199789695058,False,,,7,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-17,1649211737,0.499377965927124,5.898295879364014,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.898295879364014,0,7,5ac93d3c
7,53.04942166140905,False,,,8,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-17,1649211737,0.48177456855773926,6.380070447921753,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.380070447921753,0,8,5ac93d3c
8,53.10199789695058,False,,,9,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-18,1649211738,0.5011067390441895,6.881177186965942,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.881177186965942,0,9,5ac93d3c
9,53.10199789695058,False,,,10,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-18,1649211738,0.4935719966888428,7.374749183654785,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.374749183654785,0,10,5ac93d3c
10,53.10199789695058,False,,,11,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-19,1649211739,0.4945545196533203,7.8693037033081055,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.8693037033081055,0,11,5ac93d3c
11,53.04942166140905,False,,,12,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-19,1649211739,0.4891202449798584,8.358423948287964,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.358423948287964,0,12,5ac93d3c
12,53.04942166140905,False,,,13,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-20,1649211740,0.4877049922943115,8.846128940582275,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.846128940582275,0,13,5ac93d3c
13,53.04942166140905,False,,,14,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-20,1649211740,0.4834754467010498,9.329604387283325,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.329604387283325,0,14,5ac93d3c
14,53.31230283911672,False,,,15,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-21,1649211741,0.4958524703979492,9.825456857681274,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.825456857681274,0,15,5ac93d3c
15,53.31230283911672,False,,,16,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-21,1649211741,0.48477745056152344,10.310234308242798,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.310234308242798,0,16,5ac93d3c
16,53.31230283911672,False,,,17,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-22,1649211742,0.4773373603820801,10.787571668624878,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.787571668624878,0,17,5ac93d3c
17,53.20715036803365,False,,,18,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-22,1649211742,0.47377824783325195,11.26134991645813,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.26134991645813,0,18,5ac93d3c
18,53.31230283911672,False,,,19,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-23,1649211743,0.47560596466064453,11.736955881118774,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.736955881118774,0,19,5ac93d3c
19,53.31230283911672,False,,,20,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-23,1649211743,0.4787311553955078,12.215687036514282,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.215687036514282,0,20,5ac93d3c
20,53.41745531019979,False,,,21,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-24,1649211744,0.4809386730194092,12.696625709533691,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.696625709533691,0,21,5ac93d3c
21,53.575184016824394,False,,,22,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-24,1649211744,0.4755876064300537,13.172213315963745,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.172213315963745,0,22,5ac93d3c
22,53.575184016824394,False,,,23,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-25,1649211745,0.4812142848968506,13.653427600860596,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.653427600860596,0,23,5ac93d3c
23,53.41745531019979,False,,,24,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-25,1649211745,0.4911623001098633,14.144589900970459,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.144589900970459,0,24,5ac93d3c
24,53.52260778128286,False,,,25,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-26,1649211746,0.4837915897369385,14.628381490707397,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.628381490707397,0,25,5ac93d3c
25,53.732912723449,False,,,26,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-26,1649211746,0.47960996627807617,15.107991456985474,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.107991456985474,0,26,5ac93d3c
26,53.41745531019979,False,,,27,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-27,1649211747,0.49077677726745605,15.59876823425293,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.59876823425293,0,27,5ac93d3c
27,53.52260778128286,False,,,28,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-27,1649211747,0.488494873046875,16.087263107299805,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.087263107299805,0,28,5ac93d3c
28,53.575184016824394,False,,,29,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-28,1649211748,0.48648977279663086,16.573752880096436,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.573752880096436,0,29,5ac93d3c
29,53.25972660357519,False,,,30,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-28,1649211748,0.4814009666442871,17.055153846740723,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.055153846740723,0,30,5ac93d3c
30,53.364879074658255,False,,,31,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-29,1649211749,0.48017406463623047,17.535327911376953,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.535327911376953,0,31,5ac93d3c
31,53.47003154574133,False,,,32,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-29,1649211749,0.4791998863220215,18.014527797698975,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.014527797698975,0,32,5ac93d3c
32,53.52260778128286,False,,,33,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-30,1649211750,0.4801445007324219,18.494672298431396,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.494672298431396,0,33,5ac93d3c
33,53.62776025236593,False,,,34,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-30,1649211750,0.47300195693969727,18.967674255371094,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.967674255371094,0,34,5ac93d3c
34,53.89064143007361,False,,,35,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-31,1649211751,0.48175859451293945,19.449432849884033,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.449432849884033,0,35,5ac93d3c
35,53.785488958990534,False,,,36,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-31,1649211751,0.4855043888092041,19.934937238693237,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.934937238693237,0,36,5ac93d3c
36,53.785488958990534,False,,,37,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-32,1649211752,0.4832727909088135,20.41821002960205,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.41821002960205,0,37,5ac93d3c
37,53.62776025236593,False,,,38,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-32,1649211752,0.4886972904205322,20.906907320022583,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.906907320022583,0,38,5ac93d3c
38,53.62776025236593,False,,,39,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-33,1649211753,0.4900946617126465,21.39700198173523,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.39700198173523,0,39,5ac93d3c
39,53.62776025236593,False,,,40,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-33,1649211753,0.47580409049987793,21.872806072235107,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.872806072235107,0,40,5ac93d3c
40,53.41745531019979,False,,,41,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-34,1649211754,0.4875004291534424,22.36030650138855,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.36030650138855,0,41,5ac93d3c
41,53.41745531019979,False,,,42,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-34,1649211754,0.47664856910705566,22.836955070495605,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.836955070495605,0,42,5ac93d3c
42,53.41745531019979,False,,,43,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-35,1649211755,0.4807097911834717,23.317664861679077,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.317664861679077,0,43,5ac93d3c
43,53.41745531019979,False,,,44,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-35,1649211755,0.4748499393463135,23.79251480102539,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.79251480102539,0,44,5ac93d3c
44,53.364879074658255,False,,,45,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-36,1649211756,0.47739076614379883,24.26990556716919,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.26990556716919,0,45,5ac93d3c
45,53.364879074658255,False,,,46,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-36,1649211756,0.4860358238220215,24.75594139099121,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.75594139099121,0,46,5ac93d3c
46,53.41745531019979,False,,,47,b158df960d2e46b49705edc7421144d2,2022-04-06_02-22-36,1649211756,0.47414660453796387,25.230087995529175,60986,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.230087995529175,0,47,5ac93d3c
