epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.154574132492115,False,,,1,f9e1992db67041378ffc441ddfa5255f,2022-04-06_02-22-15,1649211735,2.9368855953216553,2.9368855953216553,60985,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.9368855953216553,0,1,5b043234
1,77.60252365930599,False,,,2,f9e1992db67041378ffc441ddfa5255f,2022-04-06_02-22-16,1649211736,0.48815226554870605,3.4250378608703613,60985,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.4250378608703613,0,2,5b043234
2,59.095688748685596,False,,,3,f9e1992db67041378ffc441ddfa5255f,2022-04-06_02-22-16,1649211736,0.48259925842285156,3.907637119293213,60985,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.907637119293213,0,3,5b043234
3,73.29127234490011,False,,,4,f9e1992db67041378ffc441ddfa5255f,2022-04-06_02-22-16,1649211736,0.46273112297058105,4.370368242263794,60985,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.370368242263794,0,4,5b043234
4,74.13249211356468,False,,,5,f9e1992db67041378ffc441ddfa5255f,2022-04-06_02-22-17,1649211737,0.47705793380737305,4.847426176071167,60985,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.847426176071167,0,5,5b043234
5,74.34279705573081,False,,,6,f9e1992db67041378ffc441ddfa5255f,2022-04-06_02-22-17,1649211737,0.4692955017089844,5.316721677780151,60985,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.316721677780151,0,6,5b043234
6,73.81703470031546,False,,,7,f9e1992db67041378ffc441ddfa5255f,2022-04-06_02-22-18,1649211738,0.4714195728302002,5.788141250610352,60985,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.788141250610352,0,7,5b043234
7,73.71188222923239,False,,,8,f9e1992db67041378ffc441ddfa5255f,2022-04-06_02-22-18,1649211738,0.49001288414001465,6.278154134750366,60985,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.278154134750366,0,8,5b043234
8,74.23764458464774,False,,,9,f9e1992db67041378ffc441ddfa5255f,2022-04-06_02-22-19,1649211739,0.49494433403015137,6.773098468780518,60985,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.773098468780518,0,9,5b043234
9,74.07991587802313,False,,,10,f9e1992db67041378ffc441ddfa5255f,2022-04-06_02-22-19,1649211739,0.4704618453979492,7.243560314178467,60985,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.243560314178467,0,10,5b043234
