epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,50.10515247108307,False,,,1,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-16,1649211736,2.955264091491699,2.955264091491699,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.955264091491699,0,1,5b2afe4c
1,52.05047318611987,False,,,2,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-17,1649211737,0.5151350498199463,3.4703991413116455,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.4703991413116455,0,2,5b2afe4c
2,59.2534174553102,False,,,3,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-17,1649211737,0.5344886779785156,4.004887819290161,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.004887819290161,0,3,5b2afe4c
3,63.61724500525763,False,,,4,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-18,1649211738,0.5312471389770508,4.536134958267212,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.536134958267212,0,4,5b2afe4c
4,53.575184016824394,False,,,5,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-18,1649211738,0.5239005088806152,5.060035467147827,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.060035467147827,0,5,5b2afe4c
5,55.941114616193474,False,,,6,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-19,1649211739,0.5270273685455322,5.587062835693359,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.587062835693359,0,6,5b2afe4c
6,66.45636172450052,False,,,7,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-19,1649211739,0.5414397716522217,6.128502607345581,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.128502607345581,0,7,5b2afe4c
7,45.42586750788644,False,,,8,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-20,1649211740,0.5343925952911377,6.662895202636719,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.662895202636719,0,8,5b2afe4c
8,53.25972660357519,False,,,9,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-20,1649211740,0.5096633434295654,7.172558546066284,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.172558546066284,0,9,5b2afe4c
9,53.10199789695058,False,,,10,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-21,1649211741,0.5174815654754639,7.690040111541748,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.690040111541748,0,10,5b2afe4c
10,66.77181913774973,False,,,11,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-21,1649211741,0.5168988704681396,8.206938982009888,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.206938982009888,0,11,5b2afe4c
11,58.2018927444795,False,,,12,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-22,1649211742,0.5061683654785156,8.713107347488403,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.713107347488403,0,12,5b2afe4c
12,47.10830704521556,False,,,13,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-22,1649211742,0.5008149147033691,9.213922262191772,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.213922262191772,0,13,5b2afe4c
13,59.148264984227126,False,,,14,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-23,1649211743,0.5137894153594971,9.72771167755127,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.72771167755127,0,14,5b2afe4c
14,61.72450052576236,False,,,15,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-23,1649211743,0.51090407371521,10.23861575126648,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.23861575126648,0,15,5b2afe4c
15,67.08727655099895,False,,,16,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-24,1649211744,0.509695291519165,10.748311042785645,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.748311042785645,0,16,5b2afe4c
16,69.45320715036803,False,,,17,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-24,1649211744,0.532677412033081,11.280988454818726,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.280988454818726,0,17,5b2afe4c
17,69.5583596214511,False,,,18,e0a04e10ae6e4dc4a650e1c2797391f6,2022-04-06_02-22-25,1649211745,0.5293679237365723,11.810356378555298,60987,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.810356378555298,0,18,5b2afe4c
