epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,45.478443743427974,False,,,1,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-14,1649211734,2.9691965579986572,2.9691965579986572,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.9691965579986572,0,1,5b3e72ec
1,47.26603575184017,False,,,2,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-14,1649211734,0.5105423927307129,3.47973895072937,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.47973895072937,0,2,5b3e72ec
2,51.9453207150368,False,,,3,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-15,1649211735,0.4827697277069092,3.9625086784362793,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.9625086784362793,0,3,5b3e72ec
3,46.845425867507885,False,,,4,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-15,1649211735,0.4783797264099121,4.440888404846191,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.440888404846191,0,4,5b3e72ec
4,67.82334384858044,False,,,5,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-16,1649211736,0.4711427688598633,4.912031173706055,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.912031173706055,0,5,5b3e72ec
5,44.689800210304945,False,,,6,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-16,1649211736,0.48764657974243164,5.399677753448486,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.399677753448486,0,6,5b3e72ec
6,82.59726603575184,False,,,7,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-16,1649211736,0.46421289443969727,5.863890647888184,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.863890647888184,0,7,5b3e72ec
7,56.414300736067304,False,,,8,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-17,1649211737,0.48650622367858887,6.3503968715667725,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.3503968715667725,0,8,5b3e72ec
8,38.64353312302839,False,,,9,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-17,1649211737,0.4840095043182373,6.83440637588501,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.83440637588501,0,9,5b3e72ec
9,52.418506834910616,False,,,10,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-18,1649211738,0.48587989807128906,7.320286273956299,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.320286273956299,0,10,5b3e72ec
10,58.72765509989485,False,,,11,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-18,1649211738,0.47876453399658203,7.799050807952881,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.799050807952881,0,11,5b3e72ec
11,53.41745531019979,False,,,12,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-19,1649211739,0.5081870555877686,8.30723786354065,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.30723786354065,0,12,5b3e72ec
12,53.41745531019979,False,,,13,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-19,1649211739,0.4828460216522217,8.790083885192871,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.790083885192871,0,13,5b3e72ec
13,53.10199789695058,False,,,14,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-20,1649211740,0.48082399368286133,9.270907878875732,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.270907878875732,0,14,5b3e72ec
14,49.57939011566772,False,,,15,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-20,1649211740,0.4722301959991455,9.743138074874878,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.743138074874878,0,15,5b3e72ec
15,56.992639327024186,False,,,16,a6141cc7048a43dfb5a09d5e2f1bcaac,2022-04-06_02-22-21,1649211741,0.4896690845489502,10.232807159423828,60980,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.232807159423828,0,16,5b3e72ec
