epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,44.00630914826498,False,,,1,52cdd5b68d1a40e680940e29ba89e864,2022-04-06_02-22-44,1649211764,2.9867560863494873,2.9867560863494873,60981,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.9867560863494873,0,1,5b524aa8
1,49.158780231335435,False,,,2,52cdd5b68d1a40e680940e29ba89e864,2022-04-06_02-22-45,1649211765,0.512204647064209,3.4989607334136963,60981,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.4989607334136963,0,2,5b524aa8
2,53.10199789695058,False,,,3,52cdd5b68d1a40e680940e29ba89e864,2022-04-06_02-22-45,1649211765,0.5199923515319824,4.018953084945679,60981,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.018953084945679,0,3,5b524aa8
3,77.23449001051524,False,,,4,52cdd5b68d1a40e680940e29ba89e864,2022-04-06_02-22-46,1649211766,0.5299041271209717,4.54885721206665,60981,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.54885721206665,0,4,5b524aa8
4,76.39327024185069,False,,,5,52cdd5b68d1a40e680940e29ba89e864,2022-04-06_02-22-46,1649211766,0.5172543525695801,5.0661115646362305,60981,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.0661115646362305,0,5,5b524aa8
5,83.4384858044164,False,,,6,52cdd5b68d1a40e680940e29ba89e864,2022-04-06_02-22-47,1649211767,0.5263528823852539,5.592464447021484,60981,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.592464447021484,0,6,5b524aa8
6,82.64984227129337,False,,,7,52cdd5b68d1a40e680940e29ba89e864,2022-04-06_02-22-47,1649211767,0.5079412460327148,6.100405693054199,60981,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.100405693054199,0,7,5b524aa8
7,84.43743427970557,False,,,8,52cdd5b68d1a40e680940e29ba89e864,2022-04-06_02-22-48,1649211768,0.5135056972503662,6.613911390304565,60981,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.613911390304565,0,8,5b524aa8
8,83.49106203995794,False,,,9,52cdd5b68d1a40e680940e29ba89e864,2022-04-06_02-22-48,1649211768,0.5173976421356201,7.1313090324401855,60981,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.1313090324401855,0,9,5b524aa8
9,81.96635120925342,False,,,10,52cdd5b68d1a40e680940e29ba89e864,2022-04-06_02-22-49,1649211769,0.5218055248260498,7.653114557266235,60981,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.653114557266235,0,10,5b524aa8
