epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,47.003154574132495,False,,,1,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-22,1649210482,5.095463991165161,5.095463991165161,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.095463991165161,0,1,6de6edf7
1,46.95057833859096,False,,,2,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-22,1649210482,0.46604180335998535,5.5615057945251465,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.5615057945251465,0,2,6de6edf7
2,38.74868559411146,False,,,3,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-23,1649210483,0.44298362731933594,6.004489421844482,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.004489421844482,0,3,6de6edf7
3,43.4279705573081,False,,,4,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-23,1649210483,0.4400670528411865,6.444556474685669,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.444556474685669,0,4,6de6edf7
4,48.10725552050473,False,,,5,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-23,1649210483,0.4585099220275879,6.903066396713257,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.903066396713257,0,5,6de6edf7
5,54.837013669821246,False,,,6,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-24,1649210484,0.4174082279205322,7.320474624633789,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.320474624633789,0,6,6de6edf7
6,32.64984227129338,False,,,7,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-24,1649210484,0.42060136795043945,7.7410759925842285,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.7410759925842285,0,7,6de6edf7
7,40.904311251314404,False,,,8,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-25,1649210485,0.442338228225708,8.183414220809937,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.183414220809937,0,8,6de6edf7
8,50.1577287066246,False,,,9,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-25,1649210485,0.4392218589782715,8.622636079788208,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.622636079788208,0,9,6de6edf7
9,44.321766561514195,False,,,10,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-26,1649210486,0.4576077461242676,9.080243825912476,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.080243825912476,0,10,6de6edf7
10,53.10199789695058,False,,,11,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-26,1649210486,0.460956335067749,9.541200160980225,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.541200160980225,0,11,6de6edf7
11,51.57728706624606,False,,,12,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-27,1649210487,0.45694994926452637,9.998150110244751,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.998150110244751,0,12,6de6edf7
12,53.10199789695058,False,,,13,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-27,1649210487,0.4476034641265869,10.445753574371338,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.445753574371338,0,13,6de6edf7
13,50.315457413249206,False,,,14,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-27,1649210487,0.443997859954834,10.889751434326172,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.889751434326172,0,14,6de6edf7
14,51.68243953732913,False,,,15,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-28,1649210488,0.45830416679382324,11.348055601119995,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.348055601119995,0,15,6de6edf7
15,61.67192429022082,False,,,16,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-28,1649210488,0.4503824710845947,11.79843807220459,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.79843807220459,0,16,6de6edf7
16,47.213459516298634,False,,,17,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-29,1649210489,0.4595499038696289,12.257987976074219,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.257987976074219,0,17,6de6edf7
17,52.89169295478444,False,,,18,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-29,1649210489,0.46219563484191895,12.720183610916138,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.720183610916138,0,18,6de6edf7
18,51.36698212407992,False,,,19,72018512090a40e5a64d6b177b76f5b5,2022-04-06_02-01-30,1649210490,0.4617311954498291,13.181914806365967,47523,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.181914806365967,0,19,6de6edf7
