epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,64.82649842271293,False,,,1,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-24,1649210484,4.474417686462402,4.474417686462402,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.474417686462402,0,1,6e7566e3
1,51.209253417455315,False,,,2,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-25,1649210485,0.5079405307769775,4.98235821723938,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.98235821723938,0,2,6e7566e3
2,54.31125131440589,False,,,3,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-25,1649210485,0.5225839614868164,5.504942178726196,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.504942178726196,0,3,6e7566e3
3,48.31756046267087,False,,,4,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-26,1649210486,0.5171139240264893,6.0220561027526855,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.0220561027526855,0,4,6e7566e3
4,53.10199789695058,False,,,5,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-27,1649210487,0.5074253082275391,6.529481410980225,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.529481410980225,0,5,6e7566e3
5,52.57623554153522,False,,,6,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-27,1649210487,0.5051236152648926,7.034605026245117,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.034605026245117,0,6,6e7566e3
6,40.7465825446898,False,,,7,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-28,1649210488,0.5095188617706299,7.544123888015747,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.544123888015747,0,7,6e7566e3
7,30.546792849631967,False,,,8,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-28,1649210488,0.5013678073883057,8.045491695404053,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.045491695404053,0,8,6e7566e3
8,53.10199789695058,False,,,9,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-29,1649210489,0.49318528175354004,8.538676977157593,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.538676977157593,0,9,6e7566e3
9,50.21030494216614,False,,,10,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-29,1649210489,0.485487699508667,9.02416467666626,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.02416467666626,0,10,6e7566e3
10,53.575184016824394,False,,,11,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-30,1649210490,0.4799230098724365,9.504087686538696,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.504087686538696,0,11,6e7566e3
11,52.05047318611987,False,,,12,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-30,1649210490,0.4934055805206299,9.997493267059326,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.997493267059326,0,12,6e7566e3
12,72.60778128286015,False,,,13,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-30,1649210490,0.4681220054626465,10.465615272521973,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.465615272521973,0,13,6e7566e3
13,47.63406940063091,False,,,14,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-31,1649210491,0.49032163619995117,10.955936908721924,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.955936908721924,0,14,6e7566e3
14,55.467928496319665,False,,,15,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-31,1649210491,0.47955799102783203,11.435494899749756,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.435494899749756,0,15,6e7566e3
15,56.51945320715037,False,,,16,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-32,1649210492,0.4825112819671631,11.918006181716919,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.918006181716919,0,16,6e7566e3
16,54.679284963196636,False,,,17,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-32,1649210492,0.4715445041656494,12.389550685882568,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.389550685882568,0,17,6e7566e3
17,59.20084121976866,False,,,18,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-33,1649210493,0.49393606185913086,12.8834867477417,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.8834867477417,0,18,6e7566e3
18,68.82229232386962,False,,,19,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-33,1649210493,0.4867990016937256,13.370285749435425,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.370285749435425,0,19,6e7566e3
19,53.20715036803365,False,,,20,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-34,1649210494,0.4684178829193115,13.838703632354736,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.838703632354736,0,20,6e7566e3
20,40.536277602523654,False,,,21,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-34,1649210494,0.47676825523376465,14.315471887588501,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.315471887588501,0,21,6e7566e3
21,56.414300736067304,False,,,22,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-35,1649210495,0.49152612686157227,14.806998014450073,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.806998014450073,0,22,6e7566e3
22,47.10830704521556,False,,,23,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-35,1649210495,0.497328519821167,15.30432653427124,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.30432653427124,0,23,6e7566e3
23,62.9863301787592,False,,,24,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-36,1649210496,0.508469820022583,15.812796354293823,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.812796354293823,0,24,6e7566e3
24,57.04521556256572,False,,,25,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-36,1649210496,0.4794893264770508,16.292285680770874,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.292285680770874,0,25,6e7566e3
25,53.10199789695058,False,,,26,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-37,1649210497,0.4883005619049072,16.78058624267578,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.78058624267578,0,26,6e7566e3
26,26.708727655099896,False,,,27,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-37,1649210497,0.49602675437927246,17.276612997055054,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.276612997055054,0,27,6e7566e3
27,45.846477392218716,False,,,28,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-38,1649210498,0.48085951805114746,17.7574725151062,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.7574725151062,0,28,6e7566e3
28,64.51104100946372,False,,,29,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-38,1649210498,0.47683215141296387,18.234304666519165,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.234304666519165,0,29,6e7566e3
29,63.8801261829653,False,,,30,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-39,1649210499,0.4873533248901367,18.7216579914093,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.7216579914093,0,30,6e7566e3
30,53.10199789695058,False,,,31,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-39,1649210499,0.46912503242492676,19.19078302383423,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.19078302383423,0,31,6e7566e3
31,34.542586750788644,False,,,32,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-40,1649210500,0.46323204040527344,19.654015064239502,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.654015064239502,0,32,6e7566e3
32,49.21135646687697,False,,,33,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-40,1649210500,0.4664292335510254,20.120444297790527,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.120444297790527,0,33,6e7566e3
33,53.25972660357519,False,,,34,8daef56d51c64a5cbbce2334d75f3495,2022-04-06_02-01-41,1649210501,0.4694070816040039,20.58985137939453,47500,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.58985137939453,0,34,6e7566e3
