epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,59.148264984227126,False,,,1,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-01-58,1649210518,5.614705801010132,5.614705801010132,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.614705801010132,0,1,6e9d8572
1,58.30704521556257,False,,,2,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-01-58,1649210518,0.52740478515625,6.142110586166382,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.142110586166382,0,2,6e9d8572
2,49.26393270241851,False,,,3,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-01-59,1649210519,0.476870059967041,6.618980646133423,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.618980646133423,0,3,6e9d8572
3,59.04311251314406,False,,,4,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-01-59,1649210519,0.4770231246948242,7.096003770828247,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.096003770828247,0,4,6e9d8572
4,57.09779179810725,False,,,5,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-00,1649210520,0.48703503608703613,7.583038806915283,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.583038806915283,0,5,6e9d8572
5,54.99474237644585,False,,,6,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-00,1649210520,0.4603097438812256,8.043348550796509,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.043348550796509,0,6,6e9d8572
6,56.57202944269191,False,,,7,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-01,1649210521,0.4844839572906494,8.527832508087158,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.527832508087158,0,7,6e9d8572
7,59.04311251314406,False,,,8,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-01,1649210521,0.5077500343322754,9.035582542419434,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.035582542419434,0,8,6e9d8572
8,48.63301787592008,False,,,9,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-02,1649210522,0.50990891456604,9.545491456985474,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.545491456985474,0,9,6e9d8572
9,43.79600420609884,False,,,10,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-02,1649210522,0.5007011890411377,10.046192646026611,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.046192646026611,0,10,6e9d8572
10,56.36172450052577,False,,,11,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-03,1649210523,0.4987349510192871,10.544927597045898,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.544927597045898,0,11,6e9d8572
11,49.47423764458465,False,,,12,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-03,1649210523,0.49857234954833984,11.043499946594238,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.043499946594238,0,12,6e9d8572
12,64.30073606729758,False,,,13,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-04,1649210524,0.5059268474578857,11.549426794052124,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.549426794052124,0,13,6e9d8572
13,60.77812828601472,False,,,14,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-04,1649210524,0.4978618621826172,12.047288656234741,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.047288656234741,0,14,6e9d8572
14,54.41640378548895,False,,,15,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-05,1649210525,0.4830930233001709,12.530381679534912,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.530381679534912,0,15,6e9d8572
15,63.35436382754994,False,,,16,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-05,1649210525,0.4871509075164795,13.017532587051392,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.017532587051392,0,16,6e9d8572
16,47.37118822292324,False,,,17,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-06,1649210526,0.4884157180786133,13.505948305130005,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.505948305130005,0,17,6e9d8572
17,54.25867507886435,False,,,18,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-06,1649210526,0.4859910011291504,13.991939306259155,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.991939306259155,0,18,6e9d8572
18,57.202944269190326,False,,,19,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-07,1649210527,0.4809427261352539,14.47288203239441,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.47288203239441,0,19,6e9d8572
19,63.03890641430073,False,,,20,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-07,1649210527,0.4736506938934326,14.946532726287842,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.946532726287842,0,20,6e9d8572
20,71.71398527865405,False,,,21,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-08,1649210528,0.48101282119750977,15.427545547485352,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.427545547485352,0,21,6e9d8572
21,53.83806519453207,False,,,22,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-08,1649210528,0.48484206199645996,15.912387609481812,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.912387609481812,0,22,6e9d8572
22,60.93585699263932,False,,,23,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-09,1649210529,0.4937126636505127,16.406100273132324,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.406100273132324,0,23,6e9d8572
23,55.888538380651944,False,,,24,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-09,1649210529,0.4928855895996094,16.898985862731934,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.898985862731934,0,24,6e9d8572
24,56.46687697160884,False,,,25,df3b08a59ca84888bf80cc67edf4a046,2022-04-06_02-02-10,1649210530,0.49501848220825195,17.394004344940186,47518,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.394004344940186,0,25,6e9d8572
