epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,51.7875920084122,False,,,1,a16def8dc7bf4d93b7314a239ddcb0dd,2022-04-06_02-23-14,1649211794,2.9705188274383545,2.9705188274383545,60975,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.9705188274383545,0,1,6fd34857
1,53.785488958990534,False,,,2,a16def8dc7bf4d93b7314a239ddcb0dd,2022-04-06_02-23-14,1649211794,0.49794697761535645,3.468465805053711,60975,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.468465805053711,0,2,6fd34857
2,47.05573080967403,False,,,3,a16def8dc7bf4d93b7314a239ddcb0dd,2022-04-06_02-23-15,1649211795,0.49974966049194336,3.9682154655456543,60975,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.9682154655456543,0,3,6fd34857
3,53.10199789695058,False,,,4,a16def8dc7bf4d93b7314a239ddcb0dd,2022-04-06_02-23-15,1649211795,0.5042107105255127,4.472426176071167,60975,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.472426176071167,0,4,6fd34857
4,47.05573080967403,False,,,5,a16def8dc7bf4d93b7314a239ddcb0dd,2022-04-06_02-23-16,1649211796,0.4784235954284668,4.950849771499634,60975,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.950849771499634,0,5,6fd34857
5,57.99158780231335,False,,,6,a16def8dc7bf4d93b7314a239ddcb0dd,2022-04-06_02-23-16,1649211796,0.482588529586792,5.433438301086426,60975,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.433438301086426,0,6,6fd34857
6,53.154574132492115,False,,,7,a16def8dc7bf4d93b7314a239ddcb0dd,2022-04-06_02-23-17,1649211797,0.47855687141418457,5.91199517250061,60975,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.91199517250061,0,7,6fd34857
7,53.364879074658255,False,,,8,a16def8dc7bf4d93b7314a239ddcb0dd,2022-04-06_02-23-17,1649211797,0.495159387588501,6.407154560089111,60975,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.407154560089111,0,8,6fd34857
8,50.262881177707676,False,,,9,a16def8dc7bf4d93b7314a239ddcb0dd,2022-04-06_02-23-18,1649211798,0.4518265724182129,6.858981132507324,60975,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.858981132507324,0,9,6fd34857
9,53.04942166140905,False,,,10,a16def8dc7bf4d93b7314a239ddcb0dd,2022-04-06_02-23-18,1649211798,0.5042827129364014,7.363263845443726,60975,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.363263845443726,0,10,6fd34857
