epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,45.478443743427974,False,,,1,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-02,1649210942,5.1650474071502686,5.1650474071502686,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.1650474071502686,0,1,80f2e81a
1,46.95057833859096,False,,,2,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-03,1649210943,0.4394967555999756,5.604544162750244,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.604544162750244,0,2,80f2e81a
2,52.99684542586751,False,,,3,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-03,1649210943,0.43192267417907715,6.036466836929321,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.036466836929321,0,3,80f2e81a
3,53.10199789695058,False,,,4,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-04,1649210944,0.43178248405456543,6.468249320983887,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.468249320983887,0,4,80f2e81a
4,58.78023133543638,False,,,5,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-05,1649210945,0.4356575012207031,6.90390682220459,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.90390682220459,0,5,80f2e81a
5,57.04521556256572,False,,,6,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-05,1649210945,0.4318888187408447,7.335795640945435,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.335795640945435,0,6,80f2e81a
6,54.52155625657203,False,,,7,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-06,1649210946,0.4243772029876709,7.7601728439331055,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.7601728439331055,0,7,80f2e81a
7,57.15036803364879,False,,,8,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-07,1649210947,0.42613959312438965,8.186312437057495,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.186312437057495,0,8,80f2e81a
8,62.51314405888538,False,,,9,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-07,1649210947,0.4243593215942383,8.610671758651733,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.610671758651733,0,9,80f2e81a
9,63.1440588853838,False,,,10,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-08,1649210948,0.4224543571472168,9.03312611579895,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.03312611579895,0,10,80f2e81a
10,62.67087276550999,False,,,11,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-08,1649210948,0.42414379119873047,9.45726990699768,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.45726990699768,0,11,80f2e81a
11,61.72450052576236,False,,,12,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-09,1649210949,0.4267590045928955,9.884028911590576,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.884028911590576,0,12,80f2e81a
12,64.30073606729758,False,,,13,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-09,1649210949,0.43102216720581055,10.315051078796387,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.315051078796387,0,13,80f2e81a
13,63.45951629863302,False,,,14,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-10,1649210950,0.4247589111328125,10.7398099899292,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.7398099899292,0,14,80f2e81a
14,61.461619348054676,False,,,15,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-11,1649210951,0.4313626289367676,11.171172618865967,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.171172618865967,0,15,80f2e81a
15,64.72134595162986,False,,,16,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-11,1649210951,0.42634081840515137,11.597513437271118,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.597513437271118,0,16,80f2e81a
16,64.98422712933754,False,,,17,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-12,1649210952,0.4381844997406006,12.035697937011719,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.035697937011719,0,17,80f2e81a
17,67.4553101997897,False,,,18,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-12,1649210952,0.447040319442749,12.482738256454468,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.482738256454468,0,18,80f2e81a
18,77.7602523659306,False,,,19,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-13,1649210953,0.4452054500579834,12.927943706512451,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.927943706512451,0,19,80f2e81a
19,81.4931650893796,False,,,20,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-13,1649210953,0.43625450134277344,13.364198207855225,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.364198207855225,0,20,80f2e81a
20,75.39432176656152,False,,,21,9a78fd154bfe452298ffa7d5eff28ab0,2022-04-06_02-09-14,1649210954,0.42520689964294434,13.789405107498169,47519,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.789405107498169,0,21,80f2e81a
