epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,63.1440588853838,False,,,1,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-01,1649210521,5.588509559631348,5.588509559631348,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.588509559631348,0,1,84ea8f21
1,62.35541535226078,False,,,2,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-01,1649210521,0.5125420093536377,6.101051568984985,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.101051568984985,0,2,84ea8f21
2,62.14511041009464,False,,,3,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-02,1649210522,0.49855661392211914,6.5996081829071045,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.5996081829071045,0,3,84ea8f21
3,61.61934805467929,False,,,4,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-02,1649210522,0.5043957233428955,7.10400390625,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.10400390625,0,4,84ea8f21
4,61.3564668769716,False,,,5,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-03,1649210523,0.4928452968597412,7.596849203109741,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.596849203109741,0,5,84ea8f21
5,61.67192429022082,False,,,6,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-03,1649210523,0.48599839210510254,8.082847595214844,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.082847595214844,0,6,84ea8f21
6,61.30389064143007,False,,,7,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-04,1649210524,0.5020363330841064,8.58488392829895,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.58488392829895,0,7,84ea8f21
7,61.40904311251314,False,,,8,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-04,1649210524,0.509984016418457,9.094867944717407,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.094867944717407,0,8,84ea8f21
8,61.14616193480546,False,,,9,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-05,1649210525,0.4936556816101074,9.588523626327515,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.588523626327515,0,9,84ea8f21
9,61.198738170347,False,,,10,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-05,1649210525,0.48262691497802734,10.071150541305542,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.071150541305542,0,10,84ea8f21
10,61.251314405888536,False,,,11,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-06,1649210526,0.4852442741394043,10.556394815444946,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.556394815444946,0,11,84ea8f21
11,61.198738170347,False,,,12,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-06,1649210526,0.493013858795166,11.049408674240112,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.049408674240112,0,12,84ea8f21
12,61.251314405888536,False,,,13,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-07,1649210527,0.5018970966339111,11.551305770874023,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.551305770874023,0,13,84ea8f21
13,61.30389064143007,False,,,14,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-07,1649210527,0.49405598640441895,12.045361757278442,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.045361757278442,0,14,84ea8f21
14,61.3564668769716,False,,,15,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-08,1649210528,0.5083522796630859,12.553714036941528,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.553714036941528,0,15,84ea8f21
15,61.198738170347,False,,,16,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-08,1649210528,0.49481987953186035,13.048533916473389,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.048533916473389,0,16,84ea8f21
16,61.30389064143007,False,,,17,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-09,1649210529,0.5170657634735107,13.5655996799469,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.5655996799469,0,17,84ea8f21
17,61.30389064143007,False,,,18,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-09,1649210529,0.509495735168457,14.075095415115356,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.075095415115356,0,18,84ea8f21
18,61.198738170347,False,,,19,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-10,1649210530,0.5166974067687988,14.591792821884155,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.591792821884155,0,19,84ea8f21
19,61.251314405888536,False,,,20,faa5c82e61be4d2280ae5a461a28f8bf,2022-04-06_02-02-10,1649210530,0.49444031715393066,15.086233139038086,47499,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.086233139038086,0,20,84ea8f21
