epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.89064143007361,False,,,1,d3ce7616ccd5441d9501c7a73d945995,2022-04-06_02-23-45,1649211825,3.0130615234375,3.0130615234375,60978,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.0130615234375,0,1,9111a99a
1,64.35331230283911,False,,,2,d3ce7616ccd5441d9501c7a73d945995,2022-04-06_02-23-46,1649211826,0.47630739212036133,3.4893689155578613,60978,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.4893689155578613,0,2,9111a99a
2,61.51419558359621,False,,,3,d3ce7616ccd5441d9501c7a73d945995,2022-04-06_02-23-46,1649211826,0.4790980815887451,3.9684669971466064,60978,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.9684669971466064,0,3,9111a99a
3,71.92429022082018,False,,,4,d3ce7616ccd5441d9501c7a73d945995,2022-04-06_02-23-47,1649211827,0.46840405464172363,4.43687105178833,60978,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.43687105178833,0,4,9111a99a
4,71.03049421661409,False,,,5,d3ce7616ccd5441d9501c7a73d945995,2022-04-06_02-23-47,1649211827,0.46523499488830566,4.902106046676636,60978,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.902106046676636,0,5,9111a99a
5,80.17875920084123,False,,,6,d3ce7616ccd5441d9501c7a73d945995,2022-04-06_02-23-48,1649211828,0.4519829750061035,5.354089021682739,60978,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.354089021682739,0,6,9111a99a
6,83.49106203995794,False,,,7,d3ce7616ccd5441d9501c7a73d945995,2022-04-06_02-23-48,1649211828,0.48118162155151367,5.835270643234253,60978,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.835270643234253,0,7,9111a99a
7,80.5993690851735,False,,,8,d3ce7616ccd5441d9501c7a73d945995,2022-04-06_02-23-49,1649211829,0.45032763481140137,6.285598278045654,60978,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.285598278045654,0,8,9111a99a
8,79.23238696109358,False,,,9,d3ce7616ccd5441d9501c7a73d945995,2022-04-06_02-23-49,1649211829,0.4577202796936035,6.743318557739258,60978,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.743318557739258,0,9,9111a99a
9,80.02103049421662,False,,,10,d3ce7616ccd5441d9501c7a73d945995,2022-04-06_02-23-50,1649211830,0.44743847846984863,7.1907570362091064,60978,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.1907570362091064,0,10,9111a99a
10,79.39011566771819,False,,,11,d3ce7616ccd5441d9501c7a73d945995,2022-04-06_02-23-50,1649211830,0.4429655075073242,7.633722543716431,60978,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.633722543716431,0,11,9111a99a
11,79.91587802313354,False,,,12,d3ce7616ccd5441d9501c7a73d945995,2022-04-06_02-23-51,1649211831,0.46016478538513184,8.093887329101562,60978,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.093887329101562,0,12,9111a99a
12,79.12723449001051,False,,,13,d3ce7616ccd5441d9501c7a73d945995,2022-04-06_02-23-51,1649211831,0.4478633403778076,8.54175066947937,60978,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.54175066947937,0,13,9111a99a
13,78.39116719242902,False,,,14,d3ce7616ccd5441d9501c7a73d945995,2022-04-06_02-23-51,1649211831,0.4562990665435791,8.99804973602295,60978,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.99804973602295,0,14,9111a99a
