epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,52.36593059936908,False,,,1,0c3eb40ad42948c1b4b603ac8082fd6e,2022-04-06_02-23-48,1649211828,2.8584072589874268,2.8584072589874268,60955,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.8584072589874268,0,1,926cb286
1,52.6813880126183,False,,,2,0c3eb40ad42948c1b4b603ac8082fd6e,2022-04-06_02-23-49,1649211829,0.492969274520874,3.351376533508301,60955,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.351376533508301,0,2,926cb286
2,53.04942166140905,False,,,3,0c3eb40ad42948c1b4b603ac8082fd6e,2022-04-06_02-23-49,1649211829,0.4847981929779053,3.836174726486206,60955,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.836174726486206,0,3,926cb286
3,53.154574132492115,False,,,4,0c3eb40ad42948c1b4b603ac8082fd6e,2022-04-06_02-23-50,1649211830,0.4839322566986084,4.3201069831848145,60955,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.3201069831848145,0,4,926cb286
4,53.62776025236593,False,,,5,0c3eb40ad42948c1b4b603ac8082fd6e,2022-04-06_02-23-50,1649211830,0.48429298400878906,4.8043999671936035,60955,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.8043999671936035,0,5,926cb286
5,56.414300736067304,False,,,6,0c3eb40ad42948c1b4b603ac8082fd6e,2022-04-06_02-23-51,1649211831,0.47069692611694336,5.275096893310547,60955,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.275096893310547,0,6,926cb286
6,62.14511041009464,False,,,7,0c3eb40ad42948c1b4b603ac8082fd6e,2022-04-06_02-23-51,1649211831,0.49457645416259766,5.7696733474731445,60955,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.7696733474731445,0,7,926cb286
7,77.49737118822291,False,,,8,0c3eb40ad42948c1b4b603ac8082fd6e,2022-04-06_02-23-52,1649211832,0.4905519485473633,6.260225296020508,60955,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.260225296020508,0,8,926cb286
8,77.12933753943217,False,,,9,0c3eb40ad42948c1b4b603ac8082fd6e,2022-04-06_02-23-52,1649211832,0.49001550674438477,6.750240802764893,60955,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.750240802764893,0,9,926cb286
9,78.12828601472135,False,,,10,0c3eb40ad42948c1b4b603ac8082fd6e,2022-04-06_02-23-52,1649211832,0.4736618995666504,7.223902702331543,60955,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.223902702331543,0,10,926cb286
