epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,52.944269190325976,False,,,1,1fce578d4f9d41758052e57b88645af8,2022-04-06_02-09-34,1649210974,4.835745334625244,4.835745334625244,47538,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.835745334625244,0,1,93ef4af0
1,58.41219768664564,False,,,2,1fce578d4f9d41758052e57b88645af8,2022-04-06_02-09-34,1649210974,0.4728732109069824,5.308618545532227,47538,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.308618545532227,0,2,93ef4af0
2,60.77812828601472,False,,,3,1fce578d4f9d41758052e57b88645af8,2022-04-06_02-09-35,1649210975,0.48504185676574707,5.793660402297974,47538,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.793660402297974,0,3,93ef4af0
3,55.941114616193474,False,,,4,1fce578d4f9d41758052e57b88645af8,2022-04-06_02-09-35,1649210975,0.47751903533935547,6.271179437637329,47538,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.271179437637329,0,4,93ef4af0
4,74.39537329127235,False,,,5,1fce578d4f9d41758052e57b88645af8,2022-04-06_02-09-36,1649210976,0.48127245903015137,6.7524518966674805,47538,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.7524518966674805,0,5,93ef4af0
5,64.82649842271293,False,,,6,1fce578d4f9d41758052e57b88645af8,2022-04-06_02-09-36,1649210976,0.4812922477722168,7.233744144439697,47538,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.233744144439697,0,6,93ef4af0
6,74.07991587802313,False,,,7,1fce578d4f9d41758052e57b88645af8,2022-04-06_02-09-37,1649210977,0.48284435272216797,7.716588497161865,47538,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.716588497161865,0,7,93ef4af0
7,76.13038906414302,False,,,8,1fce578d4f9d41758052e57b88645af8,2022-04-06_02-09-37,1649210977,0.4744279384613037,8.191016435623169,47538,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.191016435623169,0,8,93ef4af0
8,59.148264984227126,False,,,9,1fce578d4f9d41758052e57b88645af8,2022-04-06_02-09-38,1649210978,0.47185182571411133,8.66286826133728,47538,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.66286826133728,0,9,93ef4af0
9,57.09779179810725,False,,,10,1fce578d4f9d41758052e57b88645af8,2022-04-06_02-09-38,1649210978,0.476351261138916,9.139219522476196,47538,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.139219522476196,0,10,93ef4af0
