epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,52.733964248159836,False,,,1,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-23-58,1649211838,2.846771717071533,2.846771717071533,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.846771717071533,0,1,940ee4c1
1,55.730809674027334,False,,,2,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-23-58,1649211838,0.43688225746154785,3.283653974533081,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.283653974533081,0,2,940ee4c1
2,60.83070452155626,False,,,3,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-23-59,1649211839,0.46972227096557617,3.7533762454986572,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.7533762454986572,0,3,940ee4c1
3,71.92429022082018,False,,,4,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-00,1649211840,0.46121788024902344,4.214594125747681,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.214594125747681,0,4,940ee4c1
4,75.23659305993691,False,,,5,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-00,1649211840,0.4594156742095947,4.674009799957275,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.674009799957275,0,5,940ee4c1
5,75.92008412197687,False,,,6,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-00,1649211840,0.4487481117248535,5.122757911682129,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.122757911682129,0,6,940ee4c1
6,77.23449001051524,False,,,7,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-01,1649211841,0.4364173412322998,5.559175252914429,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.559175252914429,0,7,940ee4c1
7,75.49947423764458,False,,,8,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-01,1649211841,0.4307270050048828,5.9899022579193115,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.9899022579193115,0,8,940ee4c1
8,76.07781282860148,False,,,9,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-02,1649211842,0.4158971309661865,6.405799388885498,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.405799388885498,0,9,940ee4c1
9,75.65720294426919,False,,,10,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-02,1649211842,0.42446327209472656,6.830262660980225,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.830262660980225,0,10,940ee4c1
10,77.07676130389063,False,,,11,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-03,1649211843,0.41425251960754395,7.2445151805877686,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.2445151805877686,0,11,940ee4c1
11,76.91903259726604,False,,,12,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-03,1649211843,0.42853260040283203,7.673047780990601,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.673047780990601,0,12,940ee4c1
12,76.49842271293376,False,,,13,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-04,1649211844,0.42231011390686035,8.095357894897461,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.095357894897461,0,13,940ee4c1
13,76.44584647739222,False,,,14,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-04,1649211844,0.41159629821777344,8.506954193115234,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.506954193115234,0,14,940ee4c1
14,77.33964248159832,False,,,15,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-05,1649211845,0.41564512252807617,8.92259931564331,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.92259931564331,0,15,940ee4c1
15,77.28706624605678,False,,,16,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-05,1649211845,0.40902161598205566,9.331620931625366,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.331620931625366,0,16,940ee4c1
16,77.54994742376445,False,,,17,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-06,1649211846,0.41047239303588867,9.742093324661255,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.742093324661255,0,17,940ee4c1
17,77.44479495268138,False,,,18,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-06,1649211846,0.4103519916534424,10.152445316314697,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.152445316314697,0,18,940ee4c1
18,77.33964248159832,False,,,19,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-07,1649211847,0.4162750244140625,10.56872034072876,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.56872034072876,0,19,940ee4c1
19,76.8664563617245,False,,,20,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-07,1649211847,0.421173095703125,10.989893436431885,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.989893436431885,0,20,940ee4c1
20,76.97160883280758,False,,,21,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-08,1649211848,0.4097714424133301,11.399664878845215,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.399664878845215,0,21,940ee4c1
21,77.0241850683491,False,,,22,b1cd57497b8a411585acaffefcac9ba1,2022-04-06_02-24-08,1649211848,0.41929125785827637,11.818956136703491,60979,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.818956136703491,0,22,940ee4c1
