epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,45.42586750788644,False,,,1,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-37,1649210557,4.2788474559783936,4.2788474559783936,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.2788474559783936,0,1,9908b60d
1,73.97476340694006,False,,,2,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-38,1649210558,0.504626989364624,4.783474445343018,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.783474445343018,0,2,9908b60d
2,52.628811777076756,False,,,3,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-39,1649210559,0.9788193702697754,5.762293815612793,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.762293815612793,0,3,9908b60d
3,44.58464773922187,False,,,4,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-39,1649210559,0.508660078048706,6.270953893661499,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.270953893661499,0,4,9908b60d
4,49.158780231335435,False,,,5,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-41,1649210561,0.507026195526123,6.777980089187622,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.777980089187622,0,5,9908b60d
5,51.26182965299685,False,,,6,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-41,1649210561,0.5005903244018555,7.2785704135894775,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.2785704135894775,0,6,9908b60d
6,64.98422712933754,False,,,7,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-42,1649210562,0.49079394340515137,7.769364356994629,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.769364356994629,0,7,9908b60d
7,34.75289169295478,False,,,8,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-43,1649210563,0.48706603050231934,8.256430387496948,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.256430387496948,0,8,9908b60d
8,68.5068349106204,False,,,9,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-43,1649210563,0.4824340343475342,8.738864421844482,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.738864421844482,0,9,9908b60d
9,54.679284963196636,False,,,10,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-46,1649210566,0.5113832950592041,9.250247716903687,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.250247716903687,0,10,9908b60d
10,46.89800210304942,False,,,11,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-46,1649210566,0.5081658363342285,9.758413553237915,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.758413553237915,0,11,9908b60d
11,44.63722397476341,False,,,12,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-47,1649210567,0.5060381889343262,10.264451742172241,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.264451742172241,0,12,9908b60d
12,61.041009463722396,False,,,13,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-48,1649210568,0.4994692802429199,10.763921022415161,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.763921022415161,0,13,9908b60d
13,39.484752891692956,False,,,14,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-49,1649210569,0.5036909580230713,11.267611980438232,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.267611980438232,0,14,9908b60d
14,51.31440588853838,False,,,15,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-50,1649210570,0.49581265449523926,11.763424634933472,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.763424634933472,0,15,9908b60d
15,51.840168243953734,False,,,16,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-50,1649210570,0.4898796081542969,12.253304243087769,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.253304243087769,0,16,9908b60d
16,47.52891692954784,False,,,17,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-51,1649210571,0.49163126945495605,12.744935512542725,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.744935512542725,0,17,9908b60d
17,70.55730809674029,False,,,18,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-52,1649210572,0.5016763210296631,13.246611833572388,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.246611833572388,0,18,9908b60d
18,49.21135646687697,False,,,19,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-53,1649210573,0.49446558952331543,13.741077423095703,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.741077423095703,0,19,9908b60d
19,60.19978969505784,False,,,20,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-54,1649210574,0.4897501468658447,14.230827569961548,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.230827569961548,0,20,9908b60d
20,71.5036803364879,False,,,21,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-55,1649210575,0.4838998317718506,14.714727401733398,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.714727401733398,0,21,9908b60d
21,53.62776025236593,False,,,22,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-56,1649210576,0.4932291507720947,15.207956552505493,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.207956552505493,0,22,9908b60d
22,60.77812828601472,False,,,23,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-02-57,1649210577,0.48245859146118164,15.690415143966675,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.690415143966675,0,23,9908b60d
23,53.10199789695058,False,,,24,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-03-00,1649210580,0.5059781074523926,16.196393251419067,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.196393251419067,0,24,9908b60d
24,53.10199789695058,False,,,25,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-03-01,1649210581,0.4999227523803711,16.69631600379944,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.69631600379944,0,25,9908b60d
25,65.61514195583597,False,,,26,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-03-01,1649210581,0.4887995719909668,17.185115575790405,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.185115575790405,0,26,9908b60d
26,54.57413249211357,False,,,27,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-03-02,1649210582,0.49573469161987305,17.68085026741028,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.68085026741028,0,27,9908b60d
27,63.669821240799166,False,,,28,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-03-03,1649210583,0.4806995391845703,18.16154980659485,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.16154980659485,0,28,9908b60d
28,64.14300736067298,False,,,29,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-03-03,1649210583,0.5014181137084961,18.662967920303345,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.662967920303345,0,29,9908b60d
29,49.57939011566772,False,,,30,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-03-04,1649210584,0.48958587646484375,19.15255379676819,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.15255379676819,0,30,9908b60d
30,76.60357518401682,False,,,31,e34a6d86fdbe4699a25b296c34a54cff,2022-04-06_02-03-05,1649210585,0.49364614486694336,19.646199941635132,47543,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.646199941635132,0,31,9908b60d
