epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,33.33333333333333,False,,,1,0683af18e9d14ae79ce4467bed817b96,2022-04-06_02-09-49,1649210989,4.148027420043945,4.148027420043945,47530,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.148027420043945,0,1,9d70150b
1,56.83491062039958,False,,,2,0683af18e9d14ae79ce4467bed817b96,2022-04-06_02-09-50,1649210990,0.4288043975830078,4.576831817626953,47530,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.576831817626953,0,2,9d70150b
2,41.95583596214511,False,,,3,0683af18e9d14ae79ce4467bed817b96,2022-04-06_02-09-50,1649210990,0.4400618076324463,5.016893625259399,47530,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.016893625259399,0,3,9d70150b
3,58.30704521556257,False,,,4,0683af18e9d14ae79ce4467bed817b96,2022-04-06_02-09-51,1649210991,0.4482135772705078,5.465107202529907,47530,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.465107202529907,0,4,9d70150b
4,54.57413249211357,False,,,5,0683af18e9d14ae79ce4467bed817b96,2022-04-06_02-09-52,1649210992,0.4577963352203369,5.922903537750244,47530,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.922903537750244,0,5,9d70150b
5,73.65930599369085,False,,,6,0683af18e9d14ae79ce4467bed817b96,2022-04-06_02-09-52,1649210992,0.44506359100341797,6.367967128753662,47530,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.367967128753662,0,6,9d70150b
6,75.8149316508938,False,,,7,0683af18e9d14ae79ce4467bed817b96,2022-04-06_02-09-53,1649210993,0.43718957901000977,6.805156707763672,47530,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.805156707763672,0,7,9d70150b
7,57.88643533123028,False,,,8,0683af18e9d14ae79ce4467bed817b96,2022-04-06_02-09-53,1649210993,0.4252004623413086,7.2303571701049805,47530,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.2303571701049805,0,8,9d70150b
8,64.66876971608832,False,,,9,0683af18e9d14ae79ce4467bed817b96,2022-04-06_02-09-54,1649210994,0.4116814136505127,7.642038583755493,47530,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.642038583755493,0,9,9d70150b
9,64.6161934805468,False,,,10,0683af18e9d14ae79ce4467bed817b96,2022-04-06_02-09-54,1649210994,0.41797590255737305,8.060014486312866,47530,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.060014486312866,0,10,9d70150b
