epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,47.73922187171398,False,,,1,e4533380e15747ea958a12eeb536c267,2022-04-06_02-24-19,1649211859,2.867464780807495,2.867464780807495,60970,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.867464780807495,0,1,a5e66f08
1,62.03995793901157,False,,,2,e4533380e15747ea958a12eeb536c267,2022-04-06_02-24-19,1649211859,0.49324727058410645,3.3607120513916016,60970,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.3607120513916016,0,2,a5e66f08
2,61.09358569926393,False,,,3,e4533380e15747ea958a12eeb536c267,2022-04-06_02-24-20,1649211860,0.47803330421447754,3.838745355606079,60970,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.838745355606079,0,3,a5e66f08
3,60.462670872765514,False,,,4,e4533380e15747ea958a12eeb536c267,2022-04-06_02-24-20,1649211860,0.4793844223022461,4.318129777908325,60970,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.318129777908325,0,4,a5e66f08
4,63.40694006309149,False,,,5,e4533380e15747ea958a12eeb536c267,2022-04-06_02-24-21,1649211861,0.4634842872619629,4.781614065170288,60970,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.781614065170288,0,5,a5e66f08
5,64.30073606729758,False,,,6,e4533380e15747ea958a12eeb536c267,2022-04-06_02-24-22,1649211862,0.46687865257263184,5.24849271774292,60970,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.24849271774292,0,6,a5e66f08
6,64.03785488958991,False,,,7,e4533380e15747ea958a12eeb536c267,2022-04-06_02-24-22,1649211862,0.4751410484313965,5.723633766174316,60970,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.723633766174316,0,7,a5e66f08
7,64.87907465825447,False,,,8,e4533380e15747ea958a12eeb536c267,2022-04-06_02-24-24,1649211864,0.47850704193115234,6.202140808105469,60970,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.202140808105469,0,8,a5e66f08
8,65.77287066246058,False,,,9,e4533380e15747ea958a12eeb536c267,2022-04-06_02-24-24,1649211864,0.47522878646850586,6.677369594573975,60970,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.677369594573975,0,9,a5e66f08
9,65.14195583596214,False,,,10,e4533380e15747ea958a12eeb536c267,2022-04-06_02-24-25,1649211865,0.47953152656555176,7.156901121139526,60970,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.156901121139526,0,10,a5e66f08
10,65.72029442691904,False,,,11,e4533380e15747ea958a12eeb536c267,2022-04-06_02-24-26,1649211866,0.4723508358001709,7.629251956939697,60970,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.629251956939697,0,11,a5e66f08
