epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,38.801261829652994,False,,,1,e80e7dd1859e433a84efb52f329c1aaa,2022-04-06_02-24-29,1649211869,2.9427642822265625,2.9427642822265625,60969,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.9427642822265625,0,1,abc9d3c5
1,53.04942166140905,False,,,2,e80e7dd1859e433a84efb52f329c1aaa,2022-04-06_02-24-30,1649211870,0.4677541255950928,3.4105184078216553,60969,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.4105184078216553,0,2,abc9d3c5
2,67.4553101997897,False,,,3,e80e7dd1859e433a84efb52f329c1aaa,2022-04-06_02-24-31,1649211871,0.4604623317718506,3.870980739593506,60969,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.870980739593506,0,3,abc9d3c5
3,53.732912723449,False,,,4,e80e7dd1859e433a84efb52f329c1aaa,2022-04-06_02-24-32,1649211872,0.45879483222961426,4.32977557182312,60969,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.32977557182312,0,4,abc9d3c5
4,55.467928496319665,False,,,5,e80e7dd1859e433a84efb52f329c1aaa,2022-04-06_02-24-33,1649211873,0.45720815658569336,4.7869837284088135,60969,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.7869837284088135,0,5,abc9d3c5
5,69.2429022082019,False,,,6,e80e7dd1859e433a84efb52f329c1aaa,2022-04-06_02-24-34,1649211874,0.4862797260284424,5.273263454437256,60969,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.273263454437256,0,6,abc9d3c5
6,75.0788643533123,False,,,7,e80e7dd1859e433a84efb52f329c1aaa,2022-04-06_02-24-35,1649211875,0.4462728500366211,5.719536304473877,60969,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.719536304473877,0,7,abc9d3c5
7,71.81913774973711,False,,,8,e80e7dd1859e433a84efb52f329c1aaa,2022-04-06_02-24-35,1649211875,0.4411444664001465,6.160680770874023,60969,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.160680770874023,0,8,abc9d3c5
8,70.97791798107255,False,,,9,e80e7dd1859e433a84efb52f329c1aaa,2022-04-06_02-24-36,1649211876,0.45249199867248535,6.613172769546509,60969,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.613172769546509,0,9,abc9d3c5
9,73.50157728706624,False,,,10,e80e7dd1859e433a84efb52f329c1aaa,2022-04-06_02-24-36,1649211876,0.4482240676879883,7.061396837234497,60969,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.061396837234497,0,10,abc9d3c5
