epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,49.21135646687697,False,,,1,3d961e2a5c314b1f8734c60daac8b37f,2022-04-06_02-03-18,1649210598,4.2110419273376465,4.2110419273376465,47525,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.2110419273376465,0,1,b4cf7480
1,51.47213459516299,False,,,2,3d961e2a5c314b1f8734c60daac8b37f,2022-04-06_02-03-19,1649210599,0.5213744640350342,4.732416391372681,47525,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.732416391372681,0,2,b4cf7480
2,52.10304942166141,False,,,3,3d961e2a5c314b1f8734c60daac8b37f,2022-04-06_02-03-20,1649210600,0.5028905868530273,5.235306978225708,47525,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.235306978225708,0,3,b4cf7480
3,52.31335436382755,False,,,4,3d961e2a5c314b1f8734c60daac8b37f,2022-04-06_02-03-21,1649210601,0.47310924530029297,5.708416223526001,47525,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.708416223526001,0,4,b4cf7480
4,52.31335436382755,False,,,5,3d961e2a5c314b1f8734c60daac8b37f,2022-04-06_02-03-21,1649210601,0.47048115730285645,6.178897380828857,47525,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.178897380828857,0,5,b4cf7480
5,52.47108307045215,False,,,6,3d961e2a5c314b1f8734c60daac8b37f,2022-04-06_02-03-22,1649210602,0.47490501403808594,6.653802394866943,47525,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.653802394866943,0,6,b4cf7480
6,52.36593059936908,False,,,7,3d961e2a5c314b1f8734c60daac8b37f,2022-04-06_02-03-22,1649210602,0.48192763328552246,7.135730028152466,47525,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.135730028152466,0,7,b4cf7480
7,52.47108307045215,False,,,8,3d961e2a5c314b1f8734c60daac8b37f,2022-04-06_02-03-23,1649210603,0.5052030086517334,7.640933036804199,47525,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.640933036804199,0,8,b4cf7480
8,52.31335436382755,False,,,9,3d961e2a5c314b1f8734c60daac8b37f,2022-04-06_02-03-24,1649210604,0.4913465976715088,8.132279634475708,47525,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.132279634475708,0,9,b4cf7480
9,52.36593059936908,False,,,10,3d961e2a5c314b1f8734c60daac8b37f,2022-04-06_02-03-24,1649210604,0.49721264839172363,8.629492282867432,47525,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.629492282867432,0,10,b4cf7480
