epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,48.84332281808623,False,,,1,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-24-58,1649211898,2.8701462745666504,2.8701462745666504,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.8701462745666504,0,1,bd158405
1,46.68769716088328,False,,,2,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-24-58,1649211898,0.45673561096191406,3.3268818855285645,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.3268818855285645,0,2,bd158405
2,53.25972660357519,False,,,3,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-24-59,1649211899,0.48064303398132324,3.8075249195098877,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.8075249195098877,0,3,bd158405
3,59.67402733964248,False,,,4,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-00,1649211900,0.44878292083740234,4.25630784034729,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.25630784034729,0,4,bd158405
4,58.149316508937964,False,,,5,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-00,1649211900,0.4379708766937256,4.694278717041016,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.694278717041016,0,5,bd158405
5,58.51735015772871,False,,,6,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-01,1649211901,0.4358844757080078,5.130163192749023,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.130163192749023,0,6,bd158405
6,58.99053627760252,False,,,7,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-01,1649211901,0.45404529571533203,5.5842084884643555,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.5842084884643555,0,7,bd158405
7,58.83280757097792,False,,,8,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-02,1649211902,0.45636987686157227,6.040578365325928,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.040578365325928,0,8,bd158405
8,58.359621451104104,False,,,9,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-02,1649211902,0.45465588569641113,6.495234251022339,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.495234251022339,0,9,bd158405
9,58.88538380651946,False,,,10,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-03,1649211903,0.45789599418640137,6.95313024520874,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.95313024520874,0,10,bd158405
10,59.04311251314406,False,,,11,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-03,1649211903,0.4513673782348633,7.4044976234436035,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.4044976234436035,0,11,bd158405
11,58.88538380651946,False,,,12,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-04,1649211904,0.4644761085510254,7.868973731994629,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.868973731994629,0,12,bd158405
12,58.937960042060986,False,,,13,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-04,1649211904,0.4495053291320801,8.318479061126709,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.318479061126709,0,13,bd158405
13,58.937960042060986,False,,,14,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-05,1649211905,0.45450735092163086,8.77298641204834,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.77298641204834,0,14,bd158405
14,59.04311251314406,False,,,15,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-05,1649211905,0.4320821762084961,9.205068588256836,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.205068588256836,0,15,bd158405
15,59.148264984227126,False,,,16,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-05,1649211905,0.4346928596496582,9.639761447906494,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.639761447906494,0,16,bd158405
16,58.937960042060986,False,,,17,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-06,1649211906,0.46095800399780273,10.100719451904297,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.100719451904297,0,17,bd158405
17,59.095688748685596,False,,,18,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-06,1649211906,0.44500184059143066,10.545721292495728,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.545721292495728,0,18,bd158405
18,59.305993690851736,False,,,19,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-07,1649211907,0.4508993625640869,10.996620655059814,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.996620655059814,0,19,bd158405
19,59.04311251314406,False,,,20,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-07,1649211907,0.44556593894958496,11.4421865940094,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.4421865940094,0,20,bd158405
20,59.20084121976866,False,,,21,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-08,1649211908,0.4281487464904785,11.870335340499878,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.870335340499878,0,21,bd158405
21,59.04311251314406,False,,,22,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-08,1649211908,0.43384838104248047,12.304183721542358,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.304183721542358,0,22,bd158405
22,58.99053627760252,False,,,23,3c598d4cf44541b1b7aae6d9b85cb004,2022-04-06_02-25-09,1649211909,0.4228384494781494,12.727022171020508,60973,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.727022171020508,0,23,bd158405
