epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.83806519453207,False,,,1,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-05,1649211905,2.7656667232513428,2.7656667232513428,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.7656667232513428,0,1,c19e5872
1,42.90220820189275,False,,,2,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-06,1649211906,0.43739843368530273,3.2030651569366455,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.2030651569366455,0,2,c19e5872
2,74.44794952681389,False,,,3,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-06,1649211906,0.4342343807220459,3.6372995376586914,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.6372995376586914,0,3,c19e5872
3,61.88222923238696,False,,,4,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-07,1649211907,0.4300680160522461,4.0673675537109375,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.0673675537109375,0,4,c19e5872
4,45.89905362776025,False,,,5,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-07,1649211907,0.4334604740142822,4.50082802772522,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.50082802772522,0,5,c19e5872
5,71.5036803364879,False,,,6,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-07,1649211907,0.42234349250793457,4.923171520233154,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.923171520233154,0,6,c19e5872
6,67.35015772870663,False,,,7,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-08,1649211908,0.42446374893188477,5.347635269165039,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.347635269165039,0,7,c19e5872
7,80.54679284963197,False,,,8,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-08,1649211908,0.4256751537322998,5.773310422897339,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.773310422897339,0,8,c19e5872
8,80.07360672975815,False,,,9,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-09,1649211909,0.42377710342407227,6.197087526321411,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.197087526321411,0,9,c19e5872
9,77.44479495268138,False,,,10,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-09,1649211909,0.42762279510498047,6.624710321426392,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.624710321426392,0,10,c19e5872
10,78.70662460567823,False,,,11,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-10,1649211910,0.4326303005218506,7.057340621948242,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.057340621948242,0,11,c19e5872
11,78.86435331230284,False,,,12,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-10,1649211910,0.446378231048584,7.503718852996826,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.503718852996826,0,12,c19e5872
12,77.39221871713985,False,,,13,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-10,1649211910,0.4269700050354004,7.930688858032227,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.930688858032227,0,13,c19e5872
13,76.65615141955836,False,,,14,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-11,1649211911,0.4295778274536133,8.36026668548584,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.36026668548584,0,14,c19e5872
14,76.34069400630915,False,,,15,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-11,1649211911,0.43487048149108887,8.795137166976929,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.795137166976929,0,15,c19e5872
15,76.76130389064143,False,,,16,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-12,1649211912,0.42895936965942383,9.224096536636353,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.224096536636353,0,16,c19e5872
16,77.23449001051524,False,,,17,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-12,1649211912,0.42359423637390137,9.647690773010254,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.647690773010254,0,17,c19e5872
17,77.86540483701367,False,,,18,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-13,1649211913,0.4286539554595947,10.076344728469849,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.076344728469849,0,18,c19e5872
18,78.02313354363828,False,,,19,0d468667e0154fa0821a0c5a10453828,2022-04-06_02-25-13,1649211913,0.4311838150024414,10.50752854347229,60952,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.50752854347229,0,19,c19e5872
