epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,bce8fcafda50486cab643362324ba1ac,2022-04-06_02-10-59,1649211059,4.296449422836304,4.296449422836304,47532,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.296449422836304,0,1,c78e0b36
1,48.0546792849632,False,,,2,bce8fcafda50486cab643362324ba1ac,2022-04-06_02-11-00,1649211060,0.45236802101135254,4.748817443847656,47532,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.748817443847656,0,2,c78e0b36
2,78.28601472134595,False,,,3,bce8fcafda50486cab643362324ba1ac,2022-04-06_02-11-00,1649211060,0.46417856216430664,5.212996006011963,47532,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.212996006011963,0,3,c78e0b36
3,53.47003154574133,False,,,4,bce8fcafda50486cab643362324ba1ac,2022-04-06_02-11-00,1649211060,0.4761061668395996,5.6891021728515625,47532,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.6891021728515625,0,4,c78e0b36
4,76.5509989484753,False,,,5,bce8fcafda50486cab643362324ba1ac,2022-04-06_02-11-01,1649211061,0.43161582946777344,6.120718002319336,47532,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.120718002319336,0,5,c78e0b36
5,61.30389064143007,False,,,6,bce8fcafda50486cab643362324ba1ac,2022-04-06_02-11-01,1649211061,0.4416515827178955,6.5623695850372314,47532,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.5623695850372314,0,6,c78e0b36
6,76.13038906414302,False,,,7,bce8fcafda50486cab643362324ba1ac,2022-04-06_02-11-02,1649211062,0.4167351722717285,6.97910475730896,47532,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.97910475730896,0,7,c78e0b36
7,73.92218717139852,False,,,8,bce8fcafda50486cab643362324ba1ac,2022-04-06_02-11-02,1649211062,0.4364430904388428,7.415547847747803,47532,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.415547847747803,0,8,c78e0b36
8,79.07465825446897,False,,,9,bce8fcafda50486cab643362324ba1ac,2022-04-06_02-11-03,1649211063,0.4235701560974121,7.839118003845215,47532,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.839118003845215,0,9,c78e0b36
9,77.49737118822291,False,,,10,bce8fcafda50486cab643362324ba1ac,2022-04-06_02-11-03,1649211063,0.4249401092529297,8.264058113098145,47532,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.264058113098145,0,10,c78e0b36
