epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,46.424815983175606,False,,,1,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-27,1649211087,4.287608623504639,4.287608623504639,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.287608623504639,0,1,d837fa94
1,49.89484752891693,False,,,2,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-28,1649211088,0.4908888339996338,4.7784974575042725,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.7784974575042725,0,2,d837fa94
2,60.304942166140904,False,,,3,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-28,1649211088,0.4967834949493408,5.275280952453613,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.275280952453613,0,3,d837fa94
3,48.31756046267087,False,,,4,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-29,1649211089,0.4779043197631836,5.753185272216797,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.753185272216797,0,4,d837fa94
4,47.10830704521556,False,,,5,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-29,1649211089,0.4886345863342285,6.241819858551025,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.241819858551025,0,5,d837fa94
5,53.10199789695058,False,,,6,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-30,1649211090,0.4842231273651123,6.726042985916138,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.726042985916138,0,6,d837fa94
6,54.78443743427971,False,,,7,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-30,1649211090,0.4685389995574951,7.194581985473633,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.194581985473633,0,7,d837fa94
7,66.40378548895899,False,,,8,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-31,1649211091,0.4737372398376465,7.668319225311279,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.668319225311279,0,8,d837fa94
8,58.72765509989485,False,,,9,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-31,1649211091,0.5078678131103516,8.17618703842163,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.17618703842163,0,9,d837fa94
9,71.24079915878023,False,,,10,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-32,1649211092,0.4893651008605957,8.665552139282227,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.665552139282227,0,10,d837fa94
10,74.97371188222924,False,,,11,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-32,1649211092,0.47442030906677246,9.139972448348999,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.139972448348999,0,11,d837fa94
11,83.1230283911672,False,,,12,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-33,1649211093,0.46485447883605957,9.604826927185059,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.604826927185059,0,12,d837fa94
12,78.86435331230284,False,,,13,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-33,1649211093,0.4916059970855713,10.09643292427063,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.09643292427063,0,13,d837fa94
13,77.39221871713985,False,,,14,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-34,1649211094,0.4788820743560791,10.575314998626709,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.575314998626709,0,14,d837fa94
14,77.91798107255521,False,,,15,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-34,1649211094,0.4955148696899414,11.07082986831665,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.07082986831665,0,15,d837fa94
15,76.70872765509989,False,,,16,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-35,1649211095,0.49063920974731445,11.561469078063965,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.561469078063965,0,16,d837fa94
16,77.70767613038907,False,,,17,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-35,1649211095,0.46993112564086914,12.031400203704834,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.031400203704834,0,17,d837fa94
17,78.02313354363828,False,,,18,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-39,1649211099,0.4747769832611084,12.506177186965942,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.506177186965942,0,18,d837fa94
18,78.23343848580441,False,,,19,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-39,1649211099,0.4804990291595459,12.986676216125488,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.986676216125488,0,19,d837fa94
19,78.28601472134595,False,,,20,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-39,1649211099,0.4761354923248291,13.462811708450317,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.462811708450317,0,20,d837fa94
20,78.12828601472135,False,,,21,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-40,1649211100,0.4907081127166748,13.953519821166992,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.953519821166992,0,21,d837fa94
21,78.39116719242902,False,,,22,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-40,1649211100,0.49037957191467285,14.443899393081665,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.443899393081665,0,22,d837fa94
22,78.60147213459516,False,,,23,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-41,1649211101,0.4871377944946289,14.931037187576294,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.931037187576294,0,23,d837fa94
23,78.33859095688749,False,,,24,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-41,1649211101,0.4771604537963867,15.40819764137268,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.40819764137268,0,24,d837fa94
24,78.60147213459516,False,,,25,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-42,1649211102,0.48069047927856445,15.888888120651245,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.888888120651245,0,25,d837fa94
25,79.07465825446897,False,,,26,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-42,1649211102,0.4642338752746582,16.353121995925903,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.353121995925903,0,26,d837fa94
26,79.28496319663512,False,,,27,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-43,1649211103,0.49155569076538086,16.844677686691284,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.844677686691284,0,27,d837fa94
27,79.07465825446897,False,,,28,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-43,1649211103,0.48859238624572754,17.33327007293701,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.33327007293701,0,28,d837fa94
28,79.12723449001051,False,,,29,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-44,1649211104,0.5027933120727539,17.836063385009766,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.836063385009766,0,29,d837fa94
29,78.75920084121977,False,,,30,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-44,1649211104,0.49114274978637695,18.327206134796143,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.327206134796143,0,30,d837fa94
30,78.91692954784438,False,,,31,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-45,1649211105,0.49135279655456543,18.818558931350708,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.818558931350708,0,31,d837fa94
31,78.96950578338591,False,,,32,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-45,1649211105,0.49210262298583984,19.310661554336548,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.310661554336548,0,32,d837fa94
32,78.8117770767613,False,,,33,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-46,1649211106,0.47673487663269043,19.78739643096924,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.78739643096924,0,33,d837fa94
33,79.28496319663512,False,,,34,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-46,1649211106,0.47280311584472656,20.260199546813965,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.260199546813965,0,34,d837fa94
34,79.17981072555204,False,,,35,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-47,1649211107,0.46079492568969727,20.720994472503662,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.720994472503662,0,35,d837fa94
35,79.28496319663512,False,,,36,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-47,1649211107,0.4844937324523926,21.205488204956055,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.205488204956055,0,36,d837fa94
36,79.23238696109358,False,,,37,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-48,1649211108,0.4870569705963135,21.692545175552368,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.692545175552368,0,37,d837fa94
37,79.33753943217665,False,,,38,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-48,1649211108,0.4894742965698242,22.182019472122192,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.182019472122192,0,38,d837fa94
38,79.23238696109358,False,,,39,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-49,1649211109,0.4897451400756836,22.671764612197876,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.671764612197876,0,39,d837fa94
39,79.17981072555204,False,,,40,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-49,1649211109,0.4797086715698242,23.1514732837677,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.1514732837677,0,40,d837fa94
40,79.17981072555204,False,,,41,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-50,1649211110,0.4936025142669678,23.645075798034668,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.645075798034668,0,41,d837fa94
41,79.12723449001051,False,,,42,430a9da4ba134f7a9cc41e83bc325f4d,2022-04-06_02-11-50,1649211110,0.4923393726348877,24.137415170669556,47514,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.137415170669556,0,42,d837fa94
