epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,44.79495268138801,False,,,1,8f8c3e51fcc949129be31c5095e10569,2022-04-06_02-11-36,1649211096,4.323221445083618,4.323221445083618,47558,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.323221445083618,0,1,dcb02299
1,50.8937960042061,False,,,2,8f8c3e51fcc949129be31c5095e10569,2022-04-06_02-11-39,1649211099,0.527061939239502,4.85028338432312,47558,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.85028338432312,0,2,dcb02299
2,49.00105152471083,False,,,3,8f8c3e51fcc949129be31c5095e10569,2022-04-06_02-11-39,1649211099,0.4980452060699463,5.348328590393066,47558,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.348328590393066,0,3,dcb02299
3,56.94006309148265,False,,,4,8f8c3e51fcc949129be31c5095e10569,2022-04-06_02-11-40,1649211100,0.5075736045837402,5.855902194976807,47558,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.855902194976807,0,4,dcb02299
4,54.837013669821246,False,,,5,8f8c3e51fcc949129be31c5095e10569,2022-04-06_02-11-40,1649211100,0.4787142276763916,6.334616422653198,47558,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.334616422653198,0,5,dcb02299
5,68.76971608832808,False,,,6,8f8c3e51fcc949129be31c5095e10569,2022-04-06_02-11-41,1649211101,0.46619415283203125,6.8008105754852295,47558,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.8008105754852295,0,6,dcb02299
6,69.92639327024185,False,,,7,8f8c3e51fcc949129be31c5095e10569,2022-04-06_02-11-41,1649211101,0.46836256980895996,7.2691731452941895,47558,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.2691731452941895,0,7,dcb02299
7,53.89064143007361,False,,,8,8f8c3e51fcc949129be31c5095e10569,2022-04-06_02-11-42,1649211102,0.4612720012664795,7.730445146560669,47558,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.730445146560669,0,8,dcb02299
8,54.57413249211357,False,,,9,8f8c3e51fcc949129be31c5095e10569,2022-04-06_02-11-42,1649211102,0.4618959426879883,8.192341089248657,47558,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.192341089248657,0,9,dcb02299
9,64.7739221871714,False,,,10,8f8c3e51fcc949129be31c5095e10569,2022-04-06_02-11-43,1649211103,0.46923041343688965,8.661571502685547,47558,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.661571502685547,0,10,dcb02299
10,73.4490010515247,False,,,11,8f8c3e51fcc949129be31c5095e10569,2022-04-06_02-11-43,1649211103,0.4792764186859131,9.14084792137146,47558,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.14084792137146,0,11,dcb02299
11,74.65825446898002,False,,,12,8f8c3e51fcc949129be31c5095e10569,2022-04-06_02-11-44,1649211104,0.4815075397491455,9.622355461120605,47558,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.622355461120605,0,12,dcb02299
