epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,47.58149316508938,False,,,1,f1f5803edb804ae2ba7d56f54a8caa5d,2022-04-06_02-11-47,1649211107,5.004143476486206,5.004143476486206,47679,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.004143476486206,0,1,e296104c
1,52.944269190325976,False,,,2,f1f5803edb804ae2ba7d56f54a8caa5d,2022-04-06_02-11-48,1649211108,0.459672212600708,5.463815689086914,47679,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.463815689086914,0,2,e296104c
2,44.05888538380652,False,,,3,f1f5803edb804ae2ba7d56f54a8caa5d,2022-04-06_02-11-49,1649211109,0.44416379928588867,5.907979488372803,47679,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.907979488372803,0,3,e296104c
3,54.10094637223975,False,,,4,f1f5803edb804ae2ba7d56f54a8caa5d,2022-04-06_02-11-49,1649211109,0.4535984992980957,6.361577987670898,47679,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.361577987670898,0,4,e296104c
4,75.18401682439537,False,,,5,f1f5803edb804ae2ba7d56f54a8caa5d,2022-04-06_02-11-50,1649211110,0.4395289421081543,6.801106929779053,47679,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.801106929779053,0,5,e296104c
5,65.77287066246058,False,,,6,f1f5803edb804ae2ba7d56f54a8caa5d,2022-04-06_02-11-50,1649211110,0.4406239986419678,7.2417309284210205,47679,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.2417309284210205,0,6,e296104c
6,72.92323869610937,False,,,7,f1f5803edb804ae2ba7d56f54a8caa5d,2022-04-06_02-11-51,1649211111,0.4406881332397461,7.682419061660767,47679,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.682419061660767,0,7,e296104c
7,74.50052576235542,False,,,8,f1f5803edb804ae2ba7d56f54a8caa5d,2022-04-06_02-11-51,1649211111,0.44291043281555176,8.125329494476318,47679,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.125329494476318,0,8,e296104c
8,70.82018927444796,False,,,9,f1f5803edb804ae2ba7d56f54a8caa5d,2022-04-06_02-11-51,1649211111,0.4362311363220215,8.56156063079834,47679,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.56156063079834,0,9,e296104c
9,69.61093585699264,False,,,10,f1f5803edb804ae2ba7d56f54a8caa5d,2022-04-06_02-11-52,1649211112,0.4432694911956787,9.004830121994019,47679,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.004830121994019,0,10,e296104c
