epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,52.89169295478444,False,,,1,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-22,1649209642,5.35988712310791,5.35988712310791,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.35988712310791,0,1,fe71c_00027
1,51.36698212407992,False,,,2,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-22,1649209642,0.49550890922546387,5.855396032333374,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.855396032333374,0,2,fe71c_00027
2,51.89274447949527,False,,,3,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-23,1649209643,0.4809412956237793,6.336337327957153,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.336337327957153,0,3,fe71c_00027
3,48.370136698212406,False,,,4,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-23,1649209643,0.488483190536499,6.824820518493652,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.824820518493652,0,4,fe71c_00027
4,43.63827549947424,False,,,5,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-23,1649209643,0.4784116744995117,7.303232192993164,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.303232192993164,0,5,fe71c_00027
5,63.82754994742377,False,,,6,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-24,1649209644,0.49082183837890625,7.79405403137207,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.79405403137207,0,6,fe71c_00027
6,48.738170347003155,False,,,7,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-24,1649209644,0.5110032558441162,8.305057287216187,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.305057287216187,0,7,fe71c_00027
7,50.683491062039955,False,,,8,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-25,1649209645,0.4897439479827881,8.794801235198975,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.794801235198975,0,8,fe71c_00027
8,57.04521556256572,False,,,9,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-25,1649209645,0.4854269027709961,9.28022813796997,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.28022813796997,0,9,fe71c_00027
9,43.217665615141954,False,,,10,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-26,1649209646,0.4824974536895752,9.762725591659546,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.762725591659546,0,10,fe71c_00027
10,51.10410094637224,False,,,11,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-26,1649209646,0.4916996955871582,10.254425287246704,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.254425287246704,0,11,fe71c_00027
11,46.79284963196635,False,,,12,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-27,1649209647,0.4950418472290039,10.749467134475708,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.749467134475708,0,12,fe71c_00027
12,36.01472134595163,False,,,13,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-27,1649209647,0.5010554790496826,11.25052261352539,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.25052261352539,0,13,fe71c_00027
13,60.1472134595163,False,,,14,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-28,1649209648,0.5162479877471924,11.766770601272583,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.766770601272583,0,14,fe71c_00027
14,50.473186119873816,False,,,15,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-28,1649209648,0.4940495491027832,12.260820150375366,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.260820150375366,0,15,fe71c_00027
15,53.10199789695058,False,,,16,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-29,1649209649,0.5050244331359863,12.765844583511353,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.765844583511353,0,16,fe71c_00027
16,65.14195583596214,False,,,17,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-29,1649209649,0.49314236640930176,13.258986949920654,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.258986949920654,0,17,fe71c_00027
17,70.60988433228181,False,,,18,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-30,1649209650,0.5180118083953857,13.77699875831604,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.77699875831604,0,18,fe71c_00027
18,46.74027339642481,False,,,19,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-31,1649209651,0.5105185508728027,14.287517309188843,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.287517309188843,0,19,fe71c_00027
19,57.57097791798107,False,,,20,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-31,1649209651,0.49698805809020996,14.784505367279053,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.784505367279053,0,20,fe71c_00027
20,48.580441640378545,False,,,21,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-32,1649209652,0.5108809471130371,15.29538631439209,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.29538631439209,0,21,fe71c_00027
21,50.8937960042061,False,,,22,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-32,1649209652,0.49741148948669434,15.792797803878784,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.792797803878784,0,22,fe71c_00027
22,54.31125131440589,False,,,23,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-33,1649209653,0.5130312442779541,16.30582904815674,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.30582904815674,0,23,fe71c_00027
23,48.26498422712934,False,,,24,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-33,1649209653,0.5166323184967041,16.822461366653442,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.822461366653442,0,24,fe71c_00027
24,65.29968454258676,False,,,25,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-34,1649209654,0.5170519351959229,17.339513301849365,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.339513301849365,0,25,fe71c_00027
25,58.88538380651946,False,,,26,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-34,1649209654,0.5079977512359619,17.847511053085327,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.847511053085327,0,26,fe71c_00027
26,60.56782334384858,False,,,27,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-35,1649209655,0.5128450393676758,18.360356092453003,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.360356092453003,0,27,fe71c_00027
27,53.10199789695058,False,,,28,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-35,1649209655,0.5092236995697021,18.869579792022705,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.869579792022705,0,28,fe71c_00027
28,53.10199789695058,False,,,29,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-36,1649209656,0.5096180438995361,19.37919783592224,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.37919783592224,0,29,fe71c_00027
29,46.89800210304942,False,,,30,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-36,1649209656,0.4999363422393799,19.87913417816162,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.87913417816162,0,30,fe71c_00027
30,46.214511041009466,False,,,31,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-37,1649209657,0.5143043994903564,20.393438577651978,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.393438577651978,0,31,fe71c_00027
31,46.58254468980021,False,,,32,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-37,1649209657,0.5001182556152344,20.893556833267212,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.893556833267212,0,32,fe71c_00027
32,54.25867507886435,False,,,33,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-38,1649209658,0.49718475341796875,21.39074158668518,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.39074158668518,0,33,fe71c_00027
33,51.89274447949527,False,,,34,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-38,1649209658,0.5192253589630127,21.909966945648193,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.909966945648193,0,34,fe71c_00027
34,46.47739221871714,False,,,35,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-39,1649209659,0.5188074111938477,22.42877435684204,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.42877435684204,0,35,fe71c_00027
35,55.678233438485805,False,,,36,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-39,1649209659,0.5151658058166504,22.94394016265869,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.94394016265869,0,36,fe71c_00027
36,56.20399579390115,False,,,37,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-40,1649209660,0.5019550323486328,23.445895195007324,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.445895195007324,0,37,fe71c_00027
37,47.37118822292324,False,,,38,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-40,1649209660,0.5000643730163574,23.94595956802368,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.94595956802368,0,38,fe71c_00027
38,78.23343848580441,False,,,39,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-41,1649209661,0.4981570243835449,24.444116592407227,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.444116592407227,0,39,fe71c_00027
39,49.47423764458465,False,,,40,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-41,1649209661,0.5037071704864502,24.947823762893677,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.947823762893677,0,40,fe71c_00027
40,46.95057833859096,False,,,41,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-42,1649209662,0.5116221904754639,25.45944595336914,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.45944595336914,0,41,fe71c_00027
41,66.5615141955836,False,,,42,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-42,1649209662,0.512721061706543,25.972167015075684,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.972167015075684,0,42,fe71c_00027
42,52.05047318611987,False,,,43,faa981f9ff714d8aa0f760bf1d8c92ed,2022-04-06_01-47-43,1649209663,0.5023443698883057,26.47451138496399,29478,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.47451138496399,0,43,fe71c_00027
