epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,56.04626708727655,False,,,1,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-48,1649213748,2.8892765045166016,2.8892765045166016,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.8892765045166016,0,1,097736d7
1,53.20715036803365,False,,,2,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-49,1649213749,0.4667084217071533,3.355984926223755,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.355984926223755,0,2,097736d7
2,53.52260778128286,False,,,3,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-49,1649213749,0.4702422618865967,3.8262271881103516,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.8262271881103516,0,3,097736d7
3,53.52260778128286,False,,,4,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-50,1649213750,0.46450281143188477,4.290729999542236,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.290729999542236,0,4,097736d7
4,55.310199789695055,False,,,5,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-50,1649213750,0.4639627933502197,4.754692792892456,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.754692792892456,0,5,097736d7
5,55.78338590956887,False,,,6,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-51,1649213751,0.4575533866882324,5.2122461795806885,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.2122461795806885,0,6,097736d7
6,56.94006309148265,False,,,7,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-51,1649213751,0.4543907642364502,5.666636943817139,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.666636943817139,0,7,097736d7
7,58.569926393270244,False,,,8,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-52,1649213752,0.4541904926300049,6.1208274364471436,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.1208274364471436,0,8,097736d7
8,59.93690851735016,False,,,9,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-52,1649213752,0.4521052837371826,6.572932720184326,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.572932720184326,0,9,097736d7
9,57.833859095688744,False,,,10,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-53,1649213753,0.45513081550598145,7.028063535690308,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.028063535690308,0,10,097736d7
10,57.93901156677181,False,,,11,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-53,1649213753,0.45412731170654297,7.482190847396851,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.482190847396851,0,11,097736d7
11,61.987381703470035,False,,,12,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-53,1649213753,0.4516878128051758,7.933878660202026,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.933878660202026,0,12,097736d7
12,66.35120925341745,False,,,13,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-54,1649213754,0.45009636878967285,8.3839750289917,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.3839750289917,0,13,097736d7
13,66.5615141955836,False,,,14,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-54,1649213754,0.4513700008392334,8.835345029830933,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.835345029830933,0,14,097736d7
14,62.72344900105152,False,,,15,0a04030f64cd4eada1afc5d90a07463a,2022-04-06_02-55-55,1649213755,0.45088863372802734,9.28623366355896,73087,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.28623366355896,0,15,097736d7
