epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,52.99684542586751,False,,,1,6ca66f186cc744e99efd51fbf87697ca,2022-04-06_02-48-52,1649213332,2.971877336502075,2.971877336502075,73145,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.971877336502075,0,1,129a9048
1,52.944269190325976,False,,,2,6ca66f186cc744e99efd51fbf87697ca,2022-04-06_02-48-52,1649213332,0.4790623188018799,3.450939655303955,73145,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.450939655303955,0,2,129a9048
2,53.31230283911672,False,,,3,6ca66f186cc744e99efd51fbf87697ca,2022-04-06_02-48-53,1649213333,0.4576687812805176,3.9086084365844727,73145,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.9086084365844727,0,3,129a9048
3,53.10199789695058,False,,,4,6ca66f186cc744e99efd51fbf87697ca,2022-04-06_02-48-53,1649213333,0.45598769187927246,4.364596128463745,73145,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.364596128463745,0,4,129a9048
4,49.737118822292324,False,,,5,6ca66f186cc744e99efd51fbf87697ca,2022-04-06_02-48-54,1649213334,0.44991159439086914,4.814507722854614,73145,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.814507722854614,0,5,129a9048
5,53.732912723449,False,,,6,6ca66f186cc744e99efd51fbf87697ca,2022-04-06_02-48-54,1649213334,0.45470213890075684,5.269209861755371,73145,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.269209861755371,0,6,129a9048
6,63.61724500525763,False,,,7,6ca66f186cc744e99efd51fbf87697ca,2022-04-06_02-48-55,1649213335,0.450253963470459,5.71946382522583,73145,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.71946382522583,0,7,129a9048
7,65.45741324921136,False,,,8,6ca66f186cc744e99efd51fbf87697ca,2022-04-06_02-48-55,1649213335,0.448101282119751,6.167565107345581,73145,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.167565107345581,0,8,129a9048
8,69.29547844374343,False,,,9,6ca66f186cc744e99efd51fbf87697ca,2022-04-06_02-48-56,1649213336,0.449462890625,6.617027997970581,73145,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.617027997970581,0,9,129a9048
9,62.618296529968454,False,,,10,6ca66f186cc744e99efd51fbf87697ca,2022-04-06_02-48-56,1649213336,0.44936108589172363,7.066389083862305,73145,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.066389083862305,0,10,129a9048
